,mpd5,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85
0.5,112.52583617,149.60353035044488,155.1093697430481,158.75781082915776,162.65092842816634,162.46645456342486,163.99252150559698,165.39534383784587,166.4926354054146,166.70504715978004,167.83295176674736,168.04560566061573,168.9449901492448,169.2988890643854,169.57848735691888,170.37519050911703,170.993719612325
1,123.15555513400001,151.3833606195558,157.5755225718091,160.15978482136862,163.067428466067,163.4707871762295,164.98593929741207,166.2876362006669,166.9461922788885,167.29738253195137,168.24718742476787,168.2090907618986,169.10960843167277,169.4391408225263,169.96650970903048,170.4576111787654,171.000458963585
1.5,130.26216341100002,152.17365950177734,158.87002845485742,160.90621382699996,163.6001502187,164.06422736071238,166.0257472039164,166.55960825005093,167.22547911550487,167.65923101562407,168.4376037240672,168.57939875831673,169.24104693434097,169.67179531225239,170.07986089771146,170.60505499992692,171.000458963585
2,132.81168316400002,153.56617571822244,160.00463953371454,161.42552859094712,164.58053498026698,164.32412440910386,166.58153011798305,166.90990769538428,167.27843977644403,167.89272514595945,168.5962206072459,168.78753157376272,169.39131455232692,169.7023539582439,170.20216873321792,170.63149714074717,171.000458963585
2.5,137.45610180499997,154.83158073777736,160.47455037333376,161.9254867736842,164.78921678766667,164.92444685459793,166.82781110016793,167.168368264359,167.48919060116205,168.19003953302084,168.86684260367014,169.02081931587568,169.54556730480724,169.81597706240123,170.23971395634246,170.69687657553763,171.000458963585
5,143.67930975,158.43570203555544,162.8660325638098,164.7716944210523,165.866657673333,166.25505030551741,167.57139545731116,167.7893703155132,168.2602034374747,168.7837117371429,169.29767880666705,169.56657658457598,169.90133126211526,170.13575010509277,170.4435148007928,170.86898975047475,171.487700389916
10,153.12944898,162.3046947377778,165.3018925828571,166.2816246642109,167.2693879613336,167.843259776552,168.7049284779835,168.71794261256449,169.0553353264647,169.5725027678365,169.96608404942728,170.0842826618076,170.3721950774999,170.5171853568532,170.7609846356039,171.07391648082282,171.525200272829
25,164.8137178,167.76374944444473,168.95183632380923,169.57466878684224,169.73868633499976,169.7470458632185,170.32449438655425,170.180372475641,170.27124320000024,170.66850880898,170.8328293552185,170.9308766813555,171.06044616730725,171.06767589937851,171.23240142756774,171.44482720221475,171.57178732605
75,180.8959344,176.1187400777775,175.07459081904773,174.37722645000002,173.7820217133335,173.47052587586225,173.3355659789915,173.28770772115348,173.07570459444426,172.76063091102026,172.67383410404025,172.63264925197774,172.421052358894,172.29925311884026,172.17859579531526,172.02780695363901,171.840146903081
90,186.0951592,179.7903786755552,177.55447150666708,176.5744631200003,175.735021386,175.0477775429889,174.5731420406723,174.3670024341022,174.0679517525256,173.69683778873502,173.442697009832,173.2163458273444,172.9233339875961,172.7815395046787,172.5155774140541,172.2813844513922,171.945844830812
97.5,190.9896986,183.19238975111108,180.0100292428569,178.68803426947406,177.33157834349967,176.53213728160873,175.86447775092438,175.43757558807673,174.93014866777733,174.4648100451836,174.05185779094225,173.82639339850294,173.48735187980753,173.17994293828173,172.8215825313154,172.49158045265835,171.961103296359
98,191.634443244,183.54868554044467,180.20507644571413,178.85593773031619,177.45956816679998,176.65266136735642,175.95566169922697,175.57024919646113,175.10844782933324,174.51505714174658,174.1137682690909,173.9021074720453,173.55630345065376,173.27903267690223,172.83051337930078,172.53032697719036,171.963231738936
98.5,194.04876347299995,183.845136068222,180.510197957429,179.01529638021074,177.607035959733,176.79766572420692,176.33119229273922,175.62577043446177,175.26347026190868,174.68898250126534,174.29716452114516,174.03850364792126,173.60335379134614,173.34218638207827,172.90151687856556,172.5876895556612,171.963231738936
99,196.123743,184.18636909377733,181.31436915390483,179.52882491094738,177.80941288633332,177.01550036101187,176.48193117623487,175.78599210920552,175.3423150282025,174.84321806429395,174.3765982630704,174.20741577706184,173.71571991792314,173.42178895303493,172.95819457669177,172.6255921180692,171.963231738936
99.5,196.123743,184.73954513022179,181.78071897904712,180.35371072094742,178.12149947786634,177.38534134163237,176.72141222991607,176.0453581245388,175.57627517364622,175.0427515970452,174.6361907443169,174.28853020925968,173.83133107252365,173.5545655333005,173.00630379341248,172.72985109971225,171.963231738936
Median,172.6698263,172.464931977778,172.29314104761949,172.0358272473685,171.90530639000002,171.735285170115,171.83713454958,171.81655006794853,171.718519143434,171.790096093878,171.8214343717175,171.80883341864399,171.79277135096152,171.74235950807451,171.7474422086485,171.7594986212025,171.681493408964
Mean,170.9874169062,171.56761050235556,171.73855014302856,171.7306095018421,171.64523328298,171.48432955247816,171.71050078742857,171.6322971701205,171.60869820730704,171.63825023395103,171.71763561418587,171.7201604429322,171.70799436512786,171.68104476129608,171.68181197739315,171.71261190025763,171.69087922437484
