,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85
0.5,280.105287265,487.60305524,717.1415003400001,881.712795735,1048.943429415,1229.6687726349999,1361.653237605,1534.696433395,1658.995000145,1805.2317017999999,1924.74220229,2095.6968796,2229.3955506,2382.0147992800003,2530.38196458,2668.63119791,2848.432465
1,292.29565352,520.30619416,740.7049120199999,907.19276159,1071.5791942899998,1239.4387230999998,1394.12302423,1545.9117657900001,1688.9915349100002,1828.74311087,1959.3521541399998,2109.78267769,2246.15772027,2391.0405720000003,2541.99709991,2681.24907701,2848.432465
1.5,299.79671035,534.21679798,746.67646253,915.415349365,1082.036001555,1249.876754205,1402.672776465,1552.65165031,1696.6934955899999,1848.286731625,1974.347275405,2121.2822225649998,2264.5696967549998,2400.624315635,2545.2756557,2687.44147801,2848.432465
2,306.15869904,537.47627346,752.06335394,924.1910208200001,1088.68023502,1266.66423484,1420.3793125,1558.3936680200002,1705.90196474,1856.21902726,1988.0853715,2134.80736286,2268.73637992,2407.68131688,2553.38490022,2692.9987125,2859.67559438
2.5,312.6408195,546.79955135,761.6248694,935.3073056750001,1097.8678854,1269.1547741250001,1423.960531075,1561.9016581,1714.0616854,1860.061393925,2000.399452775,2146.9091273500003,2271.41383685,2420.3845975,2558.3422763999997,2694.704339625,2859.905046
5,325.78229935,565.75869775,779.17850875,949.5102430000001,1128.541166,1293.8127117,1450.5407528,1591.8387368499998,1732.50096285,1887.2125685,2022.4631822499998,2171.02772545,2294.6428633,2444.4904114,2574.32188685,2712.6300842,2871.934788
10,344.96087780000005,591.3740687,796.6807792000001,981.6098757000001,1153.2706782999999,1320.1715881999999,1479.2803602,1628.7496217999999,1774.3520522000001,1912.1307298,2048.5199699,2196.2782444,2324.6147315,2462.7966184,2597.2331838,2728.8717828,2875.125269
25,372.6073025,628.65564675,841.3699765,1027.8215705,1205.693495,1370.5164245,1535.23416975,1681.88419525,1823.7075304999998,1968.60828625,2101.31990325,2241.228715,2373.2846504999998,2499.1078545,2631.92898775,2758.02818975,2893.893325
75,428.751583,710.1877575,940.5975325,1135.70591,1312.15659075,1487.463804,1646.688287,1789.3194584999999,1940.55095125,2081.3257354999996,2210.5964735,2340.0908369999997,2467.0130470000004,2586.500828,2700.69303575,2812.77180975,2914.825286
90,449.851582,745.8070517,978.1906695,1181.1359977,1361.0209521,1536.9613294,1696.39635,1834.6998095,1990.2304798,2129.2426297,2257.4797989,2382.4853519,2505.4152154,2616.6636580000004,2725.8506649,2833.4658219,2915.829712
97.5,465.39149605,779.201880525,1021.5407132500001,1228.2982628,1412.2179686499999,1587.598157875,1742.697898225,1892.2664071,2038.1279571,2169.960325475,2298.1235954500003,2428.335034125,2534.9710034,2652.1202162249997,2751.9317812249997,2852.2370281000003,2918.73663885
98,468.580533,783.3857558,1023.84818258,1237.85017296,1420.60379176,1594.2083556,1744.63604044,1904.2860303,2046.44099876,2174.2864372,2303.7535453200003,2432.47273668,2542.2921911999997,2653.83703964,2756.2387192399997,2854.9451074,2921.579109
98.5,474.1496382899998,790.33142462,1031.6121272700002,1244.06559969,1433.6313379100002,1600.28658061,1753.006391455,1912.9890923199998,2048.9842008,2186.676904145,2310.4104723749997,2436.16953195,2545.974494745,2662.024122595,2758.1514976099998,2857.64787897,2921.579109
99,485.656887,797.4368322199999,1041.69322731,1250.09215195,1446.24215692,1608.36837479,1770.86441382,1929.4248004400001,2054.06911717,2195.31336478,2323.9456208,2448.26517433,2554.56003513,2674.2543307399997,2764.72861094,2859.1300775500004,2921.579109
99.5,485.656887,806.281083005,1058.5310197,1256.86077556,1452.1037952899999,1614.3406648399998,1784.6173229350002,1942.9305219,2079.8481392099998,2200.080112215,2329.42916904,2454.692215325,2566.18522985,2681.54032714,2774.2696901349996,2862.942192595,2921.579109
Median,401.725626,671.309349,893.743651,1082.2410045000001,1258.6402874999999,1428.3651519999999,1593.204542,1736.838644,1883.707072,2029.560524,2158.7574815,2295.5495405,2420.719045,2546.8655360000002,2666.8242305,2787.454398,2905.069147
Mean,398.56214758999994,669.175262313,891.09391668,1080.967396747,1257.881809222,1428.316199942,1588.924185955,1734.8775191660002,1881.8126547020001,2023.8858644250001,2155.5037446219994,2290.5528837479997,2416.89887456,2543.2533800369997,2664.216558305,2783.7377354140003,2901.0618655989997
