,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65
0.5,53.277260638,54.751518839,52.60789246199997,46.936828776,45.9428668792,44.95953716900003,44.860309896571444,41.774694775499995,42.72978117622217,40.6203165204,41.60526927418185,41.68698735133333,42.01877519153845
1,61.016280368000004,58.200238262,54.861032765333306,49.807764753,47.3322204512,45.787716384666695,45.71304334685711,43.714513261499995,43.305328130222186,41.3645516364,41.94739634727268,42.05567095399997,42.18688437046151
1.5,64.99612494600001,61.689553755,56.0243511113333,52.641375162500005,49.5156444152,47.4064768133333,46.4182042554286,44.1902817585,43.57102636511107,42.431239423,42.27185149381822,42.2637484883333,42.429979717076876
2,68.279358968,63.26859168399999,57.04973056,53.849915544,51.7259255584,48.1717880613333,47.30599940114287,45.193555872,43.98421732533329,42.9942194816,42.428100767272745,42.55571808266664,42.68163905353843
2.5,71.02817197,65.11495581,59.50016374333337,54.6243009175,51.961290496,49.55364927500003,47.63154840000003,46.04592431,44.51410214222223,43.489540913,42.84157750909089,42.72194125666667,42.759635967692304
5,82.29636768,70.13768931999999,63.57261037333337,57.129703475,54.563457256,51.68924758999997,49.72182052,47.417964277500005,46.08125091111109,44.690159382000004,43.72567239818185,43.487883833333335,43.282001523076964
10,95.0050904,76.11948716,68.09617769333336,60.753569850000005,57.945810744,54.20528512666667,51.642020988571396,49.4192393,47.725138662222236,46.146227432,44.961571170909096,44.0976449633333,43.704866535384575
25,113.6268616,87.4004099,75.14143726666666,67.53439755,62.72199688,58.77844493333335,55.4704353714286,52.498673724999996,50.41638067777775,48.3942891,46.764240781818174,45.54208402500002,44.61306096153845
75,155.3106944,111.42403355,92.61979779999997,81.245218075,74.17873988,68.03416508333335,64.10648997142857,59.980052674999996,56.588286599999975,53.53817293,50.79950724545455,48.676597774999976,46.46097035384612
90,172.7385108,122.0872153,99.94359054666664,87.48328269,79.10089280000001,71.99963934666667,68.04459110285714,63.12701148,59.3377487777778,55.988029407999996,52.73391376000002,50.2252426233333,47.55261854153848
97.5,189.4536272,133.17437675999997,107.19224264,93.76825774,84.238398074,75.95653619166667,71.27569750714288,66.21196752,62.517381885555565,58.358082083999996,54.395436071818175,52.078671704166695,48.59120056461533
98,189.4536272,134.954793772,108.30358182133334,94.23289190199999,84.88965138239999,76.1871311373333,71.62244789142859,66.33129792899999,62.92874512000003,58.674078904,54.6879239425454,52.32229522666667,48.80522693169232
98.5,189.4536272,137.207942108,109.248209618667,94.415686941,85.9589269068,76.9952020086667,72.0630593668571,66.910155493,63.44789542200003,58.8502098188,54.9470161963636,52.7207139051667,49.12435793430768
99,189.4536272,139.160488254,110.081951690667,95.141734772,87.122978132,78.10468887200003,73.11657523085718,67.2996281455,63.89913371466669,59.193919782,55.278460887999984,52.8677233403333,49.22692152861541
99.5,189.4536272,141.726543573,112.39199366333366,96.68430294599999,89.676308072,79.72427840466663,73.82996535885715,68.388465127,64.30691356799994,59.8984588354,56.19821483690911,53.30818307899997,49.61863610384617
Median,134.9945686,99.219814,83.3089848,74.45589785,68.31940364,63.49342986666665,59.699361257142854,56.2243752,53.691187822222204,51.05467666,48.9357369090909,47.25206071666665,45.5465636769231
Mean,133.2168786464,99.3551108904,83.7238535312,74.2748147248,68.45826074520001,63.34540651046667,59.74108585062857,56.2284122027,53.54680471266666,50.98090429112,48.811836179672724,47.21370862973334,45.58589520483077
