,mpd5,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65
0.5,125.50730965800001,144.58171142577777,155.09810134076156,159.6784245034211,163.57745871049966,165.97940578960905,166.39280234487407,168.35312352306374,168.92581211699988,169.37291381008993,170.26328593843758,171.04548871506228,171.93534782316834
1,131.2448757,151.00572444488932,158.31442720114256,163.60192954578906,164.33745328273363,166.47994999829865,167.13999235092447,168.91947246633327,169.40183105347506,169.91445535649,170.54516494226309,171.21417180944601,172.07639134031695
1.5,136.973623997,153.30951420066668,159.61662407304757,164.44808463826345,166.12394323506697,166.85538908432227,167.7392680529916,169.21473944441013,169.79801952205048,170.27680671429403,170.70689896659223,171.4338766290792,172.15817656415902
2,139.05618530799998,155.0396650417778,160.48549334057122,164.90217086484242,166.431451728533,167.1217475297472,168.07341211206736,169.50432137789696,170.02806843567697,170.5700803089307,170.84069983954174,171.55572480155925,172.21149170378848
2.5,140.252524,157.09953888888933,161.3951418914289,165.31251820236866,166.94714191116668,167.47798112218342,168.15003229344583,169.63026838756406,170.2003574436362,170.68357279897972,170.99128010794567,171.67919484912397,172.30543160906214
5,145.14364705,160.97753917555602,163.7868542857141,167.3356541905263,168.12833281233299,168.3115905820687,169.41524003899144,170.22215755166664,170.69507073787835,171.07580970424527,171.49727368646504,171.98456125067815,172.5123175384139
10,154.45451445999998,164.8293288666671,166.65134037714282,169.0870359621051,169.61808135666698,169.70932535632198,170.5294928268911,170.9646358994876,171.3914185878791,171.6468375903676,172.05871443609442,172.32036067841833,172.767098867019
25,166.5808518,169.95540321111125,170.4460403857145,171.306500360526,171.805621315,171.830332750575,171.90472011260525,172.21620875448727,172.48897467575773,172.5391992918365,172.83694429259276,172.88326302966124,173.151251796635
75,184.6715552,178.4768652666665,176.96535735714298,176.31769266052626,175.90964608833326,175.423643785057,175.1352375605045,174.7824456589745,174.60824097323274,174.45339653714325,174.2746319639735,174.04720728079099,173.81138693677875
90,189.29717200000002,181.7829036533333,179.17872257904762,177.9237961989471,177.245046487333,176.81556677425272,176.2454150712603,175.603847937949,175.3700934143433,175.0468147315922,174.8348723012794,174.5066465013563,174.0782142152882
97.5,194.0171648,184.68247353666686,181.433952320476,179.62011828710533,178.603820203667,177.9446826670112,177.356426885882,176.63612031641037,176.13301774444432,175.70102815285708,175.3123759457571,174.94640802279642,174.33019302076968
98,196.123743,184.77668922933333,181.67377645066713,179.8484286572632,178.80614455200032,177.99432919154023,177.40533321068943,176.73188413671812,176.22326340222187,175.74645892891473,175.33224543590546,174.9939893251748,174.34810292773082
98.5,196.123743,185.05814314888866,181.9130689547617,180.0893758376842,178.930670807533,178.1298818917468,177.5530360949072,176.85496307665392,176.3509747930201,175.81404570951824,175.40396302029671,175.0169340408365,174.41171427487973
99,196.123743,185.63429741955576,182.60629654057178,180.4173921351578,179.013380556667,178.3008910168272,177.65744386104248,177.12794497356379,176.50998637927225,175.92775823844897,175.53226071049127,175.07988287841852,174.445795447288
99.5,196.123743,186.22573958977733,183.22134752209502,180.83986643157874,179.36839985526666,178.5633848867588,177.76819669295756,177.40028113933317,176.89077981041373,175.9921287229796,175.64727224181115,175.22160778860498,174.4811505449281
Median,176.0236595,174.4427169555555,174.035078066667,173.90720196842102,174.0672029033335,173.7649589954025,173.70028773781502,173.5490197115385,173.616825838384,173.56830805714299,173.5788627016835,173.495545922034,173.4844778216345
Mean,173.59511310919999,173.60962029093335,173.35365545918094,173.58050400713682,173.64970774293332,173.46392450505746,173.4357292849916,173.4139991007359,173.46872891377575,173.430071553169,173.49672943713674,173.44273711343732,173.44988443652883
