,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65
0.5,278.046482965,515.32577301,711.897781335,912.455931235,1075.73590853,1231.699983175,1392.18458384,1525.961203715,1696.95260908,1830.8144993150001,1961.19496067,2113.95880558,2265.54791174
1,285.88494269,530.9880110800001,734.75441803,924.9435891,1089.34394804,1268.29178773,1416.17770061,1551.5956618199998,1704.38865347,1848.53194162,1978.2517611199999,2130.04819774,2274.54999661
1.5,297.51823489,537.65661738,748.8233311949999,941.29089693,1093.792119095,1277.4796185700002,1423.82048263,1569.8065977400001,1712.02075481,1861.4062610699998,1986.4759398,2137.185700005,2286.639461605
2,306.91207838,544.2759694599999,757.99219438,944.7752297400001,1101.40677886,1284.90833296,1430.49972948,1579.51616216,1721.18021608,1868.66395956,1996.08910674,2139.62983542,2292.6900578
2.5,312.2150111,547.0465752,764.05100425,954.245748625,1111.883525,1291.732235975,1442.6978763500001,1585.68056015,1728.417356275,1875.892021425,2004.0802883,2144.4497243,2294.778681525
5,326.10327825,580.30441005,785.8908474000001,979.3022162999999,1132.5912105,1314.7873372000001,1467.17134265,1600.8694719999999,1746.14209475,1896.22499975,2032.2456155,2159.90021815,2303.52479635
10,347.7892842,604.4316765,810.1711257,1002.7788269,1169.9791711,1342.6709342000001,1498.6937872,1641.3958136,1773.105568,1917.2373588,2052.4425376,2181.2290205,2317.181219
25,377.113351,641.7492647500001,854.69702725,1051.7629605,1221.64040175,1387.12237125,1542.91235275,1689.150674,1822.2854075,1960.27872725,2087.92823,2213.8238025,2338.56331525
75,438.91375,720.37181575,950.0147925,1149.5556475,1325.7021892500002,1486.7591702500001,1642.65611625,1781.4625195,1917.50743125,2043.9621025000001,2164.8231335,2279.78084475,2383.3322392500004
90,461.46946,751.1023256,987.3212039,1188.9725301,1364.3797213999999,1524.8251708,1685.3052214,1820.5607007,1952.8783747999998,2080.5461657,2195.064934,2304.1583286,2399.5584511
97.5,485.656887,783.190159325,1029.237813475,1224.7468278,1405.6582098249999,1572.31812875,1736.3820955,1866.1125957,1995.9534595500002,2117.556284025,2227.0705771,2325.7823432,2415.081442425
98,485.656887,788.48891412,1036.9526328,1232.7923971799999,1415.83153814,1582.12097522,1738.45104146,1873.5342213,1999.73965418,2120.9354066399997,2228.37765532,2327.87844608,2416.25682018
98.5,485.656887,794.84730121,1043.82498229,1235.57314834,1424.34356568,1592.3895660599999,1743.52642388,1887.73891113,2005.1738755449999,2131.38088217,2235.620834325,2338.001154905,2418.80147195
99,485.656887,799.60920542,1050.43834791,1243.29427181,1434.19938133,1608.6503946599998,1752.1082809799998,1897.54703451,2013.07239393,2133.94525966,2240.59259337,2340.35669756,2420.75241017
99.5,485.656887,812.868626285,1062.2063838049999,1268.6112832449999,1457.0203724550001,1623.44444153,1767.70929696,1913.118921175,2028.832265925,2143.1767328,2250.46492881,2346.48621595,2423.042351805
Median,408.475229,685.088023,903.289607,1098.186032,1272.7059335,1438.1399145,1594.4006760000002,1734.457013,1872.7092215,2002.1631240000002,2128.4354015,2247.180321,2361.887991
Mean,405.65382412699995,680.280144225,901.136310821,1097.645599593,1270.228819163,1436.0814621000002,1592.957744252,1732.6420948650002,1868.118304734,2000.734470637,2124.9431058160003,2244.328991632,2359.660291191
