,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52
0.5,129.86817963600032,139.8747495617853,146.96171690377744,144.75826209378778,154.59655119011023,155.68490046225,159.06350790372562,158.67429731621016,159.7269832122507,160.93926238326128,162.00757771181569,163.37737220394172,164.57128061085066,164.7711912365322,165.55307691821784,166.49410142495216,167.47669241009987,167.41107899151237,168.08773831023186,168.6535974348939,169.41140929270563,169.39148547519525,170.6611116951675,172.212805447964
1,136.03843056133366,143.66563781,149.1317296093329,151.38302242090884,156.3920501002193,157.1298114289997,161.31213377294125,160.13037419547354,161.7771685652811,162.44184908028956,163.13555375150793,164.23323576280436,165.54276932556306,165.92543808141141,166.52181116923316,166.79521507825405,167.86085416765312,168.02388735274326,168.6907191481064,169.2903405645452,169.51798611484062,170.12516472076265,170.73497926419543,172.212805447964
1.5,139.057837536667,147.36741843214259,152.36516317999968,153.32286024106054,157.2060068658237,158.120209924667,161.76589229679738,160.89825922668396,162.67251089432918,163.24574762213754,163.98259470486124,164.83556293293637,165.87091208469002,166.45750808278257,166.75604564823564,167.25719503190467,168.03042175146473,168.2545320385124,168.76101458820006,169.44657453526418,169.74115337082094,170.2084196126242,170.777558679184,172.212805447964
2,141.21880193866633,149.542056338571,153.15818379999976,153.9853012509093,157.80940816175857,160.4310735829997,162.44518292575194,162.0988581383162,163.4928041468401,163.78157381391262,164.45834587926163,165.1890867092067,166.65929077075836,166.60060238483865,167.05712694024936,167.4542221658417,168.2183292744236,168.43869520497398,168.91422586624893,169.54735746841482,169.85988810175874,170.33552672950327,170.839801742041,172.212805447964
2.5,142.8798524433333,150.95166343035743,154.24626465444447,155.04588177499986,158.4034133631872,161.24767623666634,162.83612596601262,162.83113935657875,163.83788584393932,164.22579506177556,164.93162790584623,165.5445513342593,166.85183173953993,167.0217743212705,167.41449749269162,167.67280877753998,168.37473758477992,168.6756935451279,169.07178328397214,169.6342284282766,169.9772751219802,170.44081073058487,170.98069532718333,172.212805447964
5,148.54104030666664,156.57501341071398,158.7190757866671,158.97511858484825,161.50094987912118,163.0644620925003,163.97097760392188,164.3126312794736,165.1554877389607,165.90782102898524,166.60503837230735,167.3466552997354,167.80317605999986,167.95009502580635,168.21840539714825,168.52267369079382,169.19673356557578,169.2060289333331,169.70170323217195,170.015219452643,170.39842799371934,170.7998269987589,171.15461112,172.212805447964
10,155.077305866667,160.6067694214284,162.89551843555589,163.0612370696972,164.2925045912084,165.05620773999968,166.4227062248363,166.6203553536844,167.4499798813853,167.6759279731888,168.23249779138462,168.66605939841298,168.8144559232184,168.9434832564512,169.1744754766487,169.4232304638093,169.800749286202,169.8950854597439,170.275362403949,170.4825577308668,170.8200108838649,171.0614358397163,171.4642822715098,172.212805447964
25,165.45677866666674,167.366844,168.37477715555525,168.5179973409095,168.58772806043999,169.01819742499998,169.31853675163424,169.5246914657895,170.169892305195,170.11154407246374,170.30904196769225,170.648498883598,170.5428614229885,170.66405879536273,170.72581235917977,170.83131583253976,171.0550689708395,171.0735552679485,171.3240446922185,171.32685762103574,171.5455530285025,171.68625826152476,171.876548357551,172.212805447964
75,180.30094466666674,178.53584198214276,177.255539766667,176.5385949393935,176.23188642857176,176.19344304166674,175.37280896732,175.2593827973685,174.9365217857145,174.8158428061595,174.29786338769202,174.20683317857174,174.24037701264376,173.93427361592725,173.72330094563299,173.604527101587,173.57373098719802,173.29161291923052,173.30973783391426,173.13971350951374,173.037503556522,172.86124694592226,172.67406507224476,172.212805447964
90,185.68559434666642,183.13341657142902,181.02522598666712,179.4383896121214,178.8394865560437,178.54266475999972,177.4410992352939,177.3978773463155,176.92044738095282,176.5249035166662,175.8475561883081,175.6754561788363,175.5935033154019,175.1763964548384,175.0007963711234,174.5637605155558,174.4932482756753,174.2197007233332,174.07188020023258,173.7728938744184,173.48674334898578,173.2917392776593,173.026506329796,172.212805447964
