,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28
0.5,77.99302868999999,115.425781766,136.65551690392886,140.361195457556,149.18870449924208,151.4390524898902,154.24286242699966,157.4065862522876,159.70404974189438,162.2489519503463,164.30174901521735,165.853221046154,169.728669867725
1,103.93362486666634,128.3871808,138.5139074085713,143.09450255733336,151.87161862060637,154.7184516749446,155.90256503050034,159.7033163128105,160.33991938315816,162.49368353575727,164.52722994702933,166.023839698462,169.728669867725
1.5,109.733766836667,130.995602698,140.37963130857156,146.09364383622267,152.738991569697,156.02229796098894,157.23817829566698,160.03164923535908,161.0109333710003,162.87262352554075,164.7110918323188,166.4958648891386,169.728669867725
2,115.059874333333,132.850029466667,142.26133425428546,147.59123646044435,153.98380439030262,156.40311591208797,157.42594879233334,160.40485226562123,161.69422780315776,163.13657912813824,164.90472857014493,166.683337729231,169.728669867725
2.5,118.66248799166668,136.29217832333364,143.38998121964326,149.4307930899999,155.1905653712124,156.82478808186835,158.91749575,160.74142087254918,162.07291756736876,163.51348816645006,165.0063285557975,166.804651950769,169.728669867725
5,127.49975106666666,143.13420318000001,150.45386925357184,154.63852783333334,157.05148687424273,159.3721186043959,161.031416704167,162.27428336993495,163.22352213157893,164.61578883896098,165.737672594203,167.502498990769,169.728669867725
10,143.184491366667,154.796676626667,157.7497907214284,158.4581981155554,160.446009809091,162.3118924505496,163.5495173216667,164.1954021647063,165.07719629052622,165.61608088571398,166.7596566405801,168.099777901538,169.728669867725
25,161.409691666667,163.60682073333325,164.54122667857175,164.97949092222225,166.1611554772725,165.92855261538475,167.08575169999975,167.03379898366023,167.4662240894735,167.7193503333335,167.8737464275365,168.553379501538,169.728669867725
75,182.980698,179.2521421,177.02049400000027,175.3944820777775,174.7736301515155,173.94757867582425,173.47740104999974,172.74264257189526,172.3750382894735,171.943438777056,171.43047220289873,171.01481833076951,169.728669867725
90,191.665829,184.244281333333,181.50494669285732,179.36488756000008,177.9327360666669,176.6992623560435,175.61778725666642,174.80127255294082,173.8688460736846,173.34147380779171,172.49559140362328,171.5289378233843,169.728669867725
97.5,196.991089,190.27301420333333,185.42632553214312,182.2849720077779,180.20025669393905,179.2449990115388,177.80918389375032,176.37258224509787,175.57762534289495,174.6773579586584,173.55674983097788,172.596835366154,169.728669867725
98,196.991089,191.666977466667,185.78277931714257,182.72475737955514,180.52651560303,179.36549390945058,177.96597015099968,176.60543025803952,175.68922289578947,174.86548565766248,173.637337202899,172.616857587692,169.728669867725
98.5,196.991089,191.666977466667,186.505720642857,183.17293351777766,180.78399942272682,179.4851004634061,178.260554323583,176.95117926993433,175.89411560221095,175.0978552486577,173.67306610286198,172.616857587692,169.728669867725
99,198.789045,191.92030626666667,186.865174071429,183.55175996711145,181.03347421242458,179.90609752615435,178.40363111016634,177.34044513790874,176.06768773831584,175.242725991342,173.8327358781164,172.665526036923,169.728669867725
99.5,198.789045,192.342706266667,187.17055132142858,184.48909845244486,181.42556758393903,180.26618422307678,178.75798280575032,177.79786120745143,176.19349509957885,175.3149259249785,173.908471398551,172.665526036923,169.728669867725
Median,174.040255,172.410854933333,171.6037484642855,170.930493711111,170.9118825454545,170.22811454945048,170.33192693333302,169.875814013072,170.196520442105,169.8704524848485,169.6832863514495,170.022594572308,169.728669867725
Mean,169.75089271033335,170.02650340426666,170.05506334514288,169.60745467475553,169.92603664524242,169.68705969907694,169.92135175083334,169.65906085926798,169.77749128777896,169.67897629167095,169.62545869852175,169.80189589528,169.72866986772493
