,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28
0.5,223.06829401500002,299.59124905,410.14180724,498.67277641000004,591.311124065,693.6824748250001,764.8323370200001,835.98109976,937.4717018450001,1020.4947152,1104.56304389,1206.690554,1382.611863
1,231.740111,317.31517958999996,415.73738744,514.2272611100001,610.67100081,709.74466743,772.3060974800001,862.88801503,954.67893526,1025.64029684,1112.17812,1226.062264,1382.611863
1.5,234.24540084999998,322.69516645,423.009035245,524.761548655,617.32407422,718.669258335,782.575465575,876.188341125,959.34641156,1034.41732462,1121.55837817,1234.006554,1382.611863
2,236.85294134,333.34348974,436.21046578,530.98848896,622.93443408,722.82652212,792.62611724,881.12255374,969.1051174,1040.0324548600001,1128.269687,1236.991437,1382.611863
2.5,241.15669255,341.09765285,439.79995045,536.5169565250001,631.42517595,726.811097425,796.1634597249999,885.7669447,976.884088175,1048.5749391000002,1131.469687,1240.781681,1382.611863
5,257.071576,364.26055049999997,459.82623635,560.2243186000001,653.20684245,736.4000149999999,819.2543314000001,909.8343640500001,997.01782935,1066.8388137000002,1148.05606125,1251.71731875,1382.611863
10,270.42275,382.8364097,484.34347590000004,581.0564156,673.0509233,761.153501,844.6853344,932.7812131,1012.7826997999999,1090.9922466,1168.4439865000002,1265.0041935,1382.611863
25,305.783084,416.142206,518.8845534999999,615.2953375,710.65170475,797.75389425,881.0197885,966.3368357500001,1050.26684075,1125.89897725,1205.6715302500002,1288.4848965,1382.611863
75,360.914065,485.031193,593.7108425,699.759544,793.22965525,881.5751875000001,962.4446125,1045.9643947499999,1120.3227725000002,1193.97490975,1267.0905365,1333.7811105,1382.611863
90,384.25158,508.930131,624.5662047,732.5993576000001,829.1868397,916.5436214,995.9204705000001,1078.0820631,1151.2559414999998,1222.9647367,1288.0139964999998,1349.293745,1382.611863
97.5,390.880531,537.6028165,659.599745475,769.0539481999999,866.446760725,954.1353506,1029.4491452250002,1109.542196875,1178.836896225,1249.6290989,1310.1520495250002,1355.174623,1382.611863
98,390.880531,543.024589,664.072914,774.76643826,869.8574274599999,957.9987229399999,1035.3832287799999,1112.88756092,1181.89911808,1253.69546244,1313.95647274,1359.219034,1382.611863
98.5,396.274399,545.072909,666.776139755,781.7742369549999,875.25344703,964.600779915,1039.488086205,1118.4259133799999,1185.0242907099998,1258.809654375,1317.998256985,1360.931272675,1382.611863
99,396.274399,545.2237487999998,668.43801304,793.7854526699999,881.30886276,970.70536824,1043.88691697,1125.0863006700001,1195.27051372,1262.39279768,1320.62582344,1362.472645,1382.611863
99.5,396.274399,563.362636975,674.7884509749999,801.0669400099999,888.3594338999999,980.0940474299999,1054.642374155,1133.57278811,1202.57571797,1264.97555011,1325.687914,1362.472645,1382.611863
Median,333.975227,450.88618699999995,557.2877985,656.2708,747.7070795,837.202352,924.793677,1007.9324879999999,1084.3267150000001,1162.559586,1238.4481635000002,1316.018935,1382.611863
Mean,329.834179028,448.249791228,555.8062175090001,656.107100142,749.396645007,838.6764432230001,921.5665431509999,1005.7617736480001,1083.478594943,1158.963337422,1233.590771109,1309.6954011330001,1382.6118629999996
