,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52
0.5,58.72442727166667,59.474015326250004,56.750450647,54.59551920749997,53.51743354357147,53.268097194375,54.894367613333344,52.960788296,49.789864475909056,50.9701149070833,50.444864489615405,50.48223463035719,48.79640663133333,48.606769481875,49.61865817029407,47.999618542222244,48.210463745263205,49.5167673155,47.679023101666665,49.32362741249998,48.89829913608693,48.629415564583304,49.689477632199996,50.9774526153846
1,62.51253762333334,62.3094508575,61.27694837,56.5706341316667,56.28598521571425,56.2266742725,57.26756671444448,53.952460352,51.78101606545455,51.88271438166663,51.73112003615386,51.05630254642854,50.2413774166667,50.330497511875,50.57929876411761,50.108867048333344,49.05855573736841,49.914620012,48.87889973619044,49.9249340490909,49.35348805043475,49.27276671333333,50.0079242036,50.9774526153846
1.5,68.66657729833331,63.20859546375,62.328353755,61.4870766616667,58.71452945000003,57.517896288125,58.18284398777777,55.569378625000006,53.66592801636361,52.6443263679167,52.605207076538484,52.229678495714325,51.451436081333306,50.935922933125,51.02425886852945,50.624602783055565,49.92159419921049,50.583715072749996,49.37827117166668,50.259576822727304,49.74277298391304,49.7859227710417,50.182234563,51.02100457980769
2,71.86309128000003,64.101686695,63.701721328000005,63.92107239333336,60.391804354285696,59.0057047025,58.69780459555557,55.909291486,54.405607545454494,53.58855946666663,53.466207226153834,53.11602651714287,52.5016985226667,51.188838661249996,51.745164967058834,50.97503752999996,50.386028562105224,50.972827915,49.80156370000002,50.47750038181816,50.409920333043516,50.1177201491667,50.5872638928,51.0216678076923
2.5,73.83605861666668,65.39978831250001,64.356358015,64.94722537083334,61.119839557142846,60.69708989375,59.612624513888846,56.922041155,55.227022799999986,54.588910633333334,54.1473586038462,53.4361613803571,52.98006230333336,51.7292139375,52.293097454411765,51.357794004166685,50.82003383684209,51.17632050375,50.41555967142856,50.884818002272766,50.6393584804348,50.359805812499964,50.805149181,51.0216678076923
5,77.9234945333333,72.05024102499999,70.00101279,68.8923564333333,64.8458354928571,63.573793987500004,61.673317316666676,59.618013935,58.122670318181854,57.1852337375,56.38401493846156,55.39765353571427,54.877973919999974,53.505741381250004,53.605519211764694,52.63251504444447,52.54261631315788,52.317543217499995,51.58616630476193,51.91114928636365,51.4854098347826,51.145180525,51.311745426,51.8036793461538
10,87.22751359999997,81.387043075,78.00699420000001,73.08112948333337,69.47067212857141,67.83748805,65.17063047777776,63.76149667,61.42969185454545,60.3627078083333,59.47707294615389,58.379794907142845,57.286990426666705,55.893302475,54.93630824117646,54.195881172222215,54.393653563157926,53.747564095,52.77558563333333,52.89928202272727,52.35114528260869,51.921750854166675,52.026358236,52.3095479230769
25,102.817790166667,94.0715806875,87.55440695,81.54921224999997,77.02994585714288,74.07067521875,71.5138799166667,69.670560875,66.58986193181818,64.7449328125,63.2639999807692,62.382416910714326,60.866811116666675,59.160540859375004,58.68233720588235,57.44757686111112,57.15340942105265,55.8544211125,55.14484510714285,54.49691711363635,53.91269175000002,53.229004614583346,53.04463724,52.8815510384615
75,137.887931666667,119.23799481249999,109.20955025,100.26557791666674,94.79742382142858,88.08044468749999,84.64643483333333,81.32052435,77.66231084090913,75.29072125,72.69661157692306,70.55539241071429,68.637462,66.401089515625,65.32664564705885,63.64120906944442,62.69866075000002,60.99868775,59.8714304285714,58.55022528409095,57.286130217391296,56.28598216666665,55.129322009999996,53.8797928461538
90,150.5974299666664,132.53737,118.53932546,107.45853278333361,102.249794742857,94.33641945000001,90.57782512222221,86.75170849,81.85759901818186,79.26969809166667,76.78751016923079,73.99357777142853,72.21165793333333,69.58264280624999,67.94022139411767,66.09774592777778,64.96772447894737,63.0257072,61.61716286190474,60.14642209545455,58.75726308260865,57.40436930833334,56.10191172,54.7496161923077
97.5,165.08081469166666,143.95827365625,129.298327765,115.27182029999967,110.47982370000027,100.62047804999999,96.31050867499998,91.97774100500001,86.4542735454545,84.78933913958329,80.7898488384615,77.78836429821426,75.26420668833333,73.2287677671875,71.33127912500001,68.94088926666669,67.04196854605264,64.8959375375,63.78563817738095,61.854441597727245,60.39485437391304,58.8538565822917,56.88606048,55.3168432307692
98,167.49956953333364,145.5962711,130.542655748,115.92992139000032,111.0903931742853,101.52228348,96.93204229555553,92.735773506,86.88842737818185,85.54782190166667,81.48161537384614,78.00047808285717,75.73604501466667,73.51791702125,71.5762722141177,69.3959456588889,67.3626450052631,65.118397832,64.00302096476194,62.0836323018182,60.52435882173915,59.11354871000003,57.076691686400004,55.3168432307692
98.5,170.231958,147.41009649375,132.27161389900002,117.018855730833,112.01607576214272,102.75071382125,98.11958548277777,93.254159855,87.44171030090912,85.87966905625,82.30987564230769,78.3168053592857,76.30727633166669,73.6784395053125,72.00686103823529,70.08068696916666,67.54562627131578,65.51910507725,64.33824258095241,62.49771933681819,60.774934256521725,59.283898128749996,57.168514617199996,55.3168432307692
