,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52
0.5,307.5939942,438.77134240500004,510.46459097,593.828879005,695.9264134699999,766.246805625,806.77499474,895.4215619299999,990.11078951,1045.46113234,1094.6182144000002,1178.96772137,1236.066862505,1301.348553725,1370.562472175,1446.2653846300002,1513.499412545,1573.96686838,1623.34464941,1705.39855387,1754.5027692449999,1835.918802595,1914.8653120249999,2013.48332
1,329.14389449000004,444.19229726000003,522.4462427,610.61776025,707.36832569,779.90876283,818.34921278,911.85561768,994.71793152,1059.3358563900001,1116.47607468,1189.86840768,1256.70640637,1328.3665474,1380.1895902200001,1457.27357912,1524.00137655,1586.58904953,1636.83039026,1722.16348473,1767.7184209999998,1850.92954529,1929.61155077,2013.48332
1.5,340.11701611999996,448.85357921,532.956516625,616.638104045,716.75747772,787.283347825,838.714695105,924.2820218649999,1001.75167153,1065.98175452,1128.3287350449998,1202.91882129,1272.002887165,1338.288871885,1389.577847585,1467.841343245,1542.8715248449998,1593.372524265,1655.4279638799999,1726.26455083,1787.9625051950002,1861.4847892399998,1937.9671975400001,2013.48332
2,346.78408116,454.00282446,540.09547012,628.44922428,724.98573966,795.58148254,857.3330827799999,935.34407702,1010.4618104,1072.86855072,1137.15113254,1207.77855332,1281.22563676,1352.85211006,1401.31813358,1479.1195641000002,1547.24714602,1600.21381628,1665.7047137,1727.60663826,1795.9548081,1868.99122566,1942.26550258,2013.48332
2.5,351.1917442,455.681814875,549.462968075,631.5154576,733.613876625,799.75760825,862.3690915,945.005398375,1014.109936575,1076.966417975,1148.514674975,1210.052047875,1286.3678386249999,1356.507024,1414.9783533749999,1483.6782842750001,1550.8233278999999,1604.9447992999999,1671.9095732750002,1733.4123819,1800.808546175,1873.274995375,1944.281607375,2013.48332
5,364.9971674,477.11567385,567.0295108500001,652.86290595,750.11333485,819.56919215,885.15633345,962.6535165,1037.3492523,1101.0346388,1166.4452407,1236.4099135499998,1304.67376025,1376.1935396000001,1446.4103880500002,1502.3035688,1570.0907533499999,1637.02214925,1697.32410215,1754.99567145,1820.97898145,1888.2904340500002,1958.7529456500001,2028.187451
10,386.7312983,496.6913632,590.2861679,677.1819992999999,770.7721915000001,841.7853917,914.4997665999999,986.1859493,1066.7168577,1130.3217433,1197.1090698,1264.4139738000001,1330.2955957000001,1402.75104,1473.0848672,1531.8359187,1591.2198863,1662.3741714,1717.7367436,1772.1700418,1840.9832668,1906.8346973,1971.3729758000002,2042.854727
25,421.82194749999996,532.95424875,634.056,721.181758,804.4427755,881.61234275,959.48662625,1039.5265857499999,1108.3894500000001,1177.12825625,1241.2279577499999,1309.7781355,1374.2501795,1450.08557175,1512.49841775,1569.3792995,1636.06382675,1696.42266725,1756.1911662500002,1810.40034775,1873.633566,1934.64070225,1992.8171495,2062.989879
75,492.156891,604.9714835,709.9312505,802.39193475,892.974296,978.61838025,1053.42409275,1137.9742905,1209.18277,1274.79963075,1345.1403925,1408.59917925,1477.2226855,1533.585443,1601.3392115000001,1656.9052685,1716.13086575,1776.349026,1828.0550962500001,1879.966191,1938.8268707500001,1983.32677225,2034.9538275,2079.768588
90,513.751584,639.7163706,746.2729324,839.8246673,925.9527313,1018.6680663,1094.4621989,1176.8518085,1247.5269772,1319.6516299,1386.7122935,1449.3068043,1514.9123104,1572.5864333000002,1635.3979668,1691.8474466,1749.1324613000002,1808.7108074,1853.0820641999999,1906.4348624,1960.9768511,2004.7132795999999,2047.6288862000001,2084.054796
97.5,544.7679241249999,666.1955420749999,772.9576019,875.8775798999999,968.33379775,1051.271058525,1128.006668775,1216.20628175,1286.72102535,1362.2620527499998,1428.6998466,1488.53200205,1549.470298575,1614.707743225,1668.560158625,1731.3995651,1782.951621,1838.1751265999999,1879.05502095,1930.3727979999999,1981.9677284,2019.960144125,2056.375618225,2086.94616
98,549.556889,669.776128,784.9434762799999,880.5170226,972.3527490399999,1054.37121312,1131.83857862,1223.11042882,1292.03088994,1364.6760733400001,1432.4043074999997,1495.11020268,1552.3079674,1617.29103594,1669.80124484,1734.85979798,1789.01667822,1840.40130942,1880.0761158799999,1935.9625945199998,1984.53591484,2023.20336,2058.22947292,2086.94616
98.5,551.256889,673.48913791,789.24329532,887.64549413,979.21011598,1059.03039617,1139.403680585,1230.24691884,1296.97217597,1367.638383255,1438.797423755,1499.4160975300001,1555.617933505,1622.178557305,1675.535380135,1739.4895755950001,1793.41522414,1848.1584073499998,1886.195191815,1939.990707645,1988.2109361100001,2025.2636150399999,2058.9848048199997,2086.94616
99,560.156889,683.54386503,793.9542146699999,895.5608648900001,984.57793192,1065.8123225900001,1155.69146056,1239.48347441,1307.34302803,1377.54847598,1445.0812184299998,1511.8400737999998,1568.44242441,1630.5523829400001,1682.5784423999999,1745.58125108,1801.48403975,1856.66586079,1890.79354072,1946.7911116399998,1990.43928301,2027.1159270100002,2060.5013421,2086.94616
99.5,560.156889,689.65812032,806.5609781,910.47207327,990.8356146899999,1080.3904653250002,1177.71349242,1248.687462555,1324.4858057699998,1389.5702385599998,1456.82023187,1525.753859055,1576.720744345,1641.632653875,1691.64656918,1753.0604638050002,1806.998195805,1868.04315038,1895.6968888049998,1956.69443811,1997.2800074049999,2029.29573532,2064.349197655,2086.94616
Median,459.7607535,570.8355855,669.7652245,762.6028535,851.4414965000001,929.8079865,1006.2658650000001,1090.4825645,1163.1985045000001,1229.0491284999998,1294.423411,1363.8286845,1423.9647209999998,1493.0778,1558.9719679999998,1616.534984,1674.2007305,1739.285931,1794.147895,1846.35167,1908.520954,1962.579561,2018.561803,2071.493636
Mean,454.580734733,568.6374961009999,669.408375536,760.236016393,849.4495190099999,929.6640836159999,1004.280038474,1086.576933002,1159.342725813,1226.4327731960002,1292.57339154,1359.356855554,1423.7040192260001,1490.611655583,1554.906510999,1613.2080711419999,1673.423969602,1735.548249941,1789.468641701,1843.053628573,1903.7920803129998,1957.831052478,2012.553769216,2066.637807795
