,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34
0.5,33.71613724,60.44783436666663,57.71600150125,59.080935349,55.4638455116667,51.41510878928572,49.897350822499995,50.30608093888883,45.2854143505,46.952687792272734,46.53480985458337,45.37996901230772,45.29563888321428,46.078286578666635,46.46657625,50.647966
1,47.28444021,62.24726571000003,61.446093375,60.683419156,56.945186851666634,53.2834449685714,53.01900717875,51.76955469888888,49.140690756,48.04809936090911,47.530989032499996,46.05977283461535,46.371647794285714,46.36595599999997,46.9218916875,50.647966
1.5,60.502902205,64.75459157833329,64.53104181625001,62.298266764,59.0914279025,56.02145081642858,54.03860068625,52.5793191377778,49.782201245,49.28209354909092,47.9450251445833,46.7009991646154,46.82884665571431,46.8860032553333,46.9551653125,50.647966
2,64.14634731,66.82411918,65.890056265,64.171661672,61.34655365999997,58.0573827457143,56.005559909999995,53.65210908666665,51.619353908,49.71639514545457,49.36715910999997,47.15864225384612,47.29730812285712,47.2072896573333,47.27152603375,50.647966
2.5,70.27207575,69.78160654166666,68.12155583124999,65.99699282499999,62.03545232083329,58.83557963214285,56.781627428125,54.72294266666663,52.171592945,50.37327500909092,49.74064215625,48.22599246538457,47.542032774999996,47.5277796533333,47.435259392187504,50.647966
5,80.561982,79.00396300000003,73.5388595875,70.82052902,68.10109329166667,62.43460906428571,60.05289551875,58.07954612777781,55.041549110000005,52.95325949090907,51.330827666666664,50.29757027692306,48.84112462857139,48.159585649999975,48.189391375,50.647966
10,94.673327,87.7095892666667,82.44223715,77.46079494,72.46211659999997,67.02912991428573,64.12035755,61.99708588888892,58.27652931,55.653648700000005,54.19855473333336,52.040960376923074,50.732000642857166,49.739308673333305,49.1307121875,50.647966
25,118.043528125,103.729872,95.2374584375,87.00925525,81.994692875,75.41331346428575,71.94720728125,67.38670083333335,64.167935325,61.2290218863636,58.615936124999976,56.46613571153843,53.9965983214286,51.95673575000002,50.78110278125,50.647966
75,171.2318945,141.799008,122.631526125,109.64533125,101.594367041667,92.49791032142855,87.9769615,81.5060065833333,76.779383325,73.7241511363636,69.1700636458333,65.94064792307692,62.0537487142857,58.71571406666665,54.9014655,50.647966
90,186.1143805,155.95679793333332,132.943964125,119.74795754,109.42919348333331,100.345471728571,93.58180858749999,87.0676596666667,82.47575129,78.32486056363632,73.96767689999997,70.11942582307688,66.0694200142857,61.528470733333364,58.155297,50.647966
97.5,189.428856,170.231958,146.6101023625,129.776835425,118.08622319583365,109.1368648214287,100.00122651562499,93.54390533333331,86.954825375,82.67272864999995,77.8218066770833,74.73478302884611,70.02296571428575,65.3890081066667,60.159535375,50.647966
98,194.822724,171.137917333333,148.66296971,131.60637174800002,118.51263479333299,110.20873466857141,101.08432969750001,94.55690400888889,87.564629418,83.25971089090903,78.3895902033333,75.14844565384614,70.22103275285717,65.877461692,60.654442375,50.647966
98.5,194.822724,172.441608333333,149.23816787125,134.490177192,120.236133681667,111.41178703,101.64608076687499,95.33917550111107,88.189132387,84.0515435981818,79.0393661533333,75.9012051692308,70.59626413535716,66.188533104,60.654442375,50.647966
99,194.822724,179.883861333333,152.940380965,136.000640422,121.69089278499968,112.84548106428613,103.4817280075,96.66208493777779,89.70056561099999,84.6366800609091,79.78747857249998,76.92364788538463,71.83979586571427,66.53910313400003,62.0960328125,50.647966
99.5,194.822724,179.88769331666632,154.8591819375,138.757898657,124.81315071083334,114.77806364999971,104.867903486875,97.90174283833335,91.069586386,85.81513355954549,80.64010881499999,77.53559164846148,72.97485689571424,67.25960023566664,64.154371625,50.647966
Median,142.09541925000002,122.677357,108.973659,98.6874441,92.6114974166667,84.094223,79.65349706250001,74.8266757222222,70.88412805,67.0075365909091,63.68688283333335,60.97247588461535,57.8909776785714,55.1025899,52.354404625,50.647966
Mean,142.09932724700002,122.31839892366666,108.33725156825001,98.3971790926,91.73954615683333,83.95534726871428,79.5160955615,74.54567163444445,70.4805449526,67.12659856790908,63.842301922749996,61.143821373230764,58.13195661371428,55.42327817666666,53.039921219875005,50.647966000000004
