,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34
0.5,109.195213,127.250300900667,125.30533997642885,139.05282638044477,146.88104383075785,150.65610651252763,154.80334365574967,156.8391918620265,160.27910102084195,160.43607790575803,163.33483561499952,163.917381031846,166.14204440798898,167.74594202425328,169.504718879032,171.931484060606
1,114.30276290000033,131.78686059733332,136.53885301499986,143.09260393999958,148.82796802696996,153.4915221881317,158.66757045016698,157.98654363411814,160.93448461368422,162.23153629610385,164.17817423623222,164.49163045021547,166.60028420380908,168.17447589788554,169.636421584677,171.931484060606
1.5,115.462503918333,133.86164191199998,139.83035468571398,144.71924868888865,151.34020468878808,154.9869029884611,159.76231543116697,159.6867323059477,161.927242238,163.081195047792,164.38327382670334,165.28393806516925,166.8956869635454,168.331050160184,169.649413983871,171.931484060606
2,116.958583333333,136.74668694666667,140.60291545285688,148.43780437066636,153.64545329697006,156.38869395340691,160.26240687933299,160.68568382169948,162.39930197978975,163.4076479156707,164.73978918492705,165.71317386276968,167.2785001424341,168.50054694013807,169.740751701613,171.931484060606
2.5,120.60065612500033,137.527789733333,142.5335329232139,151.34691967444488,154.36589394772733,157.7163769521974,160.74494309291634,161.60314001895392,163.1589910060529,163.66260750909075,165.00648995163058,165.97191155538425,167.4953784772488,168.63887312494268,169.740751701613,171.931484060606
5,131.185829616667,146.9694396600003,151.7966832392857,155.776542784444,157.51049922575766,160.85311597692305,162.4742093075003,163.7335216549021,164.92070240263175,165.29335828181846,166.42431165941994,167.0817561513846,168.2541776145507,169.0010584140229,170.068825407258,171.931484060606
10,148.079123,155.56591056,158.3922064928569,160.3787783555556,162.5264947818178,163.95205402857158,164.7333177283333,165.7760281032682,166.6293812810526,166.9982302528137,167.5925055673911,168.359102051077,169.0449875941797,169.6887697310342,170.392269278226,171.931484060606
25,164.33994291666698,165.54509630000027,166.89395780357125,167.8752709888885,167.76837620454526,168.901339868132,168.79627330833324,168.739861150327,169.52910827368424,169.7011125714285,169.8530851304345,170.37245978769275,170.581229517196,170.71891682758576,171.0835055766125,171.931484060606
75,184.875956583333,181.618359966667,179.3716653928575,178.396046822222,177.37377372727275,176.51519108241752,175.8477821833335,175.44469574183026,175.1007991578945,174.65497495021648,174.16393497826124,174.05108658153824,173.85137974074075,173.1825351609195,172.802489322581,171.931484060606
90,191.665829,185.3099279333333,183.8482662785712,181.31309828888922,180.0895600848484,178.72999038461512,178.450499495,177.3993971202611,176.55604960947358,176.2007728770565,175.6717158210144,175.3952159027688,175.0690420708998,174.1165944165517,173.319407068548,171.931484060606
97.5,198.789045,191.666977466667,186.56839683214244,183.99199830444422,182.46132682348502,180.39400622527447,180.01954637375002,178.9336928470592,178.16097819657898,177.88101502164488,177.05979112844165,176.7018811590771,175.7597571170635,175.1431060618389,174.317172439516,171.931484060606
98,198.789045,191.9160396,186.8696412357147,184.26377940622191,182.6524193363633,180.5761241731868,180.213437132667,179.15345989882385,178.29182413326333,178.01897384813864,177.2125702952172,176.83564180049277,175.87487629449728,175.23410417296532,174.374499108871,171.931484060606
98.5,198.789045,192.342706266667,187.325322972857,184.48461631199964,182.87511539212082,181.05493594813234,180.416726660917,179.42653950542476,178.49179027826327,178.19570877735921,177.39764565115922,177.08056988110815,175.98954772415348,175.3849072395631,174.401798495968,171.931484060606
99,198.789045,192.4959856,188.439437428571,185.06175707555536,183.32183747818166,181.6470448309885,180.72989592533332,179.52745832326838,178.69854540736858,178.42856780519438,177.55115419855073,177.1337567257231,176.21084408206394,175.50144721360914,174.422832657258,171.931484060606
99.5,198.789045,192.4959856,188.925917214286,185.51198700222233,183.68512466833306,182.12758392571465,181.27215094716632,179.73461063673153,179.26346986536842,178.93321294333293,178.1163998980069,177.44145551203067,176.38212892145503,175.74346615903409,174.430461830645,171.931484060606
Median,176.1545371666665,175.21286106666702,173.82167950000002,173.5143008444445,173.36915172727248,173.041408714286,172.9312041,172.64778101960752,172.64616086842102,172.2780726277055,172.2245182789855,172.323182335385,172.184458,172.1491951609195,171.902870116935,171.931484060606
Mean,172.22825686333334,172.34983079080004,171.81108049278572,171.99482991262224,171.92099744393937,172.03125695375826,172.05232338248334,171.92165878653594,172.04782068553683,171.92551617291772,171.8752478277536,172.04211815601843,172.09210342694178,171.96779196486895,171.95398469104438,171.931484060606
