,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58,mpd60,mpd62,mpd64
0.5,113.32453347599967,135.7361472403573,140.1475578711109,148.05867486833338,150.62817852977977,152.142805690583,155.23635483045715,157.32616182031532,155.3164355275758,156.4628989614495,157.56520113166152,159.92326486396783,159.62474330354073,161.03180190808496,161.40631222953692,162.48425248401594,162.31450018779546,164.25563340565427,163.9855026263068,164.91867004636342,165.0071277229855,165.57056820432658,165.956091035535,166.1979797832876,166.7929773288122,167.1887004532989,167.6052538566548,168.12546694722045,168.75389041200944,170.094921144841
1,128.21070891333298,140.10568075928555,141.5237252457778,152.37592479484812,153.85834195208793,154.64462958483298,156.05066337346418,158.26747981578916,156.58939485489225,158.6105054633335,158.76634637870768,160.87586518423305,161.3340630396317,162.39231408653194,161.89857829322654,163.06260968469837,163.62332718378406,164.9641787687694,165.26908083047647,165.5304672039108,165.2783374859908,165.92357602351024,166.4587125752325,166.69033425666694,167.22311182958725,167.5817497660647,167.763783447901,168.24085223256492,168.769237879429,170.094921144841
1.5,134.945498288667,142.32420250821428,145.20855779844433,154.12752637939374,156.1514661636261,155.29897049024999,157.31306749947723,159.39611735310515,157.41754331943767,160.48042941329737,159.5333453328924,161.4890394510052,161.64357532772382,162.55463338743945,162.8032295872728,163.58139930455593,164.25296540940235,165.34422727060283,165.4184905784085,165.87305820823508,165.66726090558456,166.3006715079163,166.6512646310036,167.069669463906,167.41756352570263,167.67530484391511,167.96165292709637,168.3718779722433,168.82605728630887,170.094921144841
2,137.811661925333,145.67845137285744,146.049531140444,154.82381626000014,156.77801996175853,156.77948886333334,158.34927885359443,159.85050859915785,158.75645662857178,161.01283348840616,160.2298941100307,161.96045306973508,162.4154720819315,162.85440062120958,164.095924993797,163.74666513415838,164.6706329338263,165.50539512507657,165.58518561983718,166.14737343251574,166.0303441618546,166.5188569279783,166.7301157540249,167.2600927191252,167.48708875270427,167.86595667841533,168.03331814257726,168.50133615025965,168.869916306716,170.094921144841
2.5,140.78558989000032,147.35758493214314,149.5445553722223,155.60088244015142,157.2670481961542,157.30382831333367,158.75322221535907,160.23312220157914,159.87237327121224,161.48564835543442,161.2791910276921,162.73692047354484,162.61977864517274,163.40150550725852,164.49820110552548,164.10495151071453,164.8330076605972,165.65060788339753,165.75670829146355,166.20427784244208,166.19410466946817,166.69472847468987,166.8635184446934,167.40100795720252,167.55488053231986,167.98881492545476,168.11378498953408,168.53250452870103,168.9747229508989,170.094921144841
5,145.590122533333,151.70426496071428,155.04943292222265,157.8605992939394,160.5165368692311,160.10471108416664,161.70553867189577,162.1200605047371,162.17570133290005,162.4427328228262,163.3395564523079,164.25816318650746,164.13643569862114,164.5238979143142,165.386349588414,165.4421986195238,166.06630801052648,166.48484137282054,166.38468020627167,166.8678452751589,166.70026905613534,167.1398067859047,167.5024856782036,167.84604941840107,168.02286425960835,168.33576994603885,168.40875638777945,168.8788295054237,169.4006629918029,170.094921144841
10,154.1234500133333,157.44616985,158.76029268888928,160.9004537090907,162.8686257758244,163.0147332250003,163.8061904261436,163.95092956421098,164.4855589082252,164.75880995724648,165.1609767064615,165.6636427984125,166.0399706179312,165.9941390931448,166.699600210695,166.70947108349202,167.1623430352773,167.1450241171799,167.2215949477349,167.62411717611,167.6614724813526,168.0292224370572,168.0631769560817,168.43317494811438,168.473479239273,168.8041631676619,168.8264359304295,169.1030944916387,169.516885747329,170.094921144841
25,164.026185733333,165.408171339286,166.14452189999975,166.26030371212101,166.97972318681275,166.9994575125,167.47190007189576,167.1143444078945,167.50220236580077,167.83673414311573,168.01283008000024,168.150355313492,168.24907928505726,168.14009294153252,168.556835352941,168.2444804809525,168.58696410597426,168.64257715897452,168.90010715911774,169.0314546976745,168.93459085893676,169.114946528812,169.078216987755,169.24615660218674,169.29566760691824,169.43553748538926,169.521770733212,169.62746871949125,169.72660433289224,170.094921144841
75,178.980942,176.87219289285702,175.80235050000002,174.83164245454574,174.19018245054974,173.98784536666676,173.7143987352945,172.983551118421,173.0725696493505,172.78435470833375,172.68275496307723,172.40948199735425,172.16344883908073,172.02254426411275,172.18274153565025,171.85189999127,171.81180809459477,171.63789866666698,171.40287086933773,171.5386152690275,171.21202069420326,171.34094651108126,171.12711930163275,171.1223250746605,170.98963746645725,170.94548908441527,170.72569747610373,170.58740136581923,170.46292418455874,170.094921144841
90,183.91743305333299,180.94237167857142,179.2352856222224,178.28183071818168,176.83371540879122,176.67896974166638,175.7400822535949,175.0188426905264,175.23898145974061,174.620503415217,174.1801010049233,173.96821183915378,173.5216902068964,173.5955411540325,173.5902502491982,173.2483352955555,173.0068958785203,172.8095717782054,172.3818251786291,172.4079355031715,172.1288888660865,172.2102066886525,172.0136106610616,171.76369758687778,171.6246407612856,171.5016478541554,171.1749466669086,170.94755930700592,170.816248893601,170.094921144841
