,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58,pd60,pd62,pd64
0.5,309.00004307,408.14057671,497.127756815,577.797603615,667.478626535,755.025947735,806.169097405,896.0951729,958.91788147,1003.15217832,1098.20306043,1151.0019398050001,1189.931006645,1267.36110343,1330.923511275,1372.5998002,1461.85157159,1502.9129449450002,1599.27248018,1637.56459027,1696.9256257900001,1762.238779705,1849.99102643,1888.1427390650001,1945.69267027,2045.628177365,2100.29572927,2176.065924525,2245.119539,2371.450253
1,314.85407925,420.37624015,511.2065435,587.5343964699999,673.96425766,764.0461219299999,819.99683281,899.1730886700001,972.85306601,1030.9126497500001,1109.32008123,1166.33362618,1230.41315345,1286.16730609,1358.25551173,1395.6231538,1471.76662417,1523.10434008,1614.8075572500002,1669.09692354,1718.56088597,1783.28781355,1856.5427692399999,1894.38124668,1970.1274563299999,2049.59891085,2113.54127785,2180.87124167,2251.617087,2371.450253
1.5,327.204918955,424.835787565,518.34385865,600.168639095,688.340070815,770.72872201,830.8277632850001,903.615405,978.86773869,1038.875847715,1118.8457600400002,1175.8147739449998,1240.10591368,1293.3081281,1375.47443943,1412.36600731,1483.36950579,1538.830071315,1621.330177175,1681.85134135,1736.933825875,1797.5362246500001,1864.58051503,1913.6646987450001,1974.835049475,2059.5251392550003,2121.617880455,2187.8285263499997,2260.202476345,2371.450253
2,337.2121396,433.9605885,530.9328805399999,603.4886976399999,694.5494016600001,776.65408554,849.9382020400001,912.74479762,982.38290436,1050.03436826,1130.9575966,1188.2016776399998,1249.14986506,1309.54302318,1384.09635616,1426.60362286,1494.0453412999998,1551.97074234,1632.62690954,1688.4732006000002,1744.87533308,1804.34318662,1868.6544852,1927.16664242,1990.9050684600002,2065.87676182,2127.84151238,2193.98617384,2261.461274,2371.450253
2.5,341.48713172500004,438.292594125,534.11357065,610.4634959,698.5934699999999,785.1629709,863.3295794999999,923.988168525,990.752817225,1055.88535725,1136.075157925,1198.74961675,1256.5800705499998,1320.9238818499998,1386.5140691249999,1437.030280475,1508.6127365500001,1561.94503275,1639.9459139,1697.496199575,1752.87173585,1806.495051875,1879.6656866,1938.8000690000001,1996.831299425,2072.07478125,2129.62717395,2198.7298178,2261.966827,2371.450253
5,368.2086056,465.90186839999996,559.90480295,638.6741928,722.7018287999999,802.0353416500001,884.15353115,950.1765389,1010.7506359500001,1078.6790509,1159.0081315,1213.1136414,1278.2245831999999,1345.3851241999998,1414.1836091,1474.2448183000001,1529.9901158999999,1590.9092841,1656.25162735,1717.5532337,1778.37333685,1833.67696395,1904.50387865,1959.3980854,2018.14914635,2087.9149815,2147.16807325,2212.8935275500003,2275.56578,2371.450253
10,388.0282368,496.115542,580.2506405,669.7808791,750.6866149,832.4322339,905.2135432,975.2492070999999,1040.1723952,1107.9690971,1184.5094321,1245.4518007,1309.9235727,1374.6951976,1442.3558342000001,1498.2197188,1561.4528482,1616.7613603999998,1689.7448607000001,1749.0539725,1805.6379268,1864.5087872000001,1930.3029447000001,1985.1229302,2042.3891019,2103.0864629,2165.1160727,2227.0968935,2285.121197,2371.450253
25,421.85690025,529.8431410000001,620.4250985,709.7946115,791.764503,871.4931859999999,956.59203175,1019.984572,1090.290024,1163.2209922499999,1235.2291265,1296.09845025,1359.3101944999999,1429.1388267500001,1493.40584825,1551.444896,1612.48325475,1668.5696015,1736.0413125,1791.077828,1851.21157825,1910.518717,1970.212225,2026.46983275,2079.2650977499998,2139.79424875,2195.32269325,2249.205177,2306.82348375,2371.450253
75,488.277537,603.4389522499999,703.241676,797.357239,882.5395225,973.70253025,1053.34241425,1123.63132475,1199.788315,1274.126888,1346.07854575,1407.469907,1467.00207675,1536.74886375,1598.0118212500001,1658.30505425,1723.0163785,1772.59777325,1837.6546982500001,1890.83784775,1937.489396,1998.14312,2050.711709,2104.23151225,2150.9874835,2200.59076375,2250.241359,2298.0905217500003,2341.958601,2371.450253
90,509.45607110000003,636.4032109,737.5397027,835.3344958,924.99165,1008.5674753,1090.7047962000001,1167.6504704,1242.2912405,1319.4312048,1386.7325939,1456.1606413,1518.6750603,1584.4570208999999,1646.3521282,1704.0585055000001,1765.8023241,1813.5444819,1878.1053666999999,1931.3366290000001,1975.2125453,2028.3255596,2081.112403,2134.3844774,2177.9659463000003,2228.7958802999997,2270.8243552999998,2317.1505538,2349.8309598,2371.450253
97.5,535.139953325,665.820562625,774.1018813,882.7075146000001,965.54221935,1051.65776065,1132.7552314,1210.889834075,1292.937840925,1373.122046875,1430.569683,1505.450147175,1561.08531745,1630.4455439,1688.1282528499999,1747.6505678249998,1805.794055075,1856.4866266499998,1925.053335825,1966.6075513,2027.5114836,2067.321589125,2113.42421685,2170.8428971,2206.9825649249997,2252.896369025,2294.8833196749997,2330.17046635,2356.851585,2371.450253
98,543.0893054400001,669.3254971,779.80436866,885.8976828599999,972.8661384999999,1055.9089256999998,1139.2659702600001,1217.11719326,1296.6239922999998,1379.6550853400001,1435.9114030599999,1509.94720972,1568.02249336,1635.79366392,1693.72790254,1765.3652779400002,1814.7096387200002,1864.8311750599999,1929.43829482,1971.3803647999998,2034.31051686,2073.4906030800003,2120.72754446,2172.95745598,2208.89803524,2255.6382895799998,2298.35918038,2331.8453426,2357.825844,2371.450253
98.5,545.072909,672.718436075,784.830058665,894.932706275,977.22417293,1061.97297783,1147.20525924,1225.11614314,1306.1441751349998,1384.8836390899999,1443.2203699699999,1520.156877315,1577.5274733600002,1646.2772344,1700.7054125650002,1770.71875453,1824.6359554599999,1878.34027881,1934.5326195799998,1978.1438426,2037.88575757,2076.50356677,2129.800133125,2177.269383465,2214.17001614,2260.18242291,2299.811369025,2332.6303583149997,2359.199429,2371.450253
99,549.556889,681.43391601,791.5324491,905.66180001,982.94523175,1082.44928315,1161.86437606,1229.08918981,1314.3896045699998,1392.2144273000001,1450.3446242,1530.65085612,1586.59570909,1654.82878341,1709.9388727799999,1784.5579399800001,1851.17716098,1891.48502174,1942.2901378,1987.4223566800001,2050.85657229,2083.52882937,2134.50813904,2180.12091731,2220.3375797,2265.6957994299996,2301.18157216,2334.22189174,2360.741198,2371.450253
99.5,549.565389,685.1930969499999,799.34395944,910.45468306,1012.954212255,1091.8625228249998,1178.20818742,1242.48721481,1325.41100747,1404.2424982100001,1471.0523054649998,1549.04281801,1597.00935864,1661.675974805,1724.493164955,1794.30968224,1858.28002523,1900.51939282,1957.671707995,1995.65761412,2054.1256611500003,2088.09356157,2152.8333345449996,2187.618563805,2231.74795787,2271.28441793,2305.496841315,2336.7528065700003,2362.114783,2371.450253
