,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48
0.5,50.994753980000006,55.5064671583333,58.38476790625,55.219706923,55.48521171250003,54.10138272571423,49.9184211825,50.341369211666624,50.272724494,49.84911037363633,48.015503345416704,47.46912259192306,48.4414437689286,44.778107346,45.633956800312504,44.08260269411761,43.92538574916662,44.15260772657896,44.33721999025,45.99330105476187,45.305216128181854,46.076296078478286,47.3009909166667
1,58.330106109999996,59.230679423333335,62.895811192500005,57.794211046,58.119077606666636,55.84721524142853,52.698951442500004,52.35542263111113,51.219246891999994,52.776773599090895,50.0738648216667,48.52334080692311,49.252077237857115,46.41938903533337,46.51314380125,45.84608648294113,45.39686039611113,45.933289363157876,45.9735469865,46.476619602380936,46.21976386090905,46.28587928521743,47.3009909166667
1.5,60.802700365,63.97793662000001,66.08927111624999,58.739516343000005,59.267355326666696,56.21549475499999,55.13924612875,54.9167639772222,52.812491152499994,53.20455360818181,51.7695495920833,49.8277947446154,49.82485710678574,47.3449395883333,47.376715058125,47.24150545294116,46.09332628555556,46.69524367947372,46.35188205075,46.701759131904794,46.36381293818178,46.571258353260845,47.3009909166667
2,68.12721322,67.38867856666664,68.08977178,60.893024184,60.74917060666667,57.76548256000003,56.321689785,56.52435109999997,53.893065614,54.3663335218182,53.0078736866667,50.535576332307656,50.19689657714286,48.1832028186667,47.92468091875,47.79970462000003,46.85085463111115,46.97855735473683,46.548991332,47.039991691428575,46.663153022727286,46.7429877486956,47.3009909166667
2.5,71.38695039999999,69.58505725833336,68.83193935625,62.985770644999995,62.38465607500003,59.04949409285712,57.611290484375,57.71649691111112,54.669444049999996,54.613837168181796,53.459653531250034,51.0110365384615,50.762448337499954,49.57318772666667,48.205350734374996,48.15524220147059,47.74930367083328,47.21255307236843,46.741386725,47.3637084035714,46.803729198863586,46.930323217391276,47.3009909166667
5,85.381845575,78.76796276666664,75.0795349625,69.04829668,66.62274489166664,64.06092643571431,61.22932781875,60.290331433333336,57.954626585,56.45561627272729,56.10578472083336,52.8465960230769,52.70048364999997,51.27522461666666,50.2822379875,49.35174127647061,49.30963744722218,48.55159253157897,48.1234714575,48.33334558571432,47.65127127045457,47.46634833260871,48.0614219583333
10,96.032266,86.60239079999997,83.66695575,75.46175846000001,71.8431698166667,67.98010872857138,65.40974196250001,63.7742393,61.0528422,59.74998592727275,58.45869292500003,55.38924274615387,55.05411261428569,53.55618096000003,52.850600775000004,51.72688434117644,50.81624814999996,50.2860282736842,49.318212685000006,49.38447070952385,48.60045224090909,48.439967478260904,48.791317875
25,117.1145695,105.52893775000025,95.38212018749999,87.522036,81.34789145833335,76.23360689285713,73.46361725,69.56538958333334,67.70494972499999,65.47272165909088,62.9619333333333,60.4483529807692,59.15568142857145,57.078216250000025,56.423405875,54.67869766176467,53.93963101388887,52.78319443421052,51.496829649999995,51.11023982142858,50.229241625,49.593136847826074,49.2594133333333
75,170.929019,140.48059108333348,123.38420818750001,112.01706115,102.574524166667,94.87601128571424,89.83380299999999,84.6394457777778,81.6680186,77.53170931818178,74.39119847916665,71.29177100000003,69.00516889285713,66.72718366666665,64.530602421875,62.02649002941175,60.67493315277777,58.71226598684208,56.988871475,55.30078821428573,53.7127990340909,51.9943379673913,50.5674085
90,186.1143805,155.08325399999973,134.711020375,122.89359322,111.8256353666664,102.2686744714282,97.300800125,90.48760591111109,88.28325776,82.90294624545452,79.6179787166667,75.78240866923073,73.56449984285717,71.62644479999997,68.98046776250001,66.13934821764705,63.825710850000014,61.37192593157897,59.425059005,57.21971757142853,55.346199763636314,53.541853173913,51.0107296666667
