,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48
0.5,221.77894018,313.52391522,426.217405175,516.64412867,583.420053395,683.6823083449999,774.93104843,825.412681775,895.8553413249999,978.759771025,1058.4315121050001,1110.63847385,1175.23445648,1251.880940605,1317.267041605,1402.543855005,1457.594466405,1506.585409965,1570.7727364,1640.968510545,1719.328083525,1776.077525175,1873.296387
1,231.888665,335.71790331,442.90680541,531.20362945,608.66728157,698.15742208,789.68114334,848.03139817,924.7396229899999,1000.85876416,1076.13985372,1136.6328918299998,1200.20784097,1273.6252178,1341.61060709,1412.6655494,1473.59020665,1527.77600957,1595.83105417,1662.4749793199999,1728.63922087,1796.618946,1873.296387
1.5,240.38892127,344.352886135,457.73929011499996,543.80094563,617.88635088,711.28194588,798.211329695,860.2636389500001,933.149807985,1013.881659615,1080.3900780600002,1144.720812005,1209.13390159,1277.38437703,1355.02212345,1419.3605459599999,1479.835461715,1534.22833726,1599.97125033,1668.27331893,1739.113200195,1802.30320795,1873.296387
2,247.478241,349.76840504,461.45966424,548.2061393600001,634.1873936000001,720.8584551800001,808.0654654599999,869.1466333799999,952.9863075000001,1018.35280948,1084.4436958800002,1150.15103916,1222.10519064,1285.95618244,1359.35760078,1423.0011026,1485.4101489,1544.28608738,1609.45549814,1673.0695522199999,1740.64184372,1804.91144424,1874.414432
2.5,250.740497675,355.179423375,466.07655085,555.0340227,641.1971298249999,726.2342223750001,813.7227611000001,881.402773175,954.632333625,1024.21857385,1091.36133575,1161.74082385,1228.8483339499999,1297.229475225,1366.59477275,1424.115445275,1490.7240249249999,1548.01391735,1616.197878475,1676.6286240000002,1743.977838,1809.8351166,1874.414432
5,262.8484552,375.17455285,483.40656575,574.4412467,660.09717915,746.1740389,831.60377665,904.71437545,983.9682533,1054.214091,1118.64600365,1182.7858118499998,1249.7041241,1312.52203845,1389.5083267999998,1449.1849739000002,1509.21236165,1570.5706159000001,1631.6168673500001,1691.53829665,1759.8897714500001,1821.9730508,1891.546732
10,288.2855943,396.2590627,504.65977810000004,598.2057556,685.7894117999999,772.1505833,857.1124113000001,932.5691863,1007.2793491,1080.5237922,1143.7103554,1212.2373939,1273.0075967,1339.7276708,1412.0225340000002,1472.6269212,1532.0478176000001,1593.525136,1652.7681346,1707.467554,1774.8458205,1834.5921306999999,1898.201767
25,313.61747975000003,428.93495225,542.7363895,639.71114675,726.930615,814.4475285,895.7562415,977.07774875,1050.04810225,1120.63397575,1191.0379415,1254.3419765,1319.545321,1385.70787,1449.7784717499999,1511.7056485,1567.37811525,1625.3181095,1687.8788570000002,1737.8184942500002,1801.562813,1855.7160425,1913.298045
75,366.79433925,498.75755875,617.07343225,718.344023,811.29593275,905.94076525,990.843524,1065.563271,1141.2349689999999,1215.1804554999999,1282.67219025,1345.8663465,1408.7634277500001,1473.8853555,1532.816331,1590.2700595000001,1647.8428785,1699.3032010000002,1754.414737,1801.4014315,1851.541915,1897.589462,1938.000442
90,384.25158,525.851584,648.3383461,750.9066045000001,848.200365,941.2379807,1029.3791525000001,1105.85793,1175.6682031,1253.0667108,1320.7454582999999,1391.4429547999998,1445.5885478,1509.0505387,1565.9280049,1621.2204947,1681.150897,1727.6445557,1781.0652546000001,1822.9483653000002,1869.9461809000002,1913.3568,1942.836313
97.5,396.274399,545.072909,674.66990265,789.9187483,888.029662275,977.7374257,1066.824283825,1150.2679361499997,1213.0552208499998,1283.4419653250002,1367.41720265,1431.730071825,1486.877850125,1551.425536825,1599.0403636,1659.287418025,1717.3065858,1759.070083325,1803.0669425499998,1850.7423990749999,1890.862307625,1925.8960394,1947.622201
98,396.274399,549.556889,682.37921438,794.8898464,890.66154104,980.09572294,1069.7705538799999,1157.36688604,1216.1968480399998,1286.8062919200001,1372.14183462,1437.10808142,1493.8192069000002,1554.31629308,1606.8540226999999,1661.7125338,1724.1773985999998,1763.2181453599999,1809.17169952,1853.64614926,1893.42153906,1927.96300686,1947.622201
98.5,396.274399,550.8832656899998,686.723229285,798.39533351,896.077005795,983.962241585,1080.5361311650001,1161.28085232,1222.93427339,1295.159326465,1377.663277265,1442.5156207300001,1498.228397075,1557.41721744,1613.14868542,1667.6826359450001,1726.456432575,1766.696793275,1811.607294005,1857.129309915,1896.140946815,1928.6504381700001,1947.622201
99,396.274399,563.356889,692.3907128899999,808.1865094899999,904.62489675,992.5443855399999,1082.2010373,1166.7192566400001,1231.18759145,1308.08296326,1388.12182818,1453.6699571,1506.1832102600001,1561.04356367,1624.44521256,1676.1197149999998,1731.97080837,1773.45941904,1816.06524934,1864.8483402699999,1901.6530556599998,1931.75387236,1947.622201
99.5,396.274399,564.506484,698.4449278999999,822.4396692600001,911.230280635,1013.649298725,1095.2592594100001,1176.0346361050001,1243.41584886,1315.06640112,1398.56273204,1471.35567307,1522.443135625,1577.326528565,1635.886977305,1686.36247432,1739.27386899,1778.8929693750001,1822.2598464799999,1871.85857397,1907.4477681600001,1933.02517958,1947.622201
