,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48
0.5,63.729086785,55.91031896,51.856105853,57.10143523333333,58.22533090714283,55.46618715,56.56643828055555,56.396267388,55.00620602045459,53.76923008166666,54.90845461538464,52.67154849357146,52.101400221666665,52.04736853625,51.74219027323532,52.9805493475,52.71633904921054,53.142201301,53.408173370714316,54.30252799295457,54.53421554239133,57.93879875
1,67.53214019,63.33913349,60.170845218000004,59.44579585999997,60.95304309428571,58.3661743475,59.18634070888885,58.676638962,56.015754204545466,55.866892799999995,56.25276941307688,54.07633924499996,53.86041710000001,53.382711604375004,52.62186457588238,53.989357496111126,53.26909371157898,53.684964523000005,54.230629089523795,54.61523205454545,55.09228575173916,57.93879875
1.5,70.0771925766667,67.83339024875,62.836965875000004,61.1122028675,62.418830182857185,60.51921971125,60.76044721777777,59.810675408,56.9896226309091,56.7460409841667,57.128892958846116,55.65364356749997,55.2053609396667,54.411483662500004,54.32495606588233,54.5041632566667,53.88308356421057,54.28543743625001,54.56951082095243,55.02434956909094,55.2720303478261,57.93879875
2,72.5216720933333,69.17725748,65.299934116,62.23537714999996,63.373494214285756,62.733467880000006,61.423214255555585,60.218964458,57.98141983454548,57.57399482333334,57.63730960153845,56.006341501428544,55.41485703333336,55.1999916825,54.92488557294119,54.866494204444415,54.24111710210529,54.669249507,54.795902446666695,55.12213158545449,55.33645252782608,57.93879875
2.5,73.14181543333336,70.5763751625,67.28384201,63.573728020833364,64.1149387214286,63.528335734375,62.07709936944446,61.21484512,58.89851979090912,58.2318601270833,57.96578892884612,56.550445092857096,55.620999536666694,55.578043915625,55.356309952941146,55.20246367499999,54.893614973684244,54.925959155,54.97401076071427,55.17712278749999,55.441556940217346,57.93879875
5,79.69219453333334,77.19252117500001,73.68773924,68.01013219166664,68.39841532142854,66.39924273125,64.37861508888885,62.734607634999996,61.53113828636359,61.083366787500026,59.959173957692315,58.71309990000002,58.15772801666664,57.040496571874996,57.4832374,56.55120000277779,56.06064634736843,55.9778953725,55.898869440476155,55.81846305909095,55.9728556086957,57.93879875
10,89.42190956666664,84.725664275,79.82967284,74.55577248333333,72.90457322857144,69.834478575,67.8337047555556,65.81115623000001,64.98301800909094,63.76435716666664,62.52430096923081,61.41299427142853,60.43044438666664,59.15139858125,58.899307523529444,57.93029669444448,57.540542394736825,57.20678692,56.908396757142846,56.55654123636365,56.6121656521739,57.93879875
25,105.98221333333325,96.7945888125,90.76646065,84.53128762499998,80.74929103571432,76.695107625,73.91412741666667,72.000343725,69.83901561363632,67.94572610416665,66.31051394230765,64.71271835714288,64.13918086666668,62.488605734375,61.6979895588235,60.571059749999975,59.6880817894737,59.1730309875,58.4024649047619,57.84006628409092,57.65745546739127,57.93879875
75,140.446749916667,124.5736643125,112.2721988,104.21318375000025,97.572393,91.93376025,87.86834602777778,84.428690925,80.34001686363635,77.75914489583334,75.89297057692308,72.90011612500001,71.50015804999997,69.36474684375,67.88837857352942,66.32371277777776,64.53100346052634,63.642182874999996,62.15467400000003,61.08990192045455,59.7838060434783,57.93879875
90,153.292567766667,134.42928675,122.06896118,112.7033646333336,104.33891655714301,98.6344083875,93.19249238888884,89.19575591,84.72608170909086,81.90653244166664,79.37198729230767,76.43587582857141,74.28752690000003,72.284114725,70.25089061176467,68.41578602222226,66.71444661052628,65.56715225500001,63.66710820952381,62.44996996818183,60.5918349130435,57.93879875
97.5,168.16779757499998,146.87131600625,132.08216719,122.22536793333332,111.23578438571414,104.753613003125,99.6571077527778,93.5067491075,89.4122819181818,85.95887187708337,83.1913230192308,80.4077935732143,77.89662241333336,75.572941609375,72.86878095588239,71.26286225277774,69.32868769736842,67.57733652375,65.45598255119044,63.69672709545454,61.8240441304348,57.93879875
98,170.231958,148.47973930499998,133.18504118399997,123.15395470666634,111.87632540285728,105.77626068,100.24569123555534,93.83623577399999,89.90685230909094,86.64408302333334,84.06453872769235,81.2795696742857,78.43535003999996,75.730914785,73.34079463882351,71.79425291999999,69.50432082421054,67.85468886599999,65.77592665999995,63.91711746636359,61.82463078347828,57.93879875
98.5,171.817194666667,150.6894631775,134.01079869,124.283991625833,113.02064694142857,106.62301432874999,100.769983895,95.107200186,90.72959690136365,87.8828083125,84.42984870000004,82.14036665392861,79.00866814199999,76.0572018659375,73.64880006147058,72.43594849749996,69.99675943394739,68.121548072,66.01489152476188,64.0996964090909,61.8533767826087,57.93879875
