,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26
0.5,47.302382189999996,55.1461871566667,56.797148872499996,52.613039742,55.55290159166667,57.91103502357143,57.490823007500005,57.10501208166665,57.068964263,57.32614904863638,59.0320330833333,68.2684389230769
1,57.424554300000004,57.758987,60.43107276,56.919233154,57.86468844333333,59.705908552857146,58.17275594625,58.54230828777776,59.178911446,58.90557622636359,60.7263914166667,68.2684389230769
1.5,59.57676317,62.3433970616667,61.983463865,60.809260262,60.452221566666694,62.158925832142856,60.077084228749996,59.90854218611107,59.772645338000004,59.94109588999995,61.57369975,68.2684389230769
2,62.70274878,66.5321594866667,64.00458163500001,62.264031016,62.704378343333296,63.26688252857146,60.8719933125,60.45273773333334,60.180729164,61.05931021818182,61.79006975,68.2684389230769
2.5,63.533972125,67.16286500000004,66.640567725,64.457386995,64.54830904166667,63.78014862500002,61.177978871875,61.226609288888866,60.5362197225,61.48041164772722,62.18618325,68.2684389230769
5,79.923802,75.9002740833333,72.90211347500001,68.92557557,68.30437273333337,67.3858285857143,64.53767803125,64.06854646111108,62.637804105,62.27347449999998,63.45334225,68.2684389230769
10,89.4262995,85.1686036666667,78.602974575,75.8149227,74.10037299999998,71.92149397142857,68.333268025,66.99019114444448,65.27225344,64.56513863636367,64.8130774166667,68.2684389230769
25,114.8742395,100.73270133333325,93.22227225,86.0470468,82.00194225000001,78.63039117857144,75.05849706250001,72.0260019166667,70.051987675,68.51992615909093,67.5711140833333,68.2684389230769
75,169.779424,136.625317333333,117.939585,107.69036745,100.03055333333324,94.89039249999999,89.648931125,85.03387380555557,81.244046125,76.93758436363638,73.4155671666667,68.2684389230769
90,186.1143805,149.848760333333,130.50117062500001,118.49201106000001,108.7124377166667,101.6405673857143,96.2164317875,89.56804291111112,85.7153768,80.6433938181818,77.02431375,68.2684389230769
97.5,189.428856,164.592894333333,143.20010394375,127.3950976,116.26428523333365,107.15157437142899,101.792075284375,95.38573440277779,90.00496239249999,84.6737201818182,79.5413481666667,68.2684389230769
98,189.428856,165.97271685333365,144.725994205,129.052925684,118.071553846667,108.295152142857,102.3836587225,95.7706783355555,90.694083002,84.81638550545458,79.5413481666667,68.2684389230769
98.5,194.822724,170.231958,146.54691846125,130.0198254,119.17354637083301,109.56250200642886,103.31887389999999,96.66130152444443,90.9917854695,85.8973394545454,79.5413481666667,68.2684389230769
99,194.822724,171.20404343999962,150.80314998749998,130.831783228,120.673718666667,110.02495108571414,104.27743339124999,98.36399303111112,91.27270720099999,86.2581702318182,79.9250429166667,68.2684389230769
99.5,194.822724,179.883861333333,154.35619143,136.153139509,121.90665543333365,110.66668246071384,106.144309,99.34744105666663,92.534923553,86.78935902090912,81.1772945,68.2684389230769
Median,136.58229125,119.06004200000001,106.201703375,97.31398229999999,90.93020041666665,86.6929995,82.69958943750001,78.65216372222224,75.66243205,72.961625,70.47184325,68.2684389230769
Mean,136.79488184800002,118.38604772666666,105.68414993124999,96.8913590494,91.10015030749999,86.57348007714285,82.312807011125,78.50051498988888,75.56475805020001,72.72610720890908,70.55524831016668,68.26843892307691
