,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26
0.5,193.273481935,312.74863151,390.008380095,481.235763855,577.568400415,683.806033715,764.6117421800001,860.493560845,947.70784905,1024.32002857,1133.452147,1292.225156
1,212.44342716,321.85570914,413.13390390999996,500.05698300999995,591.02015044,692.55403909,781.71719492,867.53772809,955.6312292499999,1040.68341066,1135.675557,1292.225156
1.5,226.346243,334.183646405,422.15574892,520.837034275,604.673373415,700.108227065,787.448753045,879.7916031750001,964.77595956,1048.049376,1138.810057,1292.225156
2,234.254866,336.24954666,426.63012588,525.79641508,615.73852876,702.9707843799999,794.73809888,884.9780026,969.77550562,1057.8722787400002,1138.810057,1292.225156
2.5,237.63974875,338.152962,429.126658225,530.7430801749999,626.1191318750001,709.491509,801.001555675,887.8669015,976.36340165,1062.91641115,1150.394974,1292.225156
5,247.90397744999999,357.62340265,457.5543414,550.3066842,644.46015705,732.3245840500001,817.96930315,906.78980165,993.1665079,1080.52554515,1162.45788225,1292.225156
10,263.26205550000003,379.0439865,484.9601493,571.1280224999999,670.402023,757.4077096,843.1891245,929.0119264,1010.3495544,1097.2343105,1174.100279,1292.225156
25,304.008761,416.47086,522.948774,617.2664932499999,709.413329,798.9170342499999,883.6069415,966.011806,1043.24045575,1127.424797,1200.365164,1292.225156
75,363.975226,486.613753,602.03015925,702.553221,793.5600975,884.5094292499999,966.435078,1043.84480125,1115.9530455,1186.019419,1249.11136575,1292.225156
90,384.25158,513.1686198000001,630.9901441000001,739.5624438,829.7004445,914.547739,998.1376617,1076.0556471000002,1146.4100070000002,1209.916402,1268.553291,1292.225156
97.5,390.880531,543.024589,663.146269125,774.0815305,862.7216191749999,953.7791152,1030.739552475,1109.562052325,1175.26175505,1232.24943545,1276.913735,1292.225156
98,390.880531,545.072909,669.972913,776.65163806,871.27573712,955.43017992,1034.64060862,1112.4497795799998,1179.9725403999998,1235.196627,1276.913735,1292.225156
98.5,396.274399,547.4630380199999,676.942357215,780.503367835,881.333268395,964.534047065,1038.220895125,1117.24942064,1187.30244832,1235.9650719299998,1278.454086,1292.225156
99,396.274399,560.156889,682.356894,784.30296809,887.4626618499999,967.0128196,1042.93527618,1120.41536204,1189.13464827,1239.40730921,1278.454086,1292.225156
99.5,396.274399,563.356889,686.206488,794.95365209,891.69683763,984.7778635349999,1054.991434405,1133.17197323,1195.2005383800001,1243.413116415,1288.100339,1292.225156
Median,333.975227,454.964158,563.1205025,658.7443165,752.255982,840.7463695,928.735426,1003.914318,1080.7803015,1158.838845,1228.069062,1292.225156
Mean,327.790695004,450.654712357,559.278474346,657.451841623,750.7807470809998,838.9579278690001,924.1415337469999,1003.749411826,1079.80621697,1155.6292275990002,1223.145581793,1292.2251560000002
