"","x"
"1","Abaeis_nicippe"
"2","Adelpha_californica"
"3","Aglais_milberti"
"4","Agriades_podarce"
"5","Amblysciertes_vialis"
"6","Anthocharis_cethura"
"7","Anthocharis_lanceolata"
"8","Anthocharis_sara"
"9","Anthocharis_stella"
"10","Apodemia_mormo"
"11","Apodemia_virgulti"
"12","Argyniss_nokomis"
"13","Argynnis_callippe"
"14","Argynnis_coronis"
"15","Argynnis_cybele"
"16","Argynnis_egleis"
"17","Argynnis_hesperis"
"18","Argynnis_hydaspe"
"19","Argynnis_mormonia"
"20","Arygnnis_zerene"
"21","Atalopedes_campestris"
"22","Atlides_halesus"
"23","Boloria_epithore"
"24","Brephidium_exilis"
"25","Callophrys_augustinus"
"26","Callophrys_eryphon"
"27","Callophrys_gryneus"
"28","Callophrys_johnsoni"
"29","Callophrys_mossii"
"30","Callophrys_nelsoni"
"31","Callophrys_perplexa"
"32","Callophrys_sheridanii"
"33","Callophrys_spinetorum"
"34","Carterocephalus_palaemon"
"35","Cercyonis_oetus"
"36","Cercyonis_pegala"
"37","Cercyonis_sthenele"
"38","Chlosyne_acastus"
"39","Chlosyne_hoffmanni"
"40","Chlosyne_leanira"
"41","Chlosyne_palla"
"42","Chlosyne_whitneyi"
"43","Coenonympha_tullia"
"44","Colias_alexandra"
"45","Colias_behrii"
"46","Colias_eurytheme"
"47","Colias_harfordii"
"48","Colias_philodice"
"49","Copaeodes_aurantiaca"
"50","Cupido_amyntula"
"51","Cupido_comyntas"
"52","Danaus_plexippus"
"53","Epargyreus_clarus"
"54","Erynnis_brizo"
"55","Erynnis_funeralis"
"56","Erynnis_icelus"
"57","Erynnis_pacuvius"
"58","Erynnis_persius"
"59","Erynnis_propertius"
"60","Erynnis_tristis"
"61","Euchloe_ausonides"
"62","Euchloe_hyantis"
"63","Euchloe_lotta"
"64","Euphilotes_ancilla"
"65","Euphilotes_battoides"
"66","Euphilotes_bernardino"
"67","Euphilotes_enoptes"
"68","Euphilotes_glaucon"
"69","Euphilotes_mojave"
"70","Euphilotes_pallescens"
"71","Euphydryas_anicia"
"72","Euphydryas_chalcedona"
"73","Euphydryas_editha"
"74","Euphyes_vestris"
"75","Glaucopsyche_lygdamus"
"76","Glaucopsyche_piasus"
"77","Habrodais_grunus"
"78","Heliopetes_ericetorum"
"79","Hesperia_colorado"
"80","Hesperia_juba"
"81","Hesperia_lindseyi"
"82","Hesperia_miriamae"
"83","Hesperia_nevada"
"84","Hesperopsis_alpheus"
"85","Hylephila_phyleus"
"86","Icaricia_acmon"
"87","Icaricia_icarioides"
"88","Icaricia_lupini"
"89","Icaricia_neurona"
"90","Icaricia_saepiolus"
"91","Icaricia_shasta"
"92","Junonia_coenia"
"93","Leptotes_marina"
"94","Lerodea_eufala"
"95","Limenitis_archippus"
"96","Limenitis_lorquini"
"97","Limenitis_weidemeyerii"
"98","Lycaena_arota"
"99","Lycaena_cupreus"
"100","Lycaena_editha"
"101","Lycaena_gorgon"
"102","Lycaena_helloides"
"103","Lycaena_heteronea"
"104","Lycaena_mariposa"
"105","Lycaena_nivalis"
"106","Lycaena_phlaeas"
"107","Lycaena_rubidus"
"108","Lycaena_xanthoides"
"109","Megathymus_yuccae"
"110","Nathalis_iole"
"111","Neominois_ridingsii"
"112","Neophasia_menapia"
"113","Nymphalis_antiopa"
"114","Nymphalis_californica"
"115","Ochlodes_agricola"
"116","Ochlodes_sylvanoides"
"117","Oeneis_chryxus"
"118","Oeneis_nevadensis"
"119","Papilio_clodius"
"120","Papilio_indra"
"121","Papilio_multicaudata"
"122","Papilio_zelicaon"
"123","Parnassius_behrii"
"124","Parnassius_clodius"
"125","Philotes_sonorensis"
"126","Philotiella_speciosa"
"127","Phoebis_sennae"
"128","Pholisora_catullus"
"129","Phyciodes_mylitta"
"130","Phyciodes_orseis"
"131","Phyciodes_pulchella"
"132","Pieris_marginalis"
"133","Pieris_rapae"
"134","Plebejus_anna"
"135","Plebejus_cassiope"
"136","Plebejus_melissa"
"137","Plebulina_emigdionis"
"138","Poladryas_arachne"
"139","Polites_sabuleti"
"140","Polites_sonora"
"141","Polygonia_faunus"
"142","Polygonia_gracilis"
"143","Polygonia_oreas"
"144","Polygonia_satyrus"
"145","Pontia_beckerii"
"146","Pontia_occidentalis"
"147","Pontia_protodice"
"148","Pontia_sisymbrii"
"149","Pseudocopaeodes_eunus"
"150","Pterourus_eurymedon"
"151","Pterourus_rutulus"
"152","Pyrgus_albescens"
"153","Pyrgus_communis"
"154","Pyrgus_ruralis"
"155","Satyrium_auretorum"
"156","Satyrium_behrii"
"157","Satyrium_californica"
"158","Satyrium_fuliginosa"
"159","Satyrium_saepium"
"160","Satyrium_semiluna"
"161","Satyrium_sylvinus"
"162","Satyrium_tetra"
"163","Strymon_melinus"
"164","Thorybes_diversus"
"165","Thorybes_mexicana"
"166","Thorybes_pylades"
"167","Vanessa_annabella"
"168","Vanessa_atalanta"
"169","Vanessa_cardui"
"170","Vanessa_virginiensis"
"171","Zerene_eurydice"
