,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54,mntd56,mntd58,mntd60,mntd62
0.5,54.32089624000003,50.22450594,49.991898897999995,50.204923848333294,47.25360278857145,48.571707865,47.63935777944444,48.633735331,46.24166162363639,46.0581709770833,48.52751143230772,46.54179568999996,46.576413920333366,45.904872303750004,44.81736116176468,45.29911788472221,44.709694125263205,45.71872181925,45.16711039261909,44.26771653318177,43.910438913913005,44.86009893833333,44.2337106256,44.1979149569231,44.14155663462963,44.68492326250004,44.56672356620693,45.1361679321667,46.063027483871
1,57.43978509,54.7451514125,53.437079462,53.6276227116667,50.83754382428573,52.7878445125,50.15939844777776,49.991086445,48.024985902727316,48.04546002500003,49.84294302230767,47.47377372571428,47.91865686533333,47.795337996875,46.209508844705866,45.9308108011111,45.997684497894724,46.263407584,46.015024215238086,45.38517160681821,44.568267332173875,45.7120772241667,44.7688193272,44.89075887384612,44.97892003999999,44.98755482642854,45.219811167241424,45.565432749333304,46.063027483871
1.5,61.270953840000004,58.72434140125,56.758445339,56.832964859166694,53.82532956571424,54.529254063125,52.19727432055557,51.239044994000004,49.78521520227272,49.7539486183333,50.8722482423077,49.04164541428573,48.671963461,48.53376747,47.64581054794117,46.8000641363889,46.93394514526314,46.4898389035,46.57189426333334,45.92784150590908,45.713028845217345,46.3220692472917,45.1515412046,45.27628854442306,45.28945511999996,45.29417080946428,45.592896974310335,45.745829879,46.1001111935484
2,65.27008499333334,62.83678452,58.271092984,57.82124570000003,55.33370028571423,55.2788369675,53.41379580222223,53.296531844,51.773209409090946,50.146994901666666,51.42172320923077,49.847551288571424,49.3418383973333,49.2953124225,48.17055714000002,47.20806579888885,47.27558564736843,47.207662038,46.95627154571428,46.38567938909087,46.01456505130431,46.663848658333364,45.650049872,45.543411346153874,45.771887171851894,45.49300559499997,45.790397675862096,45.946741544,46.1001111935484
2.5,66.52341246666661,63.97401431875,61.116444795,59.30290287916664,57.57965014285716,56.305076653125,54.360536219444484,53.820066142499996,52.66300818409092,50.613810477083305,52.22717447884613,50.223330555357116,49.60871661499996,49.8375604203125,48.35571575735291,47.490882255555604,47.83146347105263,47.649246375000004,47.22695101904761,46.97112055113638,46.689670039130405,46.8533437375,45.765633644000005,45.703474550000045,46.24149427870368,45.632024839285755,45.92929239913792,46.0375141266667,46.1001111935484
5,74.99561046666663,69.6919141125,64.84648565,64.1669716833333,61.97689075000004,59.055622031249996,57.38819402222224,56.687843869999995,55.175581250000015,54.5422798125,54.28824124230769,52.73614721071427,52.034316626666666,51.546736921875,49.65591511470584,49.73891773611111,49.031139242105255,49.0715996825,48.561536635714326,48.06369799772728,47.67332803260865,47.7054190833333,47.092859368,46.84753826538463,46.691608609259255,46.651546217857124,46.52617232758619,46.46154764833334,46.9288276451613
10,84.7565360333333,76.98304865,73.33224351999999,68.88255556666664,66.39931144285713,62.4539617375,61.35493381111106,60.22008211,57.88319918181814,57.40583599166667,56.54692351538461,55.165900928571425,54.0458708133333,53.723176474999995,52.187993276470564,51.546290294444475,50.9379208894737,50.675131584999995,49.86429020000001,49.61588703181814,48.95199793478259,48.7085103875,48.083379808000004,48.07410147307692,47.73086145185181,47.3359665071429,47.15966674482761,47.0673883533333,47.1333203225806
25,101.02424791666701,90.026500125,82.6025598,77.73906741666664,73.9283378928571,69.613427125,66.9429325,65.58785285,63.77903997727275,62.2811404166667,60.862425980769224,59.4076970357143,58.2810646833333,57.036324265625,55.92611383823528,54.8035901666667,54.261247000000026,53.3065471875,52.50381577380951,51.9664313181818,51.24844430434783,50.62058003125,50.050013230000005,49.57607447115383,49.11728575,48.66558980357142,48.34297904310345,47.8516617833333,47.6600132580645
75,135.86860908333324,117.338099625,105.45541014999999,97.27709512500002,90.3952203928571,84.747046375,81.21425947222218,78.09329005,75.38745961363635,72.54908368750003,70.02828657692308,68.16407683928573,66.50504089999998,64.77538915625,63.43068352941175,61.6945915,60.543521105263174,59.323165162500004,58.265187464285674,57.126001284090925,56.0295100326087,55.2163673125,54.24792932,53.47644516346153,52.39064461111115,51.34239733035713,50.59951301724135,49.63324496666665,48.5242172580645
90,149.230919333333,128.253487725,117.51732554,105.8003055499997,98.06322364285715,91.64159802500001,86.74403162222225,83.06029673,79.9922029181818,76.8349413,74.41953979999995,71.59252689285711,70.19656038,68.047912775,66.7453363882353,64.68033132777776,63.08283226315789,62.124513265000004,60.427569547619,59.327107450000014,58.2230264391304,56.874302429166704,55.686979868,54.88498289230768,53.8790936888889,52.54216699642855,51.450017620689636,50.29929888666667,49.0393268387097
