,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58,mpd60,mpd62
0.5,124.70009571200032,133.64039407464298,143.0547270455559,145.04276367530346,148.50194861175817,155.328284642833,157.3289745954244,156.94245679031573,158.8520027900002,158.7389482515583,160.82078987618445,161.86203433925954,162.2971380419768,162.04211432316526,164.39730860677366,163.93916069295196,164.5874007242815,165.4880375593073,165.66477810917513,165.81395337628985,166.50357089356515,166.74093308793462,166.99932470582,167.2664730858447,167.79661089097104,167.89324792562357,168.62135105999985,169.03762228354844,169.507069230037
1,128.39382179333367,139.24620221142845,147.30310311555567,149.7415331590913,153.6041125081323,156.2462773213333,158.4539418309801,158.82032065052658,159.7517175539397,160.27012303941993,161.219604849169,162.58680002116415,163.33292352202304,162.7278482321776,164.61023402427807,164.3323840349521,165.62486954466522,165.88823472592313,166.1999064901042,166.12163899966197,166.83597649702406,167.14858952109878,167.23637147560774,167.5213361210709,167.90534562934997,167.9511941423243,168.82226764206894,169.14974613383006,169.507069230037
1.5,131.931226898,141.982728527857,148.40132020466635,151.40841047272744,154.7970798807694,156.869422066833,159.43795432738528,159.7947444107368,160.5804537541996,161.1962056897822,161.7217358320619,162.8104835841533,164.00940954278116,163.18227480342782,164.92637308381472,165.04600105376227,165.8433020600715,166.11300858987215,166.42984430418107,166.34090776743167,167.103420410164,167.4788879742821,167.41244673954273,167.6400639824508,168.09923907832967,168.370102406052,168.8667087925405,169.246058025192,169.507069230037
2,135.20839078933335,145.23198013857112,149.6577701599997,152.05464265272724,155.5959462958243,158.33813401900034,159.65777071267985,160.9102323928417,161.55321285090903,162.13012950231905,162.37513381403085,163.8038757003177,164.52114136423012,164.18807367290336,165.26159992106952,165.31881853942835,166.15824751539162,166.3368761172312,166.76632881491318,166.7602048553909,167.3116937256815,167.6903268175888,167.65226909704526,167.83896521864256,168.23179879404591,168.4536547008569,168.975917774809,169.289380661017,169.507069230037
2.5,137.35562759333365,147.05438919107158,150.7129839388889,153.75600745757555,156.6218839796707,159.05644927958332,160.14392138562076,161.67600183552605,162.0095997621211,162.41595388695615,162.9115148481538,164.04574850291044,164.9449481591956,164.69727836209682,165.8583024499996,165.5724912662699,166.30456096813623,166.49071690121824,166.94772746893182,167.07499555037037,167.45985334400996,167.8861670249556,167.74306497228562,167.8797664474358,168.33213568501094,168.58671591555193,169.03571215880237,169.3651907665815,169.507069230037
5,145.65237612666635,153.35027690000027,155.19171079555576,158.2488961318182,160.26766663516483,161.8999408,162.6920904006538,163.3465150568418,163.512921965368,163.64200566702857,164.4972133132306,165.54092524285736,165.88558709747144,165.46699678608888,166.29282008859226,166.48171082444395,167.01520117951605,167.2052349774361,167.6314425889659,167.5029329302326,167.88574285690865,168.24603327331585,168.223567633469,168.4351974332582,168.6598116013976,168.938247561364,169.24281743841505,169.55438737644096,170.20912577054435
10,154.264706426667,157.7334487785718,159.1142115733335,161.5613441606057,163.08067765494482,164.83120353166672,165.0967442535944,165.1119579105262,165.5716121740262,165.5542864144931,166.1363707741542,166.7560960582007,167.0179627466669,166.8993360471771,167.1944557290549,167.543435674603,167.7054946395449,168.1189157038463,168.35031345737468,168.25500133340358,168.40819360560408,168.7619153702129,168.7782202956733,168.9906993799397,169.1034703424181,169.33156397831212,169.509594320508,169.79987412406751,170.218684541512
25,163.67426276666652,165.57555630357126,165.9156333888885,166.77741504545423,167.36278804395602,167.84092558749975,168.064007343137,167.92233184210525,168.722133556277,168.45601912318824,168.5995159292305,168.81160532010574,168.6968069022985,168.7747435131045,168.91916421212073,169.09465774682576,169.15762170768124,169.40594034359,169.45529712020925,169.31072762684948,169.52692811884074,169.7044981210105,169.71566848408176,169.69598331221727,169.8191607648495,169.97878823409098,170.02194228009648,170.16180367033925,170.32963493707
75,179.41669629999973,176.87859916071426,175.97749262222248,175.1865144318185,174.56172492857124,174.1627783125,173.6249254346405,173.5107377131575,173.336074270563,172.9075489039855,172.8015810507695,172.59761320370401,172.5508890425285,172.16891969758052,172.22812282709424,172.16067368888923,172.01872954623076,171.9838198275645,171.827369295006,171.7167643609935,171.63741441111125,171.59877732712775,171.506374368163,171.31212784653098,171.25808655660376,171.18825662889626,171.0080524721715,170.88752268502824,170.706143434162
90,184.1737824,180.7078506500004,179.5674711244442,178.24083756969688,177.4883888681322,176.631327516667,175.6817467856206,175.682080867368,175.1243983818183,174.7965192536235,174.2993676239997,174.15188133862398,173.9240616174717,173.7256663850803,173.3798676199643,173.2301065799998,173.0291239172123,172.9282986592308,172.7410133681764,172.530288514376,172.46121013140132,172.28057745301462,172.153095590531,171.942100073152,171.7613123162827,171.59384046064932,171.37417618051978,171.18211896723162,170.971066182972
97.5,188.49807479999967,185.18166099642883,182.996162304444,181.30390230833362,179.84917137142813,178.39951184958332,177.94637193954216,177.3424431099996,176.98555112727232,177.01148812264452,176.0364107898466,175.66409899947098,175.26274880229874,174.86508011048406,174.71687384385072,174.34420699912695,174.0300278454477,173.8155309474363,173.49436596904724,173.37433737780088,173.1257560049273,173.01874530948623,172.74548026183663,172.55452241285798,172.22985090139764,171.9831924264287,171.71086778793065,171.46502525324857,170.978711419355
98,189.008121368,185.78975603142885,183.23216613155589,181.39623517636372,180.25928657230767,178.71823298066633,178.24669419320244,177.5439610972628,177.14860362770594,177.10167966985483,176.27052314941577,175.77109115322713,175.38874346777015,174.96962254895112,174.8447675975758,174.36864584577773,174.12588060455184,173.91159286589732,173.59518666745615,173.46205427750522,173.23608751265687,173.04178857982276,172.83744016401636,172.64174928316763,172.31583548916836,172.0388574398437,171.77943763411952,171.50955809740134,170.98585454257
98.5,189.9106688,186.377513495,183.72711542666633,181.89981541272772,180.47153311527433,178.97374475008303,178.61502961731978,177.95905994378964,177.33721626484808,177.31557350949254,176.49671040969267,175.8911108828836,175.51018689055184,175.16367989794318,175.03774678204942,174.58584561679328,174.296630021465,174.14264322692324,173.86087924531975,173.57853418521174,173.33606687240547,173.1475357774552,172.94220656631825,172.695197882187,172.37457941632383,172.09636086453926,171.83776130961883,171.53648939659368,170.98585454257
99,191.4030556106663,186.623865159286,183.95053815777743,182.09847026212154,180.99471397780212,179.4009246835,179.26896800823542,178.4968438017898,178.12161136519472,177.68191959615902,176.79410044030777,176.0588277644448,175.7109806793105,175.27519398516085,175.1698945171121,174.8066181479049,174.6655985417065,174.2379100537694,174.0548319293843,173.64373256397496,173.44465383750685,173.23008299705626,173.06328143312672,172.8296146624135,172.4755462463592,172.15904070296094,171.8653722992011,171.54361828889287,170.98585454257
99.5,191.9160396,188.128752071429,185.61461710044432,182.59781030393958,181.2300680846152,179.86739236799966,179.85091080215642,179.32172006510507,178.36450809458847,178.2848078213042,177.08899515006124,176.52620382447128,175.93848409140261,175.7475716945157,175.6515787162209,174.99741832655587,174.88220809541966,174.40620247883382,174.12887489687554,173.96244399519023,173.65282544840554,173.48732203943263,173.171284553453,172.9688430330615,172.76583124592548,172.22287755720734,171.95406810609796,171.57256427457673,170.98585454257
Median,172.6904734,171.61295432142902,171.47287786666652,171.691187181818,171.371277230769,171.09022694166651,171.076295823529,170.85512840526349,171.049201220779,170.8643792826085,170.874341476923,170.893397806878,170.766079335632,170.6667852842745,170.784192946524,170.6645131015875,170.696063305832,170.7809268358975,170.7610538304295,170.53948642177602,170.603059231884,170.639036454787,170.6278380963265,170.560443285068,170.66563212997897,170.6139765655845,170.5499721179675,170.549100246328,170.521175821259
Mean,170.24448313733333,170.31168168714288,170.22449126795556,170.55212053551514,170.59310917098895,170.64225548058334,170.6411895987843,170.5173330715263,170.68947167317745,170.49106710376807,170.4916406208431,170.61420426979365,170.53407632026665,170.37271911019354,170.52958643546881,170.52084602126666,170.50512958814224,170.59764114144613,170.5919694851986,170.44686191865964,170.5053291777855,170.5897418305301,170.5473707465959,170.47993443948414,170.51706446119218,170.53102600460517,170.49371219439442,170.51291958150622,170.52851385638178
