,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40
0.5,104.804456316667,122.920599348,136.1706305075003,141.9901914079998,148.72974411348517,152.19562617791254,154.90093815608367,155.70330187326792,157.55297584552636,158.38315364298714,161.71653315282595,163.08218235141524,164.56094924637586,164.65969430386207,165.8490885380845,166.64954614187133,167.32820350180936,167.918090596344,168.934271484615
1,114.30276290000033,129.97457693733332,142.0081289235717,143.9258466799999,152.20194974515144,153.95151906593372,157.64244498166667,157.4460609332026,159.32793103484164,160.73988337480498,162.37553642826057,163.64118652184652,164.919924007407,165.2226961519996,166.3949193125406,166.96259297269165,167.53579652596824,168.1606624733426,168.934271484615
1.5,120.83011321833301,133.668740609333,144.84786961535673,148.11495747022232,153.12826894166628,155.18625766824132,158.72893662941698,158.54837723986944,159.958169899684,161.56316433489192,163.064477120399,164.2710004559074,165.35280050317502,165.64840270747138,166.70902062249974,167.09241175713015,167.7004509897618,168.18210397509213,168.934271484615
2,123.156904666667,135.971637466667,146.57090939999986,149.34634813244458,154.30260051696948,156.57687496835177,159.870120471333,159.0020280533331,160.85063633221037,162.0787878604333,163.69763647898586,164.74844953107663,165.5826185514284,165.91982111742504,166.86042840483873,167.21668639900147,167.74776986088898,168.26225864062636,168.934271484615
2.5,126.742360333333,138.57475505666702,147.40935663035756,151.12161292888877,156.13723400984813,157.40856085219804,160.15317459625032,159.85257557516346,161.641724005,162.396979272511,163.94797032989146,165.03120241107655,165.69696422830663,166.22759005666617,167.1447575941537,167.47675750855606,167.83784886809553,168.4116298031296,168.934271484615
5,135.300524666667,146.08538124,154.20078057142854,156.46507957555573,158.97157930454554,160.50794504945085,162.18915262583366,162.1668424555557,163.4286799989476,164.43266274112577,165.02899625000035,165.71307813846187,166.56031216560865,167.0398841597702,167.5532112070562,168.06271073992846,168.32006484079326,169.0321361658603,170.073764897436
10,148.2208768999997,156.565207306667,157.7938285500003,160.1258103422218,162.5508123636364,163.4646804417579,164.73318082000029,164.7874612065358,165.4120494000002,165.9626251359306,166.5781889724636,166.8790868929232,167.5635242000002,167.84188255126452,168.2225850701615,168.6288741807482,169.0017703799999,169.38899264779548,170.0826772815382
25,162.057885,164.973607066667,165.1214789464285,166.5777863777775,166.9465351287875,167.61277468131874,168.246790879167,167.68485942483625,168.242188794737,168.635701430736,168.72635148550722,168.9789779476925,169.2101732579365,169.2444026873565,169.430397814516,169.62651282442025,169.75880731349176,169.9146469110955,170.227434730769
75,182.980698,179.1947016,176.778563035714,175.6728020222225,174.99702168181827,174.275478010989,174.14746359999975,173.38246570261424,173.28252636052625,173.0304736406925,172.58071201630426,172.6476502307695,172.38958010846525,172.03885209770075,171.83951452318576,171.8583122041,171.4684770714285,171.239345647226,171.006813623077
90,191.665829,184.1737824,180.6405436571425,178.939560822222,177.66605519090882,176.71122787912051,176.55879220833359,175.54720695163388,175.0533677947364,174.5810757341994,173.92463330724678,173.9364401852312,173.44941448836,173.2339935250576,172.8515575661291,172.55480219429631,172.2126582307939,171.687124045519,171.378252328205
97.5,196.991089,189.0124076,184.42021466071415,182.30202359111067,181.48877216515115,178.93572602527513,178.20354400916668,177.25825120326792,176.49567993447357,176.02049958744544,175.32039105652166,174.80680833769222,174.52293735965597,174.1552493935634,173.62840940856856,173.25019450837755,172.77027153785724,172.214005758179,171.415143771795
98,196.991089,190.69032830399965,184.63672263714287,182.84543632800046,181.69181749939364,179.1546018523075,178.46439568299968,177.5261085254898,176.77828578715818,176.1215324592207,175.4305386899996,174.98390926646115,174.62281082645487,174.20737115291905,173.7603296802415,173.34055028178247,172.81161926368208,172.2833812664008,171.415143771795
98.5,196.991089,191.666977466667,185.113332076429,183.15632988133368,181.83248871999973,179.56163835351617,178.73416789,177.80268586026176,176.92919082578905,176.3677703766669,175.59732034239153,175.1706353289233,174.74704247145502,174.40470356728736,173.80375816187532,173.53534710381442,172.89573094963475,172.3622390301139,171.415143771795
99,198.789045,191.9160396,186.27868378071457,183.66364683200044,181.99436451242457,179.86409605516502,179.19159284766667,178.13918176784293,177.25737110221027,176.69513888718612,175.75461113963738,175.28352806640046,174.86317080158764,174.52193106754063,173.92237815282252,173.63014251237047,173.01500263117495,172.38961851627323,171.415143771795
99.5,198.789045,192.342706266667,187.68668600178557,183.96055714266654,182.96827663121258,181.005464264176,179.85279609483365,178.44862897451029,177.72063341494763,177.07146193792178,176.14768057836972,175.4666909553541,175.05947640219594,174.71077427018437,173.97839220550443,173.76737476821785,173.08741492082578,172.4317776198858,171.415143771795
Median,173.227753,173.0913248,172.24375149999997,171.6529316888885,171.4962407272725,171.2269848131865,171.46588192500002,170.96523856209149,171.1050684368425,171.02991487012952,170.7778569528985,170.8792450215385,170.75603594973552,170.72240370114952,170.66927772379,170.79118860427798,170.70355005873,170.5826278819345,170.463430076923
Mean,170.90789713333336,170.79385860066665,170.49175365607144,170.3856256444889,170.67510480033332,170.48669611085717,170.90417769781666,170.29576644626147,170.49163942610525,170.55233865090042,170.46598357771015,170.63424760705843,170.6472276075714,170.59433013844594,170.58574579266934,170.6654616695401,170.60179871539364,170.55338640963018,170.58779531825638
