,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54,mntd56,mntd58
0.5,48.76448035333337,48.714232120000005,54.977440609000006,52.564547786666665,52.26034978500002,50.518153129375,52.782306435000024,51.8857131675,49.03453626954541,47.6668908625,50.933563337307646,49.707827176785685,49.464571831333366,50.50596640625,48.54230613823534,48.863709702222195,48.896021503947374,47.41187402675,47.421157940476206,47.69425231863634,46.96259298239125,47.36705326166663,48.4024549584,47.617971860769266,48.046922215740736,48.34972871142858,49.6510049310345
1,53.9070259766667,55.444455024999996,57.377262596,56.409180558333304,54.07174735285719,54.85895911125,53.33768235333333,53.223832012,51.52702819999998,51.8646576791667,51.542492788461516,52.31302760499999,50.7714985666667,51.0635784425,49.998308147058836,49.14291853222227,50.098151447894686,48.3429795885,48.162730074761896,48.558514314999954,48.37107219739127,48.2105190491667,48.6526231596,48.06520679769229,48.57942327518518,49.063904773928584,49.6510049310345
1.5,59.0835637466667,61.5539949775,58.660274206,58.2720062716667,56.23607954357142,57.294642763125,54.97354618555557,53.8594343975,53.28497551681816,52.6482219145833,52.8543362834615,52.927876682499985,51.045542054333296,52.0457832415625,50.70837372764705,49.90986430555553,50.67538731710529,49.3159268775,48.71574631738097,49.36706881386367,48.88392191956518,48.7113458775,49.128723114799996,48.31577947230769,48.87215116203704,49.229731233214295,49.6510049310345
2,64.45367214000004,63.221604344999996,60.714780888,60.01187863,57.06085317142856,58.0527315225,56.105599808888925,54.630135308,53.98668635090906,53.39995977999997,53.8070720692308,53.252407597142856,51.70517415733337,52.35361004,51.51880875999996,50.48953075333335,50.94948101263156,49.994356626,49.33277346190481,49.70242227727269,49.366003893912996,48.86089673083337,49.29247276,48.515362994615366,48.943664490370416,49.363562781428534,49.690646137931
2.5,67.33950790833336,65.02455300625,62.484106125,60.77100282916663,58.06584817499996,58.947368025,56.91220967222223,55.420584505,54.812110134090865,54.646188475,54.5232719038461,53.753750203571414,52.26304701333336,52.507860301562495,51.94058014264709,51.05230475277774,51.44173155921052,50.59169449125,49.90681885357138,49.88824255227277,49.64568469347823,49.0893690802083,49.453480482,48.89687575769227,49.0572470509259,49.540696297321446,49.690646137931
5,77.1603784166667,70.7029844125,68.33035678,65.29266045833336,62.410337364285745,62.69790265625,60.4078340944444,58.588650630000004,57.470020959090895,56.885511412499966,56.613847773076905,55.69535150000004,53.9788936933333,53.932734634374995,53.293411279411806,52.615726475,53.03841865526312,52.06305641,51.10257402380954,50.9803325386364,50.58743871956517,50.069599914583335,50.083843873999996,49.797200840384576,49.770868488888865,50.03714236071433,50.1580439310345
10,86.51916726666671,77.43719725,74.73179793999999,69.6796322666667,68.25119412857146,66.68402555,63.803155611111116,61.98540293,60.41842842727275,60.02050758333336,59.01898505384613,58.52046418571431,56.2241251,56.02837315,55.19788828823529,54.465385366666645,54.51486231578952,53.27877888,52.69137317142861,52.27902245909094,51.7796113173913,51.28404196249997,51.002723764,50.62507231923076,50.50085626666664,50.58263791071426,50.6212438965517
25,100.291725833333,91.815591375,84.8504978,79.4578765,75.3319054285714,72.98388003125,70.4302491944444,67.768267575,66.20493577272725,65.03745008333335,62.7213503846154,62.31954083928572,60.35084608333335,59.472892328125,58.595276294117625,57.4384769861111,56.72872303947371,55.7965179,54.84534903571425,54.70197823863635,53.671933532608726,53.22818204166665,52.55074226,52.1256505384615,51.70481290740738,51.425166026785675,51.2470202413793
75,139.97927600000025,119.199671,108.31715155,99.0365995833333,93.93715132142859,87.94857309375,84.24440308333335,80.33582642500001,77.61030645454548,74.4417870416667,72.58383059615382,70.32878385714285,68.9076196166667,67.19244957812501,65.61497182352937,63.91167363888888,62.435288434210506,61.2753465875,60.24223755952383,58.987424727272725,57.96662970652172,56.8360855416667,56.20325945,55.212524701923044,54.26560587037033,53.45600704464285,52.1794421724138
90,154.73677436666702,131.9854638,118.12396068000001,107.6129741166667,101.2678258857143,93.2716038125,89.65220019999995,85.88960251,82.38424021818184,79.25060544999997,76.66574965384616,74.0433750357143,72.35739311333336,70.42709219375,68.44178915882351,66.49298077777777,65.34835198421054,63.828646570000004,62.289347642857116,61.1058897363636,60.14132855217396,58.51942179999997,57.977465028000005,56.57823585384613,55.272224992592555,54.27275462857147,52.6298196896552
