,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58
0.5,127.86001200666634,137.75996897107186,138.237798194667,147.23583330909062,150.49394427977975,150.075204319667,153.069334534379,156.56068118236868,158.1957521931167,158.98909596387716,159.3912530324616,160.7426132496563,161.34439582094276,161.6793715976213,164.25284527404668,164.16148398139703,164.88769826773785,164.9355537353716,165.3508359443672,166.2816226894923,166.94357581355598,167.4037888505054,167.71420174407297,168.38212751460068,168.8289564459748,169.246977254545,170.242811917725
1,134.68403858399967,140.66795277285672,142.45254727555567,151.32079779848485,153.89065111692307,153.20236241450033,156.37261618235314,159.05378490042065,158.86757120883155,161.10650413166707,160.22348749076946,162.3118672582541,161.93432060496554,162.7650331471776,164.77485145465232,165.04859037380976,165.86816323027037,165.80677195466654,166.1201452853198,166.8963637549257,167.43791556005846,167.8820087416841,168.0890347536494,168.706682000498,168.98585816429056,169.60909749716922,170.242811917725
1.5,135.90939950066698,143.44375106928598,144.439349665111,152.93594629257527,155.7791356861535,155.077358254167,157.15002577248407,160.73021035194725,160.52189082887438,161.75409030898513,160.844126032092,162.9083879791271,162.85394723931043,163.50798182516118,165.48161815502704,165.76319114480944,166.264689714538,166.25434510138447,166.4722377236814,167.2407252436677,167.61583169498581,168.09811090478706,168.27558919800828,168.8591746078582,169.16487616143226,169.69423845084455,170.242811917725
2,138.213752,145.49939915857155,146.5520726355551,154.66965569151554,156.83754976923072,157.072372632333,158.62967329986918,161.8650002195788,161.28296798701328,162.13064011144886,161.56602000480018,163.68102326084613,163.39243274960944,164.18475946685527,165.6159720512656,165.9447183585399,166.3694013524323,166.42585458353798,166.75095049133589,167.35558444452442,167.7610217518838,168.33200112932641,168.43505127905337,168.90768719218661,169.3167813816356,169.73425957732496,170.257366959468
2.5,139.77869228999967,147.07492579464258,150.3011756988891,155.66008653939406,157.66986028571412,158.06431805666668,159.5770325607844,162.50727561105248,162.36154264437232,162.63916584456484,162.27548506707691,164.12118329391492,163.968499935977,164.37667084122984,165.91118033101554,166.10252754666672,166.7650348862729,166.75432288987182,166.93084400191614,167.49187655084603,167.9051449996618,168.41456939339582,168.56625126367354,168.95237712609332,169.35969602103413,169.84502800461058,170.257366959468
5,150.37365631999972,153.1132484571427,155.10067620222188,159.07424651515146,159.92434154615424,161.46456041666636,161.83739957712393,164.46692229000047,164.16489679307344,164.35669885507215,164.41699314523075,165.58674696322714,165.6346347188504,166.0546726606859,166.96201144206736,167.02063016920584,167.57533177965885,167.71240505461512,167.76589694854854,168.16819498234625,168.3122520448312,168.77205047668394,169.10370889591871,169.39530125852164,169.77277663864442,169.990161309091,170.257366959468
10,155.927226066667,158.9394135000001,159.0934852311115,162.8235318848485,163.8270060725272,163.7765548533333,164.2908192104579,165.81931396315792,166.09796720779252,166.5189916688406,166.7446830750768,167.2402135211642,167.357678650575,167.364852014516,167.9489784313723,168.1120432673016,168.3826636133712,168.48370939692322,168.6500734759584,168.76564687399548,169.1830261572949,169.5016927916665,169.4936621580406,169.81760788702871,170.0538120827392,170.3545102389611,170.933092504537
25,166.101704166667,165.9572118035715,165.817420344444,167.23232528030326,167.86070253846123,168.22241494583326,168.121309352941,168.93652893947325,169.32000943290075,169.15422973913024,169.0450528984615,169.547106419312,169.48380453218425,169.43884124092725,169.58684849197851,169.69798110555575,169.788794047653,169.96479944551277,169.89440988675926,169.9859993435515,170.39394522657,170.375535496454,170.3197199648975,170.5623335361995,170.6756941359185,170.774241680844,171.00135397035723
75,180.8690740333335,177.9499493392855,176.28750293333326,176.28854528030274,175.512252208791,175.23983632083326,174.72434362745125,174.4639346684215,174.513559638528,174.050056375,173.91333389692323,173.702840070106,173.45471218045975,173.09341455241952,173.01019248128353,173.00411150396798,172.98511672688477,172.715741247436,172.49987772822325,172.51412950264276,172.47368454106277,172.25244939273023,172.1902178106125,172.06185365045275,171.9071830918935,171.7435297633115,171.50142267453123
90,185.471356013333,182.4244845428575,180.2129930933336,179.144218772727,178.35069859780222,177.81183925999972,176.9049252758168,176.47964126105282,176.3216055852816,175.8143482630438,175.6468950215389,175.2581580576723,175.0113698262073,174.58344388871,174.2852835190728,174.1914340600004,174.0664032654335,173.75756240359,173.5073980148667,173.393225239112,173.22340095729498,172.9791808657799,172.8644039518365,172.6143907858217,172.39374655387832,172.11655333922062,171.808190860254
