,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58
0.5,333.918100885,407.14585792,493.52333989500005,573.80705373,664.87368984,734.68452986,820.802861235,853.88119401,950.3267413149999,1006.5059783250001,1088.932715395,1145.905745505,1212.797815045,1269.9932356699999,1360.4598909800002,1410.17526184,1483.2867837200001,1538.3288585799999,1576.493933125,1651.28575533,1721.6573107949998,1796.048593445,1864.553590505,1928.605502655,1987.73721937,2075.30971558,2162.214186
1,341.50654328,431.7414253,508.31816943,594.75735562,681.17812515,758.798499,837.20520232,878.77635785,972.0267894,1021.0391122799999,1112.1607963800002,1172.46675426,1235.0774561399999,1287.80138981,1366.7130050399999,1427.4267196800001,1498.03745512,1551.78875092,1611.4808467799999,1686.26060774,1740.5594005599999,1810.55532178,1876.89311534,1944.9301530599998,1997.53482269,2085.85468171,2162.214186
1.5,352.15967196500003,436.32776157999996,515.803182965,612.278938995,689.809931605,772.16908685,844.008565835,886.639969045,980.7585929349999,1035.529808085,1119.707671535,1185.84959215,1246.95115634,1301.94715181,1376.9578390699999,1438.3013910500001,1505.3576029449998,1567.9103431600001,1622.2523044749998,1695.151922065,1754.730390105,1819.081278185,1884.232311725,1949.2602016399999,2005.996212165,2090.495875095,2162.214186
2,356.05321036,443.55852164,527.18473986,618.19429412,696.4488906800001,779.63170058,848.8409151799999,890.65915218,988.3763457800001,1055.62477248,1131.77305754,1198.3471321,1254.69780976,1316.4641404400002,1385.63381084,1444.90176766,1511.6912195,1571.76728428,1636.23665222,1706.66118918,1762.51150988,1826.51203296,1890.08066962,1956.5560064800002,2009.34895086,2096.58582566,2162.214186
2.5,358.15241667500004,450.606838075,534.053120475,624.44080745,701.475054925,785.2740254,861.9802636750001,899.5249359000001,995.029230725,1060.978972175,1138.2301456999999,1200.4527808750001,1258.4477371750002,1324.7852616,1394.6371402,1455.9018139,1515.743982225,1581.5555009250002,1641.0874379250001,1711.3092430000002,1770.6262086999998,1833.0208389000002,1897.898921575,1957.999098775,2011.7127595499999,2099.77160715,2162.214186
5,373.09929945000005,471.1718061,557.67831815,646.9836983499999,726.6624380500001,806.0957764000001,877.8197903,937.4717408,1020.6958440000001,1086.7916291,1160.1529193,1222.7002118,1290.86300425,1355.2372314,1419.45965985,1479.5569710500001,1538.2805246,1598.9744414,1671.0432015000001,1734.6451997000001,1796.57137395,1854.1931757999998,1913.31475905,1973.7096777,2028.31053385,2109.4238032499998,2163.363781
10,388.2543389,490.5064581,586.0802722,667.7884508,750.4265800999999,832.1336027,903.0221349000001,971.3104883,1049.9797194,1116.373998,1188.495419,1251.3501403999999,1316.2611476000002,1384.0648261,1438.5162149999999,1509.2914554,1568.838671,1637.7822613,1694.6316344000002,1756.2895258,1818.5346602,1873.0654312000001,1934.8984069,1993.1651821,2049.3474176,2120.7601965,2188.948059
25,422.7096995,527.05147475,620.797114,712.55952625,794.3617174999999,874.8237275,955.1773519999999,1026.6001755,1094.7142132499998,1171.46095625,1238.4832505,1307.6437744999998,1364.49993125,1426.562931,1494.42283575,1557.12032075,1615.64022675,1677.29498925,1737.1445469999999,1798.863716,1855.83697825,1911.2759512500002,1970.13131825,2022.09171525,2080.249341,2142.9810742500003,2204.558017
75,492.65996825,602.073122,705.64820075,804.94220675,886.7059682500001,971.43769625,1049.2852515,1124.25403275,1198.32355575,1271.1624845000001,1336.94583975,1408.9243565,1470.32158,1530.216601,1595.6844512500002,1651.39317175,1710.3113802500002,1771.368999,1827.21080675,1880.49052575,1939.49417075,1987.5011052500001,2039.4261135000002,2091.43438,2138.5735485,2185.85790675,2228.936518
90,516.1308262,633.7810549,741.0270103,848.8032329,927.4385095,1013.8111957,1090.9297494,1168.1112104000001,1243.3847948,1306.010472,1381.1279144,1452.1836585,1513.0876649,1576.3327834,1637.9824171,1697.0406527,1751.838941,1811.7869564999999,1862.7279949,1920.6291542,1973.8102553,2018.0709893,2066.5157989,2116.5909027000002,2160.3559569,2200.8535118,2232.842983
97.5,545.072909,661.3735874500001,779.3623322,880.29057805,966.458527525,1054.43538825,1136.3216397749998,1203.678675,1287.580847475,1354.8154599000002,1419.18708225,1502.6648293,1555.248966575,1621.29765825,1679.7787131,1742.772195575,1790.4208145,1851.9890174,1904.873241425,1957.158105075,2016.2738419999998,2051.7821408,2100.214228625,2136.87717925,2177.8753756499996,2210.99063995,2238.59238
98,545.072909,662.64851586,781.80235762,883.3153763199999,969.08540778,1059.44755134,1141.68982306,1209.42136328,1293.051825,1359.64504004,1422.39127122,1508.3309539,1564.41645506,1632.87070774,1681.5019330799998,1747.05714404,1793.45233412,1861.3562281000002,1909.67902068,1960.24497416,2022.4063431999998,2055.47030774,2103.40048664,2138.4333134999997,2179.25108494,2212.36720012,2238.59238
98.5,549.556889,668.54405172,786.512143715,886.63218917,978.322852035,1067.56784114,1148.4553827749999,1212.947194395,1297.056259645,1372.3140317799998,1433.9377997249999,1515.338479645,1570.1699888399999,1639.0003794499999,1690.951159925,1754.5427148600002,1802.000533325,1863.1999343599998,1914.0023074849998,1961.4805947549999,2025.77081856,2060.242418045,2107.041182325,2145.4604294749997,2182.2569651400004,2214.78906284,2238.59238
99,551.256889,672.2576548799999,791.1749740099999,892.1180895199999,983.21598956,1071.8909708899998,1162.70615493,1224.21219252,1308.5535761200001,1379.5337464299998,1445.2565098500002,1526.02014049,1581.77243185,1654.49896527,1701.2710375499998,1771.90529576,1806.72582019,1868.61009163,1922.6480549199998,1966.35711117,2034.58685255,2064.74432662,2109.52705154,2148.31290929,2184.37233062,2215.31799792,2238.59238
99.5,560.156889,674.572913,793.286122185,906.84104736,991.6366952049999,1077.2667046899999,1171.449072085,1241.4453522,1320.59543144,1394.87820079,1459.265309085,1543.0517316,1604.504293705,1677.561162595,1710.4621960050001,1796.757765715,1815.175429205,1881.38648977,1933.8915098549999,1982.87607414,2040.93465802,2071.6822014100003,2117.765518045,2156.1239824900003,2191.19981518,2218.23126931,2238.59238
Median,458.1292015,562.6510495,661.3432405,757.384253,843.043729,923.926749,1007.062652,1077.176985,1150.4007040000001,1219.6470279999999,1283.7064825,1361.3862955,1414.439793,1479.0967784999998,1544.5175765,1602.300213,1663.5868915,1727.858828,1784.7624624999999,1842.1426095000002,1896.8321425,1950.9168595,2005.299428,2059.706227,2113.679595,2164.6414569999997,2220.224502
Mean,456.23617643999995,562.6985284229999,662.398168083,757.208680267,840.0211853809999,922.454306406,1001.1979342499999,1072.619649902,1147.289884326,1217.0363887729998,1285.2345356,1357.1417029450001,1415.273854981,1478.2119075859998,1543.273584542,1602.7576186740002,1661.7976732119998,1723.3290334800001,1780.9727855770002,1838.938950034,1896.466392512,1948.204151171,2003.3716257459998,2055.913082143,2107.94924381,2162.753383224,2214.5581413009995
