,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36
0.5,44.066269562500004,55.19188782166667,54.872780784999996,54.867545211,59.41439911,57.93544568285713,54.449359648125004,56.96706312277776,56.4630728815,55.22852063500002,54.55069427500003,57.39447760153849,58.667815779285725,59.32030349699996,59.1830616109375,60.624246,67.0287495
1,55.644764,59.922258186666696,59.355371905,60.678055452,62.57193416333333,59.23253254142853,58.3298491775,57.85784197555558,57.679019565,57.17541501272723,57.44179058083336,58.929911458461575,59.70155657428569,59.874532355333294,59.76760157875,61.95101394117644,67.0287495
1.5,59.58743171,62.2497782933333,62.031056525000004,62.24508419,63.354060190000006,60.107072262857166,59.518870313125,58.90053975666667,58.530499935,57.607068523181816,59.056600024583304,60.189055048461555,60.15740744,60.3635443593333,60.6250835728125,62.22695656323532,67.0287495
2,62.250615270000004,64.49231822666664,64.531706135,63.65765004,65.06427980666663,60.62458960857144,60.508813875,59.48382263555553,59.671749598000005,58.59395484909089,59.6813133133333,60.50128425846156,60.6765419971429,60.979353593333336,60.9736783675,62.5422051176471,67.0287495
2.5,68.1368642125,67.28025541666668,67.41954371875,64.509096125,65.97821122500004,61.56082488571431,60.85759033125,60.37715985000002,60.5853317625,59.551125809090884,60.07900017499997,60.72081891153843,61.007494237500005,61.09723471499997,61.182704121875,62.7304404117647,67.0287495
5,80.30729745000001,74.11853536666666,72.042881,69.19431641,68.57793282500003,65.73809525000003,64.15355280625,62.99845662222219,63.363554805,61.77479087727276,62.51584841249997,62.530464246153855,62.30813210357143,62.589895016666695,62.556063099999996,63.737937435294135,67.0287495
10,89.84075815,83.93714133333333,80.931853125,74.27196914,72.94325758333329,70.33272325714289,67.760200075,66.76740271111107,65.96843661,64.95273003636368,64.83581014999997,64.68154748461534,64.35959730714288,64.47053917333334,63.982913268749996,64.5376468823529,67.0287495
25,111.6168785,98.14625891666668,91.89408206249999,84.3831543,80.79983349999998,77.33295596428574,74.85130946875,72.70968891666665,71.28999945,69.74422536363637,68.79181856249997,68.45923815384616,67.60775960714282,67.2265743166667,66.30048946875,66.2795491764706,67.0287495
75,159.46239,132.242595333333,116.8523029375,106.2029584,98.57164516666668,92.85622314285709,88.782214125,86.08248444444445,82.81671055000001,80.02964702272725,78.3129602083333,76.51592525000002,74.44602971428567,72.84188393333329,71.195603234375,69.50148589705883,67.0287495
90,186.1143805,148.7664441333336,128.00947495,115.27311438000001,105.70391194999999,99.8701743428571,94.885210075,91.13655213333328,87.26509597,84.57214493636363,81.9395267666667,79.71387136153841,77.14659884285716,75.1925262933333,72.902966825,70.6221851764706,67.0287495
97.5,187.4733195,159.69146200833362,140.9856306625,126.1304095,112.53062880833332,107.56753075714244,101.135326640625,96.88934341111107,92.97282983999999,88.79701893181822,86.19097525625003,82.40861597500005,79.94974984999995,76.87580091833334,74.563293109375,71.5061274705882,67.0287495
98,189.428856,163.23789509333363,143.198132665,127.16544076799998,113.44503431999969,108.94197940857157,101.73385519499999,97.41513057777777,94.647688382,89.48124949818185,86.74598127,83.27861637076921,80.39287310714286,77.22371123866667,74.87113474625001,71.6248628823529,67.0287495
98.5,189.428856,164.592894333333,145.04364580125,129.304183216,114.7492175675,109.95838337071429,102.168508660625,98.37759361055552,95.3280138275,90.30590523727274,87.4981220695833,83.7159045761538,80.60840935750001,77.59864286099999,75.059809715625,71.62567627852937,67.0287495
99,194.822724,168.17114879666664,146.89991818,131.23082070200002,117.12280805833366,112.23715879428599,103.4861353275,99.71447568111105,96.149030643,91.0495616727273,87.96471323666664,84.56121221999996,81.24580072928569,78.34423236733336,75.311495715625,71.8083452352941,67.0287495
99.5,194.822724,170.23988418333332,148.4833488825,133.038450419,119.11546191249967,114.446200765714,106.175169119375,101.94483504277744,97.352893896,93.15374323181821,88.63500479958337,85.52643921615385,82.30250063178575,79.02173438800003,75.564016714375,71.80841484617645,67.0287495
Median,136.8578475,116.8782475,104.28699424999999,95.305858,88.9587035,85.01086857142855,81.597487125,79.2765095,77.32311425,74.90736131818181,73.24532483333334,72.47081534615384,71.25072485714284,69.9520828333333,68.8038755625,68.0755102352941,67.0287495
Mean,134.7634107315,115.593821444,104.058974158,95.2951202932,89.25734389916664,85.0753156252857,81.467668324375,79.215425992,77.05473684820001,74.78946589163635,73.39646746275,72.33248148253845,70.95027013942857,69.84022044413334,68.576309726875,67.79013364364705,67.0287495
