,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36
0.5,103.53711389666667,110.67051341333367,118.50757498607129,133.8968416679997,141.64575186530263,149.6143212764831,152.31262189991634,153.80097418738606,157.1250186579997,159.2866422569698,160.16669417315205,161.56159124501494,163.54074664875614,164.73997411604608,166.21517884762062,167.273986998217,170.009174968254
1,107.79054647666635,123.38309616400001,132.85233946214257,142.22654403599955,146.78888232424234,153.7396517189006,154.669115187,155.64136513620917,158.35714276063138,160.37211998770542,161.12563641029027,162.94267482960046,164.25843832291054,165.04134844229867,166.49873930717743,167.44283381729036,170.009174968254
1.5,113.045650356667,129.72434912,135.9175881539283,144.151549203333,148.9807151663638,154.65575912065927,155.614927436417,157.27508695117675,159.72249035331583,160.90860963753212,161.8591984718837,163.25104789510755,164.92092445431186,165.19091914455203,166.7128207109069,167.475666117647,170.009174968254
2,116.93302221333299,132.33085324533366,137.02444822714244,145.7955545999997,150.36452692363673,155.23322096615343,156.36708047566665,158.2452840329411,160.17762868336888,161.72015604883157,162.46761744840626,163.65877328381515,165.1204993908992,165.28302758491998,166.80442332137088,167.73365165176426,170.009174968254
2.5,118.63721324166669,133.879774666667,138.9864193857144,147.9393706711111,151.59000979469664,155.85975214010952,157.71188361541667,158.8192543297382,160.51374813263158,161.90588822467544,163.11401266195617,163.70235461953874,165.2108014201056,165.43334283816097,166.98283864949644,167.84193351497348,170.009174968254
5,132.5343676999997,140.445830093333,148.41194492857184,154.29068991111154,156.32532287878755,159.0518683142854,160.5157615875003,160.6722272986924,162.49545478684163,163.19321917619004,164.57244277681164,164.8886408101539,165.77761697619027,166.4044228949424,167.686790335081,168.609596770053,170.009174968254
10,144.345594566667,151.30902969333331,156.377519642857,157.91644817777822,161.0314194212124,162.4145675604392,163.07014147,163.4028182366009,164.8201113389472,165.3629017489178,165.63244480289902,166.1599420744611,166.8724521899467,167.08419644183923,168.0359050024196,168.8097138199645,170.009174968254
25,160.78272216666676,163.13073203333323,163.503279767857,165.8651432777775,166.40023225000024,167.00638683516473,167.29437480416652,167.30089744771226,167.40820156052627,167.77225156926426,167.810554657609,167.97254098000025,168.33867861375626,168.65674229080452,168.8044991965725,169.21579805704073,170.009174968254
75,183.171667,179.8823664666665,177.49550362499974,175.26182844444423,174.86657831060575,174.3350746483515,174.16129391250024,173.4242808986925,173.19309348157873,172.79183688961027,172.45061186231874,171.96339879538425,171.78531128703673,171.281585662069,171.15221668044376,170.87852689661324,170.009174968254
90,191.665829,184.3280348,180.957569785714,178.5106822888888,177.6697990272729,177.0858868879124,176.4682046950003,175.7142637895422,175.1394123115793,174.52809717056272,174.005069997101,173.42627772984642,172.90560978941778,172.35360656045933,171.9376385,171.205922228164,170.009174968254
97.5,198.789045,189.64462322,185.56830327678531,182.1848321966667,180.4248312121212,178.99518531208759,178.24069816499969,177.66698374901915,176.5969889573685,175.900623407792,175.28886649474651,174.6627519109227,174.03994891865128,173.39654839448235,172.81432096885086,172.184770834225,170.009174968254
98,198.789045,190.73922324799966,186.14868839999974,182.4369672737779,180.8491276660609,179.16866612263738,178.46157035533366,177.72130950718906,176.8231552574733,176.13605700848495,175.50722662695676,174.77237661378499,174.18282090772504,173.59327724340258,172.8845664437908,172.18489540506278,170.009174968254
98.5,198.789045,191.393868133333,186.53597521714258,183.02431113644434,181.04894819302993,179.66235700450545,178.859294520583,177.8350024477779,176.93314597515774,176.3103386767102,175.6398863126449,174.945060477938,174.20547272812183,173.9467691965743,173.0009253773995,172.24756283481307,170.009174968254
99,198.789045,191.666977466667,186.56874632214243,183.54835629155602,181.27148984575783,180.1420341815387,179.44283256150032,178.12463138745068,177.1904354871582,176.65481587090926,175.72478586536238,175.16118776338507,174.58309751291029,174.01105765016132,173.12547990770193,172.258988171123,170.009174968254
99.5,198.789045,191.91817293333332,187.47388012571386,184.11613510333288,181.86954109287925,180.59387018011034,179.78938230633332,178.50180576026182,177.36980930668383,176.99751804259762,176.33251809891286,175.38028071452317,174.82538924621656,174.17008865524127,173.38938495586697,172.27391416775401,170.009174968254
Median,174.8712448333335,173.6259624,171.801459607143,171.275670222222,170.958625848485,171.20582331868098,170.834470625,170.559547614379,170.51808951578948,170.458940974026,170.25896849999998,169.82045060000002,170.1239683015875,169.91113732183902,170.1024055221775,169.997827989305,170.009174968254
Mean,170.34340277833337,169.89575148160003,169.55547939585713,169.63167826764445,169.90049719857575,170.221655468,170.23286679563333,169.89352107918955,170.10702187568418,170.06615402328137,170.006593273971,169.8179505390338,169.98192810862434,169.86622264409192,170.0325403954516,170.02143607060606,170.00917496825406
