,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54
0.5,57.523945515,51.9559375075,55.436526343,57.679283933333366,53.79976321285716,51.713539598124996,53.40594980611109,51.291114900000004,50.94778798772723,52.14658862124997,51.41865944884617,49.703211879642815,51.430707757333366,51.4076210940625,49.83238894588238,49.81893318972226,49.656130171315766,49.216646032,50.80883585047614,49.146253304772685,49.4657513984783,49.99205724708333,50.4136938776,50.80154510288464,52.0234879259259
1,63.475693346666695,58.976749255,59.182990902,59.36831374333333,56.589664038571456,56.10906669875,55.81659397888885,52.890817864,54.26765828363631,53.67277002583333,53.31468712769234,51.664169308571424,52.8710380226667,52.252300319374996,51.721471287058804,51.355321898333365,50.99750536157892,50.280421384,51.57099520476194,50.59024422363633,50.23424571826086,50.538902849583366,50.6913456472,50.98598176769231,52.0234879259259
1.5,66.6584142133333,63.3991983225,61.969273598,61.2799211125,57.91782247499998,56.904312406875,58.496705731111064,53.8931386315,55.666503601818185,54.650583961666705,54.9407367669231,52.79877089000004,53.4102447366667,52.78919316375,52.60009769911764,52.2120090861111,51.84384601763156,51.130357048,51.668283911428574,50.88256541863633,50.692901115000026,50.8044292402083,50.9293775592,51.21915077923079,52.0660655185185
2,70.06749882000001,64.616577575,63.287838908,62.253116733333336,59.942467140000026,58.6596840125,58.841538739999955,55.020970858000005,56.88882424000004,55.39707087666663,55.48153169538456,53.37734168285716,53.929526794666636,53.269962029999995,52.857748997647086,52.72334675222222,52.33493672631583,51.437493003,51.91826174666666,51.30184960909096,50.88132224347822,51.062792913333304,51.300842612800004,51.51756953999997,52.0660655185185
2.5,71.66844879999998,66.41340345,64.7347392,62.94458316666667,60.837950021428604,59.80389770625,59.876769069444464,56.6040855,57.97614157045456,56.54269584999997,56.00958739230771,54.3225873589286,54.69727413999996,53.837311590625,53.28855336176465,53.1106359902778,52.84060941315793,51.6961626975,52.26658163452379,51.555878518181785,51.13146735326087,51.63317529166667,51.515902227999995,51.71068683557695,52.0660655185185
5,78.90690788333333,72.92512628749999,71.06214077,66.77280645833329,64.4802072357143,62.925297050000005,62.438353549999995,59.425031015,60.50003434090905,58.90838333749997,58.05102818461542,55.94944810714284,56.53127067333336,55.01472705,55.07737690294115,54.530542024999974,53.842279768421065,53.231460032499996,53.06828426666665,52.43054234545459,52.395702039130406,52.36622205000003,52.186426208,52.22789306346157,52.8191136666667
10,87.25494420000003,79.809241825,76.70692048,72.82481520000003,69.17282870000001,67.63346715,65.64841005555557,63.85807015,63.48275985454545,61.630836141666705,60.14208328461536,58.670529021428614,58.205397526666665,57.190520112499996,56.696331947058816,55.96867884444444,55.36417322631577,54.58539257,54.3374788285714,53.616828481818146,53.41885297826085,53.27262411666667,52.878721868,52.87650006153845,53.1113178148148
25,103.876678,94.4782388125,86.42919265,80.33581304166667,76.83544096428571,74.93618865625,71.78214897222217,69.481425225,68.54429559090912,66.24091943750003,64.62935642307696,62.66025991071425,61.52528770000003,60.613271796875,59.446083382352924,58.9089739722222,58.07410671052635,56.9092365875,56.5058238928571,55.71703649999998,55.19751435869565,54.672545760416654,54.31604939,53.770192317307725,53.7377265925926
75,139.893017666667,122.2598153125,109.36256105000001,101.5181892916665,93.92988385714281,89.5921826875,85.00445713888885,81.57594065,78.80165788636364,75.74791885416667,73.76351217307692,71.53909755357145,69.4439933,68.077807109375,66.33841026470584,64.76229491666665,63.8152532105263,62.2069674125,61.102012523809506,60.05026112499998,59.065486206521776,57.94251501041668,56.93751367,55.9462046346154,54.7392168148148
90,153.8924495333336,132.051218525,118.43646332,109.5792310166664,102.4029871285714,96.4040294625,90.7322061,86.59843236,83.55171615454545,79.96577919999997,77.54303412307691,75.18722151428571,72.38619728666664,71.174838275,69.11193180588235,67.50761010555557,66.14895056315787,64.41708945,62.92712289047622,61.95785082272723,60.81195789999996,59.270269441666706,57.933092028,56.76014135000002,55.1621831851852
97.5,168.9591875666663,145.04020754375,129.015611385,117.57378113749967,108.2018780785717,102.2956469875,96.98724514166662,92.558477845,87.7968113045454,85.21928062291664,82.0554519596154,78.3654325089286,75.87895683499997,74.51229272187499,72.84503752352941,70.51474802777776,68.87350875526317,66.51874216,65.08948080000002,64.12222001704545,62.59515531630434,60.9514171510417,59.212028659,57.73732836826919,56.2021603703704
98,171.817194666667,145.277757545,131.17472917199999,119.66690466666697,109.01776699142886,103.13054611749999,97.70600506222225,93.381320822,88.58545638909092,85.85278778166669,82.63055943230765,78.53330566285712,76.44805618666669,75.46813632749999,73.6515469058823,70.76110220888891,69.39046341789472,66.862485512,65.34705169809524,64.2357469718182,62.71274786956526,61.1361374108333,59.2890349128,57.83519465846154,56.2021603703704
98.5,177.750528,147.40430833625,133.110627584,122.26830416499999,110.38279077857129,103.75198827125,98.39431732388888,94.1542897235,89.49335689545451,87.05155952333331,83.45004051500004,78.97862854392852,77.01856106800001,76.0072968559375,73.98820620970592,71.1559782675,69.65138318315792,67.1945060585,65.65397807380954,64.78884697272728,63.08252745717387,61.3072422833333,59.395926375799995,57.937508337884616,56.2021603703704
99,177.750528,150.41614183999997,134.33389916599998,125.55244684000033,111.97274734571471,104.94004289875001,99.06548338666668,95.074916078,91.17161401181819,88.23135041833329,84.43606273384617,79.72247749857146,77.61470691866664,76.428526934375,74.71425203117649,71.45562890777782,70.02269089578945,67.8083538705,66.22348109095238,65.12589170318184,63.24919153434779,61.575983632500034,59.728806236800004,58.32027956307696,56.2021603703704
99.5,179.883861333333,155.7576838725,136.83054956,128.979381260833,113.54560956285685,109.78988330062501,100.97374749833311,97.643326689,92.63139523363638,89.44100040291667,85.80295894000004,80.0671980342857,78.965455221,77.6743648346875,75.69238405500002,72.18024239861109,70.38590707157891,68.46034779875,66.77696424357144,65.62803941227276,63.64913774978262,61.80223912687503,60.162010472,58.760760235961556,56.2021603703704
Median,122.398329166667,108.920495125,97.96342680000001,90.32591816666665,85.6611280714286,82.25024181250001,78.45982738888884,75.6761449,74.06109027272726,70.99361,69.12182703846156,67.06424824999999,65.9357579333333,64.69221353125,63.240393499999996,62.00931819444445,60.929573052631554,59.588619725,58.83543716666665,57.929242,57.10825295652175,56.41436097916665,55.6047595,54.9698245,54.3771775185185
Mean,121.74649472633335,107.37185700124999,97.78912254519999,90.81792437266667,85.31063871414284,82.05640480775,78.35730536433333,75.38252050839999,73.62583515727273,70.96456052291667,69.0921923716923,66.90683046885714,65.56277107246667,64.3802391341875,63.026145793529416,61.83038974972222,60.86556735589474,59.5208679337,58.761254086142856,57.82491424522727,57.07968139552174,56.31902745175,55.530814367599994,54.884244844,54.29723450877777
