,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54
0.5,124.96293178266633,139.42857371571472,141.6631098497779,149.0669534704545,148.8223068092304,151.0209082419167,156.06303529699358,156.58080658505258,158.95590341121192,159.36262886402218,160.35511427169254,160.31823702391503,162.42931471105723,162.62027148651185,164.4776470357934,163.85624216539716,165.1651254056755,166.0242038266409,166.62230259113798,167.24888475111035,167.65160296721783,167.93570907402503,168.63602562940443,169.050491413273,170.261601960867
1,130.78343143066633,141.00221481285757,145.00608906266635,150.3420414857578,152.35702324747274,153.98285256783367,157.3289431542481,158.5756588284213,160.5163850062333,160.3180119818117,161.14953911273886,162.38070118121675,163.08389133062067,163.7386456323382,164.79721037287013,165.3500360918726,165.69904460537654,166.2659691235386,166.9979124879214,167.41437090399532,167.85082296284054,168.11636632095718,168.90322773397537,169.38909834055764,170.261601960867
1.5,134.581091096,142.94891938321413,149.59578755599966,152.57006468015163,152.69077836417574,154.759643038,157.876863696209,159.00534178163184,161.4949367288313,161.4689035817751,161.65292787852286,163.05958112899464,163.88757121360874,164.7148078745569,165.17271628016042,165.52008962922176,166.09818256078225,167.09637522900005,167.37704777080114,167.49152866495737,168.1002503858457,168.48692246560245,169.02003979122418,169.45044486445727,170.261601960867
2,138.10684830133366,145.45369693142814,151.33520636088912,153.76891766060632,153.61969363912056,156.07273604899967,158.7513236224838,159.75827730084234,161.85526526528162,161.8935729468117,162.41040965440015,163.63430001735483,164.39402343825245,165.10701774975766,165.37500526474116,165.8713026024128,166.70025262918872,167.22139024887147,167.5503748140762,167.60823113699828,168.14604993286932,168.6134559525177,169.16671609825315,169.51798192524856,170.27807875633795
2.5,138.81583268999998,147.1560725857147,152.56272471666702,154.92918837045423,155.06567369945057,157.40373154125032,159.64913881045715,160.6459047878952,162.54385013051927,162.42016580815255,163.11087609015348,164.04027137579334,164.54372480620648,165.36473392711662,165.55970463110555,166.0581502098416,166.9315876472977,167.41714852826928,167.72899334907123,167.73927972906938,168.32711960642496,168.7342642903811,169.21053783057172,169.56898424536223,170.27841501747
5,145.68399427999998,153.8733796892856,156.654659217778,158.2762539454541,159.0100159439563,161.1871745175003,161.8320553856208,162.5341234310528,164.23887051688345,164.35891926123188,164.92685860030815,165.3262698513229,165.9669791181607,166.44613703830635,166.48943436060648,167.1565905460314,167.54965285391197,168.04700660423066,168.4100731959345,168.38986869101456,168.72895869980664,169.21139695168435,169.67573712824446,169.90478700271476,170.27841501747
10,153.9884485466664,158.45253439999968,160.9958030666665,162.2738343303026,162.4914668835163,164.1954270583336,164.4422872209154,165.0716217442102,166.1435155021647,166.124437131884,166.3848391236926,167.1439755259262,167.6572981949422,167.5300760399194,168.03710456791418,168.1431328758732,168.4511155257468,168.65776563974362,168.9341503444831,169.1072724490486,169.37236877255992,169.6934689124109,170.0247454295512,170.2392697036202,170.966383027254
25,163.5181927333335,166.74174082142875,166.65933802222224,167.816374992424,167.4540223571425,168.31408012916674,168.33537380718977,168.417600836842,169.10236828138574,169.1822198894925,169.38175220615375,169.37764583994726,169.4109500609195,169.52477099999976,169.80116270588275,169.64127279444475,170.0175169658605,170.0652523532055,170.1331076074335,170.2812350708245,170.33832891014498,170.50310704033726,170.6822791469385,170.71262467722477,171.021251449336
75,180.4642208,178.81348332142875,177.28004653333326,176.32132028030276,175.81867063736223,175.39089759166674,175.17458866993502,174.53746966315776,174.2734122770565,174.20031341485475,173.94062885076926,173.7755443862435,173.3943086425285,173.36371871774176,173.32609304634576,172.930689313492,173.01879603413948,172.7087178628205,172.48045411672476,172.41736513953524,172.32614263961375,172.24336905939725,172.0594739967345,171.897341306938,171.72973167679947
90,185.682646133333,183.1958325,180.9030466755556,179.3538100757579,178.565950371429,177.70939251666638,177.5870088732023,176.98608284000042,176.504413280519,176.09107880579668,175.7026701212308,175.3083602359793,174.96790224781572,174.7313721225805,174.66670215329722,174.1444599076192,174.0417139783788,173.7666216666666,173.4181524181188,173.2572331761096,173.0809057136229,172.9594260973401,172.5502133467757,172.23351208265498,171.958069767994
