,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54
0.5,308.24927698,391.504998955,491.60442619500003,571.0797398049999,660.7604299,753.996338865,820.80698715,887.37730414,953.283431605,1017.021430485,1100.38602416,1181.023260065,1245.651873465,1309.852262565,1369.115674855,1450.96223277,1494.50456773,1575.615956515,1645.639851145,1703.3753303849999,1777.14059859,1847.6302190850001,1934.51390408,2000.6159042699999,2090.041504
1,333.82420573999997,425.34924100999996,507.7178311,587.5136426400001,676.95622502,766.33444398,849.13160592,896.54566602,975.47697195,1053.23537778,1115.8598036399999,1190.39891022,1255.46155299,1328.61789192,1387.3121587800001,1463.12879984,1515.20558767,1589.83633032,1658.70124005,1725.11147846,1788.9060873,1859.56578565,1942.5000206500001,2006.959392,2090.041504
1.5,344.23098434,437.406491185,511.914049015,615.22239081,692.709334935,779.65988207,856.3933965250001,913.97133053,987.141103825,1083.269378915,1128.5560962450002,1205.523014895,1271.715029335,1345.748522655,1399.373030345,1468.29703962,1529.0478627349999,1602.66098186,1663.82135456,1735.8350985749998,1801.2803547,1868.976308645,1946.8225319,2010.382514,2091.173855075
2,350.51189880000004,448.42238363999996,522.91136872,618.7049956000001,697.5853709400001,785.9981407,863.2645433,932.76406272,998.19575524,1086.8378226,1143.24982414,1212.0316282400001,1277.4534725,1352.73486988,1409.78485964,1477.2210987,1537.82403738,1614.9474663800002,1672.50223054,1745.97631678,1804.48395292,1872.14908094,1951.99126922,2012.93300888,2091.191099
2.5,354.698051425,454.39712199999997,530.97532775,624.49552305,703.969404575,790.3803447500001,867.8940733,936.0589469,1008.234852325,1092.9402581999998,1154.52253955,1216.50919715,1281.476532125,1358.735677325,1421.2633478999999,1479.56169735,1543.78563595,1618.129066025,1679.474234175,1755.8801861,1809.30860475,1876.430244375,1958.5136542,2018.810114525,2091.191099
5,374.58427985,479.65373055000003,562.2226125999999,650.146518,725.31552175,809.93818105,889.1626590000001,962.150591,1026.27316935,1109.5493906499999,1181.2977983,1245.4335231,1309.29885495,1386.4056087,1445.5709728499999,1498.9495869,1565.96232665,1640.5221902,1705.0227063,1776.1292008,1829.67970195,1889.9177379500002,1970.8413449500001,2031.55644485,2104.745635
10,393.4343353,499.2367962,585.1492708000001,675.2078219,762.9187296,836.7571714999999,915.8295661,996.6503904000001,1058.6467897,1135.2825132,1205.1595688,1277.2472834999999,1335.8723351,1410.7628808,1471.7485722000001,1532.2814689000002,1596.6622344,1670.1703043,1732.5558113,1797.0673844,1851.3646760000001,1911.821587,1982.2112023,2047.8034008,2116.775377
25,424.195833,532.113882,624.8773345,714.1173210000001,803.333228,883.4575225,964.79408775,1043.02895225,1110.44664725,1185.25422975,1250.33215225,1320.8992362499998,1384.17100875,1457.13825525,1511.44675925,1577.9079245,1641.0939720000001,1706.021511,1771.23728375,1829.3270305,1885.317349,1947.22582675,2006.71761375,2071.77105075,2128.765146
75,493.47793624999997,608.350455,708.32535975,805.5200372500001,893.88779025,978.3544635000001,1060.34825975,1134.0662505,1211.158349,1289.268267,1352.64938175,1421.597712,1487.3905654999999,1552.7191862500001,1612.41941375,1672.086958,1732.9631045,1785.9420622500002,1847.0940532500001,1901.46860025,1955.3935374999999,2009.9320627500001,2060.07694925,2112.08761625,2156.412264
90,516.4940084,638.791703,743.8657175,843.0750441,930.741623,1020.5243260999999,1102.4107976,1177.4892978,1253.5485366999999,1328.7120525,1389.5541805,1455.618692,1522.317198,1590.8295684000002,1646.9756006999999,1716.7142978000002,1772.2444924,1820.7577683000002,1877.1983824,1934.9255163,1985.5430065,2034.0915880999999,2081.147241,2127.5226683,2160.653449
97.5,545.072909,667.3992901749999,775.940000675,880.156892,967.7066917,1063.9614569,1139.2822046000001,1219.501266775,1297.94496945,1373.538377725,1434.7461422749998,1504.5008266,1564.4055083249998,1634.1943902,1689.6549646,1752.40973345,1816.135130525,1855.90980145,1912.5503804,1969.878514925,2014.777641625,2058.678487,2099.1660525499997,2138.4688409,2162.027034
