,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34
0.5,189.36117935,293.988440145,403.42571617,475.897995305,574.6867384000001,662.1991691500001,744.557119455,834.5784384,906.103261955,981.05616477,1048.918350315,1119.1024341250002,1214.39596631,1300.2181239000001,1391.686131985,1501.814501
1,220.52658549,310.18601048,417.33883706999995,488.50537406,585.8618584100001,675.44888427,751.91296273,839.87976666,920.96698174,1001.103405,1064.7580233,1152.53270595,1230.7421274199999,1313.98681036,1399.61614145,1501.814501
1.5,231.70055468,336.729273945,429.25953538500005,505.223393265,597.1962130300001,683.72344794,761.60644983,853.393669145,926.40697954,1007.89326881,1071.23827759,1161.43016645,1234.2709384500001,1320.1624749300001,1410.881186,1501.814501
2,234.24599582,348.63183692,435.24094149999996,512.47081742,600.87199752,685.93122134,775.68323614,856.4431966,934.21827268,1014.25779548,1080.0696299800002,1169.0032325,1239.72425526,1323.56358532,1419.00237624,1501.814501
2.5,238.196277825,351.145826275,441.081341325,519.4628876749999,608.3176284,692.630269775,786.399495675,867.447824425,938.26474125,1019.591594625,1085.0570974,1174.3534943999998,1245.6119177,1328.50173825,1422.0219149,1501.814501
5,249.43974774999998,368.4689045,460.2953599,546.58075635,628.1958759,711.3895675,804.99993315,888.94035345,958.1476852000001,1039.2224022,1107.5089016,1195.15009665,1262.8205807,1349.91419645,1433.0472514,1524.370211
10,267.67235,388.3626222,479.1443122,567.2685394,656.7726660999999,741.2123497,826.2247192000001,909.8203086999999,985.6143357,1065.1925119,1136.0082646,1217.1909409,1287.5257265,1370.8392563,1450.754059,1528.719806
25,304.008761,421.864728,519.963534,609.6789945,701.70445375,786.76870475,871.145212,946.4712192500001,1029.4385240000001,1103.16138525,1174.643884,1255.1917652500001,1325.869928,1404.051933,1476.141476,1559.004689
75,354.285114,488.172166,598.691617,692.3298952499999,784.0690525,878.91944775,960.1335505,1033.226698,1119.82965875,1192.25438825,1260.733212,1337.3211202500001,1402.5804249999999,1471.59280325,1531.5796704999998,1585.954958
90,384.25158,514.2334843,628.744852,726.0700253,821.2114222,915.7025945,998.3025801,1077.1287835,1162.6628791,1230.8828214999999,1297.3821007000001,1375.0552923999999,1435.6040457,1496.5757077,1549.3263362,1593.994582
97.5,390.880531,540.801179,660.9188405,766.35719435,863.178231775,955.0479621000001,1039.5890570249999,1114.3024047249999,1209.4738905499999,1270.8281107999999,1339.89190615,1407.40087015,1463.7489776,1519.956770325,1565.5842753000002,1601.927575
98,390.880531,545.072909,662.55013904,768.0169162999999,867.3302779,957.8642201,1044.24905676,1122.39746754,1217.32005342,1274.31000776,1345.00499172,1409.69909628,1466.77039978,1523.8095189599999,1566.74572436,1601.927575
98.5,396.274399,545.072909,668.14189826,776.47880026,873.552520165,962.5621982449999,1054.54217741,1129.14726152,1223.4668547200001,1279.9944216400002,1351.256096725,1414.25680368,1472.166452075,1526.600431135,1571.863068,1601.927575
99,396.274399,545.1177488,669.09057438,785.61845941,882.46950612,976.2094348999999,1059.37736015,1135.7510356,1235.7032702800002,1283.3796509899998,1358.25449148,1420.17456883,1478.4851743400002,1530.09226194,1572.799427,1601.927575
99.5,396.274399,563.362636975,672.9092410249999,796.02391449,891.25100948,987.0731898949999,1070.75022182,1154.04626352,1245.9441432249998,1296.9013030150002,1365.001566265,1426.2707657199999,1485.012492585,1536.38783279,1572.80630482,1601.927575
Median,333.690343,456.529414,560.3052915000001,652.4577725,743.9650340000001,828.754367,914.256642,991.392524,1073.2832035000001,1144.4609495,1219.1778705000002,1297.115235,1366.0900165,1438.9387145,1506.339263,1575.57061
Mean,326.96664592499997,453.546852957,557.596360496,650.160671137,740.958260857,830.108743241,914.144290704,991.912023633,1073.9922276880002,1146.711713546,1217.413835671,1295.401754255,1363.168399506,1435.936070964,1502.3700654850002,1569.796811286
