"","name"
"1","Adelpha"
"2","Aglais"
"3","Agraulis"
"4","Agriades"
"5","Anthocharis"
"6","Apodemia"
"7","Argynnis"
"8","Atalopedes"
"9","Atlides"
"10","Battus"
"11","Boloria"
"12","Brephidium"
"13","Callophrys"
"14","Carterocephalus"
"15","Cercyonis"
"16","Chlosyne"
"17","Coenonympha"
"18","Colias"
"19","Cupido"
"20","Danaus"
"21","Epargyreus"
"22","Erynnis"
"23","Euchloe"
"24","Euphilotes"
"25","Euphydryas"
"26","Glaucopsyche"
"27","Habrodais"
"28","Heliopetes"
"29","Hesperia"
"30","Hylephila"
"31","Junonia"
"32","Leptotes"
"33","Lerodea"
"34","Limenitis"
"35","Lycaena"
"36","Megathymus"
"37","Nathalis"
"38","Nymphalis"
"39","Papilio"
"40","Parnassius"
"41","Philotes"
"42","Phoebis"
"43","Pholisora"
"44","Phyciodes"
"45","Pieris"
"46","Plebejus"
"47","Plebulina"
"48","Polites"
"49","Polygonia"
"50","Pontia"
"51","Pyrgus"
"52","Satyrium"
"53","Strymon"
"54","Vanessa"
"55","Zerene"
