"","name"
"1","Adelpha_californica"
"2","Aglais_milberti"
"3","Agriades_podarce"
"4","Amblysciertes_vialis"
"5","Anthocharis_cethura"
"6","Anthocharis_lanceolata"
"7","Anthocharis_sara"
"8","Apodemia_virgulti"
"9","Argynnis_callippe"
"10","Argynnis_coronis"
"11","Argynnis_cybele"
"12","Argynnis_egleis"
"13","Argynnis_hesperis"
"14","Argynnis_hydaspe"
"15","Arygnnis_zerene"
"16","Battus_philenor"
"17","Boloria_epithore"
"18","Callophrys_augustinus"
"19","Callophrys_eryphon"
"20","Callophrys_gryneus"
"21","Callophrys_johnsoni"
"22","Callophrys_mossii"
"23","Callophrys_muiri"
"24","Callophrys_nelsoni"
"25","Callophrys_perplexa"
"26","Callophrys_sheridanii"
"27","Callophrys_spinetorum"
"28","Cercyonis_sthenele"
"29","Chlosyne_leanira"
"30","Chlosyne_palla"
"31","Coenonympha_tullia"
"32","Colias_eurytheme"
"33","Colias_harfordii"
"34","Cupido_amyntula"
"35","Erynnis_funeralis"
"36","Erynnis_pacuvius"
"37","Erynnis_persius"
"38","Erynnis_propertius"
"39","Erynnis_tristis"
"40","Euchloe_hyantis"
"41","Euphilotes_battoides"
"42","Euphilotes_bernardino"
"43","Euphilotes_glaucon"
"44","Euphydryas_anicia"
"45","Euphydryas_chalcedona"
"46","Glaucopsyche_piasus"
"47","Hesperia_colorado"
"48","Hesperia_columbia"
"49","Hesperia_juba"
"50","Hesperia_lindseyi"
"51","Icaricia_acmon"
"52","Icaricia_icarioides"
"53","Icaricia_lupini"
"54","Icaricia_neurona"
"55","Leptotes_marina"
"56","Limenitis_lorquini"
"57","Lycaena_arota"
"58","Lycaena_cupreus"
"59","Lycaena_gorgon"
"60","Lycaena_helloides"
"61","Lycaena_mariposa"
"62","Lycaena_xanthoides"
"63","Nymphalis_californica"
"64","Ochlodes_agricola"
"65","Ochlodes_sylvanoides"
"66","Ochlodes_yuma"
"67","Papilio_clodius"
"68","Papilio_indra"
"69","Papilio_multicaudata"
"70","Parnassius_behrii"
"71","Parnassius_clodius"
"72","Phyciodes_mylitta"
"73","Phyciodes_orseis"
"74","Phyciodes_pulchella"
"75","Pieris_marginalis"
"76","Poanes_melane"
"77","Polites_sabuleti"
"78","Polygonia_faunus"
"79","Polygonia_gracilis"
"80","Polygonia_satyrus"
"81","Pontia_occidentalis"
"82","Pontia_protodice"
"83","Pontia_sisymbrii"
"84","Pterourus_eurymedon"
"85","Pterourus_rutulus"
"86","Pyrgus_albescens"
"87","Pyrgus_communis"
"88","Pyrgus_ruralis"
"89","Satyrium_auretorum"
"90","Satyrium_behrii"
"91","Satyrium_californica"
"92","Satyrium_saepium"
"93","Satyrium_sylvinus"
"94","Satyrium_tetra"
"95","Thorybes_mexicana"
"96","Thorybes_pylades"
"97","Vanessa_annabella"
"98","Vanessa_cardui"
"99","Vanessa_virginiensis"
"100","Zerene_eurydice"
