"","name"
"1","Agraulis_vanillae"
"2","Apodemia_mormo"
"3","Atalopedes_campestris"
"4","Atlides_halesus"
"5","Brephidium_exilis"
"6","Carterocephalus_palaemon"
"7","Cercyonis_pegala"
"8","Cupido_comyntas"
"9","Danaus_plexippus"
"10","Epargyreus_clarus"
"11","Erynnis_brizo"
"12","Euchloe_ausonides"
"13","Euphilotes_enoptes"
"14","Euphydryas_editha"
"15","Glaucopsyche_lygdamus"
"16","Habrodais_grunus"
"17","Heliopetes_ericetorum"
"18","Hylephila_phyleus"
"19","Junonia_coenia"
"20","Lerodea_eufala"
"21","Megathymus_yuccae"
"22","Nathalis_iole"
"23","Nymphalis_antiopa"
"24","Papilio_zelicaon"
"25","Philotes_sonorensis"
"26","Phoebis_sennae"
"27","Pholisora_catullus"
"28","Pieris_rapae"
"29","Plebejus_anna"
"30","Plebejus_melissa"
"31","Plebulina_emigdionis"
"32","Pontia_beckerii"
"33","Pyrgus_scriptura"
"34","Strymon_melinus"
"35","Vanessa_atalanta"
