,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50
0.5,53.483485888333334,58.664937513750004,55.58708689,50.93509825416663,56.48602668642859,50.81327482125,52.69042948166663,55.0001788215,51.60389080500003,51.262692312916634,52.90329539038464,50.301919271428574,51.0690092436667,50.7478602071875,50.48041914205886,50.42659475499997,50.7284333334211,50.1841564475,50.30800192976192,49.436602744090884,50.02356612260873,51.390865207291704,54.2578804
1,62.3073465266667,61.74288636,58.635051331999996,60.58621302833333,58.812009504285676,55.015253933749996,56.03638420000002,55.918139769999996,52.680979703636375,53.586026971666705,53.64306389153846,52.41353239999996,52.4315303033333,52.02702453625,51.87173190470592,51.55101306999998,51.58724978368425,50.612141426,50.67454135142853,50.16649617727272,50.76764193652174,51.5629762916667,54.2578804
1.5,67.288026535,67.0670286875,61.741435285,61.8530822991667,60.48940883071428,57.567350798125,56.59082008666667,57.294777549500004,55.43856306545451,54.1887121045833,54.95265317884619,53.0464622525,53.134364410333305,52.9180978428125,52.5243313694118,52.23622920944443,51.67257225736841,51.0566874105,50.830817349047614,51.25465429590908,51.15418690108695,51.677803796250004,54.2578804
2,69.7495019933333,68.398130825,62.8006252,64.88158353333327,61.46205982571431,58.994961385,58.05984547111107,58.588535502,56.164422252727285,55.303015615,55.58384089538459,54.156914402857126,53.746122318666664,53.371033771250005,53.13665054470588,52.59404747333337,51.893292076842066,51.289938926,51.294316322857114,51.67350000090909,51.38305380260866,51.89768046249997,54.2578804
2.5,72.56254435000004,69.15876031250001,64.370756815,65.52828382499997,62.671144417857114,59.786667803125,59.09858048611115,59.17181677,57.19935798409093,55.92111542916667,56.11928060769232,54.7729623535714,53.9327453216667,54.1537352015625,53.45975850588231,52.89059862222218,52.10062925789469,51.403259425,51.60138938214289,51.88243969772729,51.66074780434779,52.0036010416667,54.2578804
5,82.35496335,74.4175926875,73.06125614999999,70.37433743333334,66.19885817142854,63.26254679375,62.665518199999944,61.766693225,60.14951518181818,59.077570679166634,58.01838031153842,56.550324396428586,56.04421988,55.781188921875,54.791988797058806,54.12293366388891,53.76759763947366,52.560485225,52.70112486904765,52.98733607727276,52.335375758695676,52.4980990833333,54.2578804
10,90.5757436666667,82.3573592,78.19057016,74.68273906666664,71.1489221714286,68.0226334,65.9386837555555,64.8475017,63.62743968181816,61.5794368083333,60.28686587692305,58.545613435714294,58.25860563999997,57.172613825000006,56.80092892352943,55.65884441666667,55.189189136842074,53.90387573,53.85759215714287,53.74934725000002,53.31289694347822,53.16300799583336,54.2578804
25,106.949703416667,96.7940321875,88.3972746,84.08003895833335,80.0361738214286,75.19020362500001,72.01850249999998,71.23252012500001,68.55443609090909,66.19059695833336,64.90021867307689,62.91808507142855,61.7683191166667,60.678108984375,59.50917305882352,58.645711472222224,57.67365651315788,56.3519192875,55.854891261904775,55.02955140909093,54.6266308478261,54.08933175,54.2578804
75,140.462530666667,124.0596085625,111.9186246,103.57314208333301,96.91824353571428,90.9377380625,86.25622138888889,83.139364975,79.63220131818177,76.51943289583335,73.46927446153848,71.20962458928575,69.30414778333332,67.97289946875,65.91143110294118,64.63724356944442,62.8972334473684,61.3697659125,60.104992166666705,58.65583335227272,57.492325782608674,56.24986225,54.2578804
90,153.167551666667,135.2174146,122.15038114000001,113.276397,103.8968686857143,98.0906753125,92.18047735555558,88.34912972000001,84.36961604545453,81.13908293333333,77.7184626769231,75.02059337142859,72.6237556133333,71.14020141875,68.5866484235294,66.82542837222225,65.1524057,63.65849884,61.929925714285694,60.37368938636362,58.8185373347826,57.1512057916667,54.2578804
97.5,166.84030937500034,148.19232989374999,133.95142408,121.5589119125,112.10295917142842,104.67495756875,98.45732247499997,93.7212818825,89.29640191818179,85.03689440625003,81.54425308653848,78.90596033928571,76.0031440183333,73.89329119062499,71.5653940676471,69.84375429166666,67.6229909065789,65.83044776,63.96050936428571,61.96708515113631,60.17331125869568,58.0922674583333,54.2578804
98,168.17804959333333,149.523699395,134.60031886,121.78021453666665,112.84795965714258,105.4641039125,99.4409899533333,94.924468268,89.61988401090908,85.5949144416667,82.28231043692303,79.84735319142852,76.3623296333333,74.061563325,71.78607224470592,70.1212693233333,67.96944601368425,65.969832246,64.10135495809517,62.35160866363638,60.47724235565216,58.2899214583333,54.2578804
98.5,170.231958,151.5042802475,135.65249515099998,122.3883179575,114.57864439928599,105.74911563875,100.60932852444466,95.7431503395,90.66381451590908,86.190447155,82.88293098884617,80.26487155928572,76.62084515266669,74.5780795871875,72.41044590705879,70.70532581083333,68.51838267605267,66.10434593475,64.55762205904766,62.8231512609091,60.658923008478226,58.3268695535417,54.2578804
99,171.817194666667,152.644652795,140.0585508,123.38794974500031,116.23114556714286,106.36680867375,101.73057036444399,96.973560549,91.77921739727277,86.72518706083329,83.65357714846157,80.75457229285712,77.35628437800004,75.11968891187499,73.0592283723529,71.07569029722224,69.2034187873684,66.43735582699999,64.74004342380951,63.36269727999996,61.002398226956544,58.7353427083333,54.2578804
99.5,177.750528,155.75023058875,144.20972659999998,129.15783100416667,117.93799526857114,110.4609006125,104.0978007494441,97.88199256399999,93.04899237409093,87.27403847916666,84.09337283230772,81.76874692999996,78.51514287800003,76.4126971075,73.5309406252941,71.82785988000003,69.78427829894731,67.325869349,65.35253817595233,63.78425289295456,61.50979204282611,59.5861267083333,54.2578804
Median,123.607670333333,111.84180625,100.13935169999999,93.66992083333335,88.13585485714285,82.337018375,79.3764712222222,77.03732285000001,74.01308599999996,71.52432945833334,69.4221581923077,67.43662325,65.83808476666664,64.17245140624999,62.73491405882355,61.46883983333335,60.253243131578955,58.935360625,58.18865547619045,56.9348471818182,56.03952897826085,55.0981000833333,54.2578804
Mean,122.68160229933335,110.37784442549999,100.13476804560001,93.74976570683332,88.06038911542855,82.735323397375,79.21092632855554,76.89835340270001,73.97758773254544,71.36345047483334,69.19814009769229,67.03843649528571,65.52609371566668,64.19840597175,62.68464258364706,61.48752441766666,60.23137750026316,58.839362308249996,58.01052577604762,56.93328033122727,56.055165965608694,55.14081647504167,54.25788039999998
