,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28
0.5,38.437586082500005,57.68117773666663,56.00779570125,53.270167665,57.76744594166663,54.937634264285755,55.76135050875,56.68757056277775,53.8587332695,54.99850842954544,56.270498920416706,57.503545225769244,60.6827889285714
1,41.71285317,61.9631073866667,59.2521251425,57.1032043,60.278713111666704,57.699436705714305,56.517574242500004,58.513403002222184,56.167876113999995,58.10035974454544,57.838441271666696,58.4787585238461,60.6827889285714
1.5,55.1240304625,65.6913810716667,64.15427812749999,59.042446441,63.752921253333305,59.08491166428571,58.699869263125,60.57937338833334,56.8740849355,58.73946212363635,58.304395852499994,58.97101976576928,60.6827889285714
2,57.47077283,67.12210262666663,66.18747658000001,63.107872768,65.9253045133333,60.72885512857141,59.2199133175,61.59441232000003,57.709557247999996,59.28061051636366,58.56493083666663,59.0407236923077,60.6827889285714
2.5,60.81166,68.81739914166664,67.14162191874999,65.87897729000001,67.3070961125,61.716767146428516,60.332351446875,62.9408144416667,58.62743684,59.74644489772732,59.39733378541666,59.36940223076927,60.76285000892861
5,79.619003275,79.79577811666664,74.1651910625,71.8852777,71.04465988333335,67.03366403571424,65.15795766875,65.38957353888885,61.73621521,61.82482548181819,60.9022815416667,60.796961226923095,60.7649028571429
10,89.9657175,87.98234966666666,81.36897437500001,77.25571334,75.72549796666671,72.68575078571426,69.50284418749999,68.01145598888884,66.13592304000001,64.19367421818183,62.55665975000003,61.99638205384611,62.5999178571429
25,118.22500575,104.6329850833335,95.610831625,88.01809225,84.24784387499997,80.28239428571425,76.64202131249999,72.75376191666669,71.787735925,68.33974227272728,65.70432447916667,64.48687667307689,63.6981436428571
75,170.929019,142.04299533333324,123.763855,111.55566585,102.089063875,96.84212899999996,91.123819,86.05910566666668,82.478976425,77.63253386363633,74.5202704166667,71.04245875000001,66.5131869285714
90,186.1143805,154.217195333333,134.681843075,120.8450335,109.764113716667,102.9568568428574,96.6355941875,91.48078368888889,87.30268188,81.81936410000002,78.23465018333336,73.8154755230769,68.4707464285714
97.5,194.822724,171.09841875833328,147.20260375,130.6743755,119.471320170833,109.72143209999972,102.9436226625,96.11804495,90.9365556125,85.85815111363632,81.07545395624997,76.78844640384612,71.2316768571429
98,194.822724,172.441608333333,148.67593001999998,132.704770052,119.64511504,110.11712391999957,103.6183352,96.98791786444448,91.75300723800001,86.33780515999995,81.6089391666667,77.0472118461538,71.2316768571429
98.5,194.822724,177.750528,151.68230011249997,133.348090647,122.50107383749999,111.39875291500026,104.645532061875,98.0408442405555,92.411691424,86.91054423818186,81.9931040991667,77.16303,71.2316768571429
99,194.822724,179.883861333333,152.64514998750002,134.47205626,124.78525602000032,112.42541051857171,106.033245995,99.22699737666663,93.15834517799999,87.42240628363636,82.71146139750003,77.9360313076923,71.2316768571429
99.5,194.822724,179.883861333333,154.8170735,136.152105734,128.130450333333,114.24061411714258,108.496343176875,101.68568672222233,94.060763288,88.17199695500001,84.28273972916662,78.88826688500004,71.2316768571429
Median,139.246371,122.707065333333,109.591139375,100.19749200000001,93.63045533333329,88.19465428571425,83.865223875,79.89868000000001,77.13184575,73.170781,70.17390725,67.66733734615386,64.4712222857143
Mean,139.3261085715,122.87372919533333,109.15348323650001,99.5893912704,93.16362655633333,88.04606646785713,83.39573762725,79.63688953755555,76.7408971575,73.0458235839091,70.19278750491667,67.89242905123076,65.18368529614284
