,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58,pd60,pd62
0.5,318.208077655,412.3476406,482.74224094,541.5130393,632.2706886,723.9151869550001,764.706406415,845.925983265,911.72326674,976.98924003,1054.54878067,1105.40770949,1160.3593550599999,1233.8045800650002,1303.471410465,1356.35095654,1394.94399939,1467.5326252,1541.072957645,1597.022707005,1656.506749875,1717.41834047,1768.9753043649998,1835.884079135,1875.5903127000001,1975.08727374,2031.6578963650002,2107.065569615,2184.974894
1,332.08600957000004,416.96974665,498.50153518,556.20916115,647.27499587,733.93490491,781.7785332100001,859.95098371,935.47621801,996.11280414,1067.22246107,1114.94237296,1168.04006532,1250.53611844,1315.34587274,1369.93263579,1411.7712008,1483.37505766,1562.92129278,1614.30710695,1673.53780654,1727.88273985,1783.06669343,1854.07244509,1912.5522955299998,1983.48563427,2049.18772477,2116.10609923,2184.974894
1.5,336.624198735,428.431311635,512.059131205,565.4334333850001,657.539598245,747.867996695,803.7185484299999,876.5740741699999,942.5641198850001,1005.294655655,1073.452958865,1123.193006975,1183.950253655,1256.9201334749998,1324.6854668649999,1377.32432192,1429.140640395,1495.0663737,1573.891189275,1641.472628025,1679.729734885,1737.61143028,1797.306048205,1861.95869926,1924.090127895,1987.704709155,2057.83753633,2121.376963635,2184.974894
2,343.30501614,434.86156974,514.1456977,573.67500032,668.68540912,753.64993514,811.38444714,881.35814886,950.5244706799999,1015.8078901599999,1085.5664843,1129.69974108,1199.1451186200002,1263.31993084,1335.0171210400001,1392.33395682,1437.74530686,1504.5110944399999,1580.34406876,1644.3240596399999,1685.45779624,1748.46166186,1803.56792864,1874.0624415,1934.7661481799998,1993.59408656,2064.32679882,2125.01488948,2210.2464088
2.5,348.8975808,444.1490704,517.8014686,594.6931312,682.666810325,755.280118325,818.65356035,885.050803525,957.214424625,1020.21537145,1087.54633285,1137.4030393750002,1207.2350288,1275.2481530500002,1338.653324625,1396.10492675,1441.7346929,1514.3413859,1585.2183412499999,1648.552824,1696.411317,1756.636292,1811.629171525,1876.7993946499998,1942.4991894,2000.385978675,2071.345838525,2134.873263625,2210.762154
5,364.03768185,458.93058759999997,536.6435234,622.9991979,708.6632186500001,780.2870302,840.74294665,913.3049287,976.9455512,1045.73048455,1108.83036055,1167.0299208,1239.06536385,1291.94541185,1364.8995006,1430.60855805,1480.7853705999999,1540.1811735,1605.4264759,1665.5369076,1721.3264741,1782.28043555,1837.91552315,1894.96488135,1959.9269877,2022.83397805,2086.1669583000003,2148.1383317,2229.012499
10,384.449694,480.6876843,567.0899006999999,650.9526293,727.9724397,804.7948204,871.6304383,945.9513875,1002.9144965,1074.7758716,1136.5265451,1198.345722,1266.9271019,1325.1481314999999,1390.2768556,1461.3372744,1513.5989307,1569.8764613,1633.7914528000001,1692.7293287,1746.5132552999999,1808.2188282,1860.3288372,1922.0421884,1981.4901148,2044.9247179,2104.0710429,2163.0644019,2236.902011
25,416.54582475,516.4867664999999,607.5359125,687.36468,769.7892837500001,845.1131767500001,916.99744475,988.39667,1055.575312,1130.2447255,1192.4978247499998,1250.2638984999999,1317.4279685000001,1372.785371,1438.1852085,1508.07074475,1561.685313,1623.67465025,1678.789685,1739.89762075,1796.93602825,1853.5017954999998,1910.4084505,1959.4047545,2018.840244,2078.55691175,2139.203644,2193.033798,2253.815048
75,483.868287,590.7724302500001,688.0319305,779.7163005,861.4859485,944.4364825,1019.00456275,1087.6870635,1160.23544625,1235.105245,1290.4997652499999,1360.619831,1421.14474975,1488.996081,1554.051485,1610.31121875,1668.39018425,1726.6521832499998,1784.4188025,1836.35141525,1891.3433765,1943.16920475,1994.88804675,2045.7603130000002,2094.83642325,2144.99929325,2192.01889425,2233.4899747500003,2274.252936
90,507.6492953,622.6250523,728.006093,816.855355,902.1634346,984.359148,1062.0121434999999,1134.4606698,1207.2441798,1284.797785,1337.0890851,1410.401336,1466.9830514999999,1536.0680399,1602.8617688000002,1656.6123253,1714.6299291,1766.1354675999999,1823.7488058000001,1872.4236149,1929.5084739000001,1980.1474707,2029.1976517,2071.6228033,2119.1393628,2168.4084217,2209.6246095,2246.6034215,2279.516134
97.5,528.701179,649.8471093750001,764.034664825,854.4850795499999,936.9195686,1028.263296675,1106.44982055,1186.0199137,1254.8406049750001,1337.0919574499999,1389.44010985,1454.173771275,1512.4384174,1584.8165605499998,1648.155993875,1705.169531375,1762.484127325,1809.1000802,1867.447443825,1911.95289165,1976.0099940750001,2014.306778225,2064.842314,2110.735476775,2146.74205385,2187.8092641999997,2222.6976648,2258.717077275,2283.908798
98,530.47598592,650.98950552,766.60517264,859.1309125,941.7418653999999,1031.84528708,1111.07290902,1189.61025556,1258.8848939,1340.74176454,1400.25502686,1468.1955100999999,1518.25418416,1591.3155461000001,1653.72182052,1711.3957021200001,1767.1459702,1812.1637662399999,1870.8993171799998,1916.55759438,1979.35513248,2018.3358239,2070.05316628,2114.137694,2148.85123458,2191.29098172,2225.34388428,2259.97394732,2283.908798
98.5,536.468827925,656.1448545899999,774.1977678049999,867.17102626,952.264322615,1037.0588391449999,1115.341622835,1199.345618395,1263.75329337,1348.90182805,1408.651250555,1478.660315535,1538.8441273150002,1596.9939657549999,1657.869485495,1721.040191385,1776.7049552699998,1825.1734282700002,1876.18718416,1922.54965616,1983.629883275,2020.12833607,2073.61965007,2120.18286142,2150.7009550099997,2198.51216808,2228.727821735,2262.060801765,2283.908798
99,540.801179,661.4732844,780.77464247,874.60799127,966.7174347700001,1044.61278406,1130.65105,1216.77249226,1278.42739195,1355.07534378,1413.8210807399998,1484.0625964199999,1542.07668629,1611.71045867,1664.44322511,1731.41696987,1788.52137404,1829.1781351,1882.9332253399998,1929.02469798,1987.7032687499998,2024.9189967,2078.4804517899997,2123.66943074,2152.07219018,2201.86068323,2231.0614637500003,2263.16031165,2283.908798
99.5,551.256889,667.10833929,795.1954963549999,897.94632535,975.52975634,1063.073171625,1157.211412705,1235.6502116,1298.46063983,1370.40446556,1438.4132889,1494.8387761,1558.9233438449999,1632.17080328,1690.1218547749997,1740.4194111049999,1798.836840455,1839.7461029049998,1896.55022924,1946.3730618299999,2006.9694441650001,2029.65707944,2088.570362815,2128.99886895,2168.75228106,2209.25325632,2236.751455695,2265.017445,2283.908798
