,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42
0.5,104.804456316667,131.5588539239997,140.915933,146.37968022955545,152.26044735030288,152.97099465054978,157.55582517183367,161.40698076098002,161.33907910026318,163.0082484493076,163.507675526485,163.8608809489226,166.13974951960355,166.96943645009208,167.65345407191575,168.6141792583244,169.26882696753964,169.86558818406826,170.89835869216654,172.011664706156
1,113.02947277000034,136.46047384133368,146.80126505285673,149.36286056311113,154.04352048878832,154.73275221626363,159.14566574150032,162.37780748548983,162.2426788703162,163.58219928822544,164.70664321014505,165.288078286031,166.438593921058,167.49929827452834,167.96152992084723,168.7871869942605,169.4484465828892,170.2251966627026,170.942865807692,172.011664706156
1.5,117.12370752166699,138.53429106666698,149.481417642857,150.48777221466634,154.6479346590911,157.22314323527516,160.27329488683299,163.15116643555538,162.97976910168452,164.6062586693071,165.21979397412997,165.66212618532347,167.25394553600546,168.05214961195355,168.2112550037702,169.31950758679133,169.81714753773048,170.398546690683,171.17843968178215,172.011664706156
2,123.14545781333366,139.18427501333335,152.44830692999986,153.35306573866654,156.70878603939425,158.63522330329636,161.16820079366667,163.34077350483625,163.30382091936823,165.33755792519506,165.74816251507247,166.40839209009224,167.73824447079397,168.52582948119542,168.45628338064483,169.48196135486666,169.9207104719361,170.61332396620162,171.248401005128,172.011664706156
2.5,125.99080987500032,140.81429519,154.43725625000027,154.07545649555576,157.78482525833337,160.13936189945036,161.915247035,163.7212827186276,164.19670112289504,165.81071359870162,166.41649320597836,166.94409366061538,167.9314042484127,168.83321906287406,168.8382808575607,169.58077795080249,170.1268306855558,170.72057406578926,171.35624543942316,172.011664706156
5,136.047301333333,149.51650113333298,157.699395842857,157.89896471111132,161.64317048030276,163.18971440769243,164.12086543166666,165.60245546535967,165.75966658368435,166.8568211350649,167.8096072144926,168.16320591569215,168.67336084285714,169.42264796229884,169.48686798346785,170.05909953065935,170.63698603936476,171.097080606117,171.53052290923054,172.014015753775
10,149.8626938666664,156.449410413333,161.77780455714299,162.5402042533332,164.7149183090913,165.8654122505495,166.9566828650003,167.4400997267974,167.67105582526298,168.553486828571,168.8595627514492,169.4875793704619,169.7458419931214,170.22855349103432,170.5241039149192,170.7771205222812,171.1325336225397,171.5055919911803,171.81481504846198,172.485733377468
25,165.364468666667,166.71201010000027,169.073552625,168.718524711111,169.42341407575776,170.14876351648374,170.09830702083352,170.41423477451,170.82947353684176,170.8210365108225,170.97963673369551,171.47759223076926,171.5800061018515,171.626085827586,171.8858289334675,171.90202532709452,172.12156560317476,172.26962206116627,172.38032948141,172.678311328688
75,184.558953333333,180.94844016666676,179.7633035,178.80793107777774,177.45367878030277,177.27525052747276,176.43953219166673,176.0968058398695,175.574743239474,175.46820172727274,175.13079703079725,175.01933624615373,174.74396932010575,174.60045638275852,174.453595103831,174.04504466488424,174.0630860555555,173.86822637126573,173.680315917308,173.523595684088
90,192.4723405,186.2669184800003,183.368404571429,181.8806768222221,180.1109876424243,179.3872671824176,178.4073190400003,177.9188498117648,177.26211038631618,176.9118516129871,176.3516503688403,176.2506752547692,175.91886459682578,175.5252906036783,175.41563168750028,174.9604611639928,174.7704521720632,174.3896412836412,174.078688545385,173.754696202091
97.5,198.789045,191.666977466667,185.9195199892853,184.0089312022219,182.09722841666635,180.83635059011024,180.19218689833366,179.41065718137256,178.52277778447385,178.23726371125582,177.67863517608677,177.55604926323107,177.07194987962916,176.57164288919495,176.3107322130036,175.88525792361898,175.5258183715876,174.9441231093881,174.513869894423,173.755372643438
98,198.789045,192.342706266667,186.1354897042853,184.27977955733343,182.30951963393906,181.22673196307727,180.3576742739997,179.6400869628755,178.66907241347403,178.32216018597416,177.75409463652176,177.70197157686175,177.2215902342853,176.80866892248244,176.42806483032257,176.00036571344054,175.58300180279326,175.03608502543366,174.60284852743618,173.755372643438
98.5,198.789045,192.342706266667,186.591994663929,184.56919596400033,182.53258436893938,181.29727042395584,180.494811132167,179.8654362985623,178.9475884162629,178.4369536117315,177.95724304652146,177.93511435332286,177.33265099745984,176.98589841310294,176.50841989965707,176.085351192406,175.65469497104735,175.11741196064017,174.61267969488486,173.755372643438
99,198.789045,192.4959856,187.6281621992857,184.95829512088932,182.81021068212132,181.35384357648329,180.662661434833,180.1952400549023,179.015800027579,178.7419549070999,178.11140615485533,178.15482730640022,177.59250272127005,177.14980015829912,176.6810775367338,176.17516384110493,175.7169010748255,175.2334407499575,174.703802089744,173.755372643438
99.5,198.789045,192.4959856,188.939326928571,185.48504908822179,183.44222765818142,181.80043201153893,180.83286191383334,180.77744793738552,179.79244292936806,179.3040538787017,178.380987106812,178.30865858772285,177.73503163201028,177.46425542756367,176.91542854778214,176.50762949014214,175.98711469236468,175.35622402298674,174.78463125443605,173.755372643438
Median,176.705000666667,175.169670266667,174.488233785714,174.283975688889,173.937380606061,173.9530956813185,173.489406441667,173.4438827647055,173.5214290526315,173.28850053246748,173.179867728261,173.259063464615,173.15992498148148,173.1919439149425,173.2440804354835,173.058078381462,173.11218177619048,173.031251473684,172.9763120141025,172.94970025784
Mean,173.5028017616667,172.76501803520003,173.41683750378573,172.96928639031108,172.9484927781212,173.16838386243955,172.9395950674833,172.9804194758039,172.91011262151576,172.93964354435496,172.88139607673187,173.04624649064615,173.02538327710582,173.01880886360917,173.05992746074998,172.94700905201069,173.03530824380314,173.00037107988615,172.98068356361537,173.02319171036478
