,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42
0.5,223.05048762500002,329.55308543,416.92679206,504.337833105,561.590832765,683.40984445,738.1555493249999,823.0781756250001,874.37473541,960.22689334,1036.3617886400002,1107.91619256,1189.52579723,1243.0045556750001,1293.009003245,1371.60040863,1433.500889485,1501.802997045,1550.7314250549998,1643.993165
1,232.37948968999999,331.82080897,431.90493096,514.1698915500001,607.47995065,687.6061787699999,759.8220955099999,839.47111691,911.73781584,967.1562434499999,1049.26221661,1118.62670236,1203.70288446,1253.10480454,1316.22459813,1382.92903929,1443.01041918,1508.32276166,1569.64366692,1643.993165
1.5,239.78069899000002,338.80547802,437.563735575,529.066335925,615.76982283,697.44889957,773.377370295,844.42901717,924.677449495,982.1267086500001,1053.47601232,1129.077721845,1209.99188344,1260.314312965,1323.565956825,1387.74456332,1450.2095542,1513.840886875,1577.2248001,1643.993165
2,244.42713876,349.06709738,443.46939468,540.56861368,621.62556166,706.9821131199999,782.09321952,853.8888259800001,936.94273026,998.43204166,1065.65327858,1131.7091979,1215.90041494,1265.30288282,1333.12207624,1396.1083064,1453.5128024,1518.20310666,1580.91161836,1643.993165
2.5,247.478241,360.98286744999996,449.8588042,549.68710305,628.628218725,714.552201075,791.7655176999999,861.13462255,941.7686999,1006.7085966249999,1071.396102575,1136.3927781749999,1218.4553594,1270.327961825,1338.5480938,1398.852488675,1457.246886375,1523.43881365,1584.12471745,1654.01121
5,260.57544585,377.64149585,467.5324792,570.4214283499999,652.5675284499999,731.3248254499999,826.4950017499999,885.5850042999999,963.34850905,1024.0654731,1090.4980222,1160.04830125,1231.8325788999998,1287.78769385,1354.2709937,1410.637215,1472.3660416,1533.3520964,1593.10587025,1662.24351
10,282.01554419999997,399.87509020000005,492.1287176,593.7245979,676.6795817,756.477945,844.7293847000001,909.9004793,983.4197843,1046.6668372,1110.0448886000001,1185.1202933,1252.5281178,1306.547265,1372.7220373,1427.9019228,1487.6889173000002,1547.7799372000002,1606.762938,1678.451002
25,312.554835,431.710606,529.637793,625.56104425,719.424041,804.512007,882.03476725,949.1878919999999,1029.94208925,1092.6707495,1152.13651,1220.20251675,1286.1536767500002,1343.76361825,1401.85203875,1455.93555475,1515.82660875,1571.5032635,1630.1963905,1687.046059
75,367.175226,499.887315,608.202552,710.83906175,800.29477125,887.475863,967.883722,1036.5909000000001,1114.0273539999998,1178.24540775,1237.0701855,1298.4548957499999,1363.2919052500001,1418.2023064999998,1470.33689475,1524.3074872500001,1572.4933517499999,1622.0375945,1665.385431,1710.385986
90,384.25158,527.001179,642.7553063,744.646386,834.5875697,919.3480746,1002.8840175,1073.9979805,1150.3272351,1211.8368524,1272.409106,1333.2281243,1394.6822638,1445.807771,1497.7704732,1546.5241856999999,1595.3303124,1635.9258477,1679.149225,1713.533091
97.5,396.274399,549.556889,668.4446085,781.1936176749999,868.969009725,953.9554322500001,1039.9130172750001,1108.9097049,1180.608561325,1245.2770656999999,1308.163441325,1370.416545275,1427.77121725,1480.3889032000002,1525.717537725,1570.804474775,1612.9461075,1653.7067926999998,1692.762306375,1718.289143
98,396.274399,551.256889,671.790894,783.89330308,872.09373902,961.96844958,1044.1277483,1113.04125274,1191.0629625600002,1249.6125637999999,1317.49829858,1376.5759954199998,1433.84793734,1484.8384864999998,1527.12090904,1574.19816646,1616.39693394,1655.28831928,1694.340978,1718.289143
98.5,396.274399,563.356889,680.6417622449999,786.258568615,876.760276025,967.807201735,1054.47215535,1116.6682900199999,1198.114258285,1256.82935886,1326.766520385,1381.9299165950001,1436.5212691699999,1486.3017395,1534.38983431,1579.6910003149999,1620.08133055,1657.118078855,1695.6936403299999,1718.289143
99,396.274399,563.356889,689.522508,792.44053678,885.78338217,974.33115447,1058.31414483,1123.02147719,1213.26460944,1267.7396774200001,1336.33840899,1384.72235691,1441.02288561,1499.1141143,1541.35606072,1584.61392056,1624.1589581199999,1660.5906682300001,1697.75240564,1718.289143
99.5,396.274399,564.506484,701.634518125,804.8283280599999,895.880455765,980.986107825,1078.171565235,1131.780775905,1224.5744703149999,1276.50861629,1340.7082551550002,1390.462257885,1448.329000915,1509.99780331,1547.443471235,1589.27340792,1638.3650361,1662.400411975,1700.7993405399998,1718.289143
Median,338.931262,468.439705,568.036545,669.410389,758.749253,845.595617,924.3440155,995.5474449999999,1073.548848,1137.02687,1196.46037,1258.745592,1327.092928,1382.9954539999999,1432.5950775000001,1493.6546604999999,1546.704608,1598.5262705,1650.0928935000002,1696.118843
Mean,335.964090553,463.893064133,566.9705497289998,668.386719409,757.543205902,842.081237014,923.2614866910001,992.323445491,1069.851157982,1133.058216269,1194.1185195399999,1258.3296029809999,1324.943001435,1379.8601521029998,1434.2476628800002,1489.843048842,1543.301918048,1595.436541135,1646.195413565,1695.4620903940001
