,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22
0.5,68.397136,109.69661651999999,134.14857765500042,141.90827319800042,144.74408224893975,151.2492949438466,154.54503873483335,159.26015835803963,161.518604189474,168.036848640693
1,97.2169082066666,117.05850516933366,138.976418981429,146.38625718133366,148.5474524300002,152.74103354989012,155.9455609618333,159.91586811673227,162.062179789474,168.036848640693
1.5,107.77071120000001,126.893350078667,141.0361027660713,146.90193043377766,149.83784729000007,153.82362121813176,156.358407883333,160.2737900464708,163.3063874,168.036848640693
2,111.411029666667,128.8979505679997,141.73225438714243,148.81169467733298,150.798003597576,154.51227640659351,156.599788939,160.406549163399,163.501966936842,168.036848640693
2.5,113.279621,130.34585446000003,143.11603619285756,149.7240105766669,151.76418522424214,154.8374315549452,156.938360877083,160.87896502385638,163.57202304736867,168.036848640693
5,124.75930865000001,138.65590910666637,148.6782508714287,154.17968574666676,154.56258866515176,157.37972277692336,158.96904187083302,162.3957051627452,164.278471326316,168.036848640693
10,132.921382666667,148.00080218666642,153.93277909285732,157.34139863111142,158.08237605151552,160.1734386615388,161.436444318333,163.4893954000002,164.624005221053,168.036848640693
25,157.433857333333,159.29981809999998,161.602863232143,163.83231611111074,163.96457806060624,164.50205766483526,164.877481666667,165.798183029412,166.599399073684,168.036848640693
75,182.980698,177.6747016,175.713365321429,174.181014066667,172.82618984848523,172.146088043956,171.52480008749976,170.53943778758176,169.687674631579,168.036848640693
90,191.665829,183.486620133333,180.5217690928568,178.440229955556,176.2102898696968,174.73095280219752,173.78628153833301,172.3454245424841,170.598723768421,168.036848640693
97.5,196.991089,188.995222,185.06464660357184,181.5394084788888,178.82480401969713,177.2829376296705,175.443504865417,173.7921605111106,171.847447652632,168.036848640693
98,198.789045,190.262592,185.95306533857155,181.8750083324448,179.25139455272722,177.74462101011014,175.54842196100032,173.97836302352934,171.959034747368,168.036848640693
98.5,198.789045,191.67071339866698,186.7556916028573,182.54476262711066,179.84005555590943,177.907161098901,175.87576836899999,174.064658235294,171.959034747368,168.036848640693
99,198.789045,191.9160396,186.98523563071402,183.63157001066702,180.51770740090947,178.3795613349446,176.01395020516668,174.1966236342479,171.959034747368,168.036848640693
99.5,198.789045,192.342706266667,187.28954955285758,184.003559627556,181.0017167772724,179.02379579868176,176.238027283333,174.262754065359,171.959034747368,168.036848640693
Median,171.359850333333,168.847872,169.1901848214285,169.24630968888903,168.36807918181847,168.5280249560435,168.544889508333,168.6479588496735,167.723148642105,168.036848640693
Mean,167.41664910933335,166.9469818890667,167.91772235178576,168.36741355777775,167.85362301969698,167.98352400096704,167.95805703401663,168.15074614688888,167.95152340004208,168.036848640693
