,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22
0.5,206.035173995,281.36083578,393.76654501499996,483.63872918000004,579.07302801,660.7278496,748.951533145,846.95985745,934.537729,1113.643038
1,216.69684932,295.15214,401.50406979999997,502.99305351,600.56960725,678.25409302,756.9325153,850.80955874,952.821709,1113.643038
1.5,226.346243,322.36920602,414.311626085,512.118436015,603.7367656099999,683.879900905,762.59507578,858.47796757,952.821709,1113.643038
2,233.045481,331.7020255,424.54989904,523.96017106,611.03982342,688.88442724,770.55378134,866.2947722800001,955.539587,1113.643038
2.5,238.1733,339.112053575,431.041427675,527.007873775,618.1661863749999,696.615038675,777.1693402999999,869.089263725,965.037729,1113.643038
5,253.499812,356.84190035,450.31422415,547.2266559999999,638.2007909,720.6905322,796.95260065,888.68920395,975.377419,1113.643038
10,266.5681546,381.2913632,472.7309793,574.0014358,667.0456409999999,739.6943951,820.734783,908.2353783000001,996.4254844,1113.643038
25,307.687238,413.769922,514.00671275,612.8560705,708.2670774999999,781.40477225,863.1271,944.51320875,1022.314604,1113.643038
75,363.264153,488.898666,601.91364475,701.3705082500001,793.24407875,867.043658,942.216289,1017.6469872499999,1074.591743,1113.643038
90,384.25158,513.019057,632.4067191,737.0893982,824.4393152,902.7428037999999,973.8469058,1042.2573619,1091.511524,1113.643038
97.5,390.880531,543.5368338249999,665.5348288749999,770.1425959,860.21697,933.1912442749999,1006.8873619000001,1059.280322,1099.871968,1113.643038
98,396.274399,545.12005342,677.30048292,782.04730684,862.9572044600001,938.6250335,1007.962213,1060.820673,1099.871968,1113.643038
98.5,396.274399,560.156889,681.4207450749999,785.512385,868.008018,943.713787,1009.13598809,1061.0691510049999,1109.518221,1113.643038
99,396.274399,563.3683849500001,683.506489,788.212384,875.4873267999999,948.2952748199999,1011.9788387,1063.657009,1109.518221,1113.643038
99.5,396.274399,564.506484,686.208988005,800.40660355,878.27550172,959.2069918450001,1014.6821176,1069.4069025200001,1109.518221,1113.643038
Median,330.064154,451.9280105,558.1720245,660.4056780000001,750.725226,825.5297635,903.2776739999999,984.4048225,1052.934783,1113.643038
Mean,328.1095431,449.85448029099996,556.126666248,656.1413920219999,747.426058635,823.108892918,900.271112539,978.204678345,1047.356131239,1113.643038
