,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54,mntd56,mntd58,mntd60,mntd62,mntd64,mntd66,mntd68,mntd70
0.5,51.8636550483333,55.92150972,50.849772904,52.18392501250003,51.5582300971428,49.78521482625,48.65360507000001,49.212951932,49.61208652136364,48.043283508749965,47.287287753461555,47.46418473107146,45.468783491,46.41096050625,46.23184200588236,44.96571111444443,47.41007365657895,46.04585103375,45.53516963595238,45.9804863977273,44.763320608260855,46.14026212583333,44.174607026800004,45.36640254865386,45.08668364092588,44.24450145142857,45.25090034551723,44.424313835,45.170391642096796,44.97968419,45.110296892878765,45.711517072794074,47.9671462285714
1,57.462821336666664,60.406054517499996,55.212591778000004,57.410323340000026,53.78868503428573,52.853978266249996,51.64934922999999,50.380732314999996,50.972506010909115,49.413507225833364,48.4123062276923,48.89847593071431,47.05404823133337,47.281665109375,47.382678445882355,47.07088992388889,47.86793281947372,47.0670643895,46.68346696714284,46.66664061909092,46.32268116478263,46.83586509916667,44.9906617456,45.83609729846154,45.46772085518519,45.2042545614286,45.735011132068976,45.11516881100003,45.695739138387076,45.2496870728125,45.55331680272723,46.0041618823529,47.9671462285714
1.5,60.6256974633333,63.17056497375,58.63088384,59.2973188666667,55.09164582642855,55.074904554375,52.97204518444446,53.036817139,52.27652906227269,50.662917347083294,49.60816168307695,50.03082618285714,49.0727493766667,48.038275439687496,48.71721044264708,47.9828498261111,48.257837177894736,47.6245796215,47.225668408333334,47.24542689818184,47.023922678260845,47.303998218124995,46.246207172199995,46.04930358653846,45.73623248851851,45.55140329196424,45.92747402844824,45.464591505833305,46.08817584612905,45.48164827734375,45.74584039606057,46.297598506176506,47.9671462285714
2,64.62178229333337,64.62068004,61.342127324,60.665992773333336,56.59347510000003,56.226207172500004,54.39200663555551,53.93582239,52.99182203818184,51.97289335333333,51.277704127692274,50.60395910857146,49.63754129866663,49.3636971825,49.11519270705882,49.10640402111109,48.71470402947372,47.866751473,48.13872192857146,47.65198775454543,47.53455099304347,47.60547002999997,46.517420541599996,46.196519507692265,46.33401090666668,45.95236967928569,46.248193042758594,45.975226584666636,46.23055052709674,45.63678488625,45.87678226909094,46.342735559999994,47.9671462285714
2.5,66.79379818333334,65.731896525,63.878954545,61.475347924999966,57.95710297142858,57.430890768750004,55.009314325000034,54.2689697125,53.361333047727236,52.703704422916665,51.87955823076926,51.01703590714281,50.40782068666667,50.0502745828125,49.39357245,49.425621209722244,49.06465767236846,48.44184682,48.51131609642857,47.933607661363666,48.092911505434735,47.79156318229163,46.991884192,46.31077393269225,46.58779271574076,46.36850138749998,46.6240535784483,46.2703857408333,46.35309498709676,46.12941070625,46.03949882803025,46.40513573088234,47.9671462285714
5,77.01803753333337,72.222317025,68.76344485,65.88177918333334,61.74288079999998,59.9748169,57.825991577777785,56.916205895,55.145983322727226,54.427845320833335,54.11745812692303,53.19826811071429,52.65469604333337,52.4145201125,51.31228516764704,51.078071741666655,50.12349481578952,50.0293727275,49.62940007142857,49.07799993181814,49.23943725434782,49.0232643895833,48.15611984,47.63257281538465,47.666675685185204,47.0664094982143,47.34823504827584,47.2281177383333,46.92485661935486,46.669496040625,46.66146922878791,46.693593825000036,47.9671462285714
10,85.78574063333332,78.991285675,74.45767464,69.08277416666667,65.78756537142857,63.9991093625,61.79269165555552,60.77485994,58.74244121818177,57.899815216666646,56.99348589999996,55.615122735714316,55.12277258666667,54.329267725,53.545839723529376,52.87196303888887,52.436510026315794,52.083038435,51.344122861904744,50.658825490909074,50.39309253043475,50.135192437499974,49.413107079999996,48.99238396538466,48.68463374444447,48.53908363214284,48.24861580689652,48.07821626666667,47.64907849032257,47.430215581249996,47.1693775909091,47.1904122352941,47.9671462285714
25,100.55125991666675,90.1212595625,83.7943912,78.18927675,73.54362442857145,70.5773605,67.78918211111113,66.0131708,63.603103727272725,62.7484509166667,61.65653667307693,60.40191116071428,59.61905081666668,57.805127125,56.9850526176471,55.73943051388885,55.35962960526315,54.84426635,54.0709511904762,53.507892420454574,52.590075141304375,52.2658115416667,51.42056616,50.97570742307688,50.59157426851847,50.1335435089286,49.77766866379312,49.3315432166667,48.91986488709675,48.4534955703125,48.15368621969695,47.957002654411774,47.9671462285714
75,132.868733666667,116.85181374999999,105.16182509999999,97.63465800000002,91.92045353571424,85.916033125,80.744134,77.938820125,75.28647581818178,72.9654134583333,71.06127740384618,69.14386523214283,67.83504190000001,65.95507067187499,64.2746135735294,63.59150422222225,61.70842117105258,60.9351635375,60.047457738095225,58.92682663636365,58.0768566956522,57.12906740624997,56.32267324,55.007628451923075,54.433768074074074,53.8588056428571,53.057857293103424,52.12539065,51.424291467741924,50.72666803125,49.886942946969654,49.0386009705882,47.9671462285714
90,147.604570333333,127.73065577499999,114.11273632,105.8835771500003,98.33229491428567,92.51861901250001,86.63489495555558,83.21577699,81.09183428181815,77.9593898916667,75.58520896923079,72.99573314999996,71.44098017333333,69.5306566,67.83055964705883,66.67373415555555,64.71285312631578,63.185032605,62.34159725238097,61.13525729999997,60.55945743043474,59.2586382583333,58.354098548,56.75348767692308,55.98389303333334,55.26535381428574,54.440766027586214,53.369129966666705,52.51545964193544,51.6397298625,50.64232879696968,49.49384975294119,47.9671462285714
97.5,162.858224366667,138.53783351875,124.01782406000001,115.60853030416635,107.57076071428557,99.201221378125,94.08147732500004,90.1376967375,85.7820876954545,83.15966647083337,81.01893783653841,77.94775838571431,75.096226215,73.050857965625,71.80939232352941,69.82327332916665,67.37404105263161,66.0564132525,65.206216597619,64.16528765454541,62.66126506739126,61.19727298229163,60.114052183,58.41495320865385,57.60408311944441,56.66370358571428,55.8609800155172,54.57728422750003,53.74124995161288,52.4943185109375,51.40951885075752,50.21130736617649,47.9671462285714
98,164.592894333333,140.18686315,124.72040986799999,116.17543914333366,108.15098908857185,100.07703805749999,94.78595609999996,91.258188182,86.26197516181821,83.63702465666663,81.54643420000002,78.39118274571432,75.54983195999996,73.650150345,72.02734506823532,70.19793082111113,67.94265210947367,66.55725395,65.80032324666666,64.27636971727267,63.058810813043515,61.54963399833336,60.2336088088,58.71882382692303,57.71232762148146,56.98489918499998,56.144184991034436,54.726104011999965,54.07283518903229,52.570950975624996,51.45800536,50.241979394705865,47.9671462285714
98.5,168.85480133166698,142.55665903375,127.39229399399998,117.676116715833,108.98816583214328,100.7683083925,95.62018114111106,91.94677799749999,86.75142389818178,84.2691146975,82.10883089730766,78.91973458500003,76.2790645653333,74.50353401999999,72.76055665617645,70.51412007750002,68.6287023152632,66.88301718925,66.53060338380948,64.85784294272727,63.42961090173916,61.88456254625,60.6582405526,58.84450995538463,58.06468634111106,57.15844987982147,56.43391713603447,54.888486289833295,54.192051438387104,52.74932695015625,51.65858611318179,50.34025250573529,47.9671462285714
99,170.977321333333,144.385021475,129.207081002,118.751154181667,111.50138500571444,101.2442979425,96.11392144777776,93.963985103,88.1605174972727,85.77091273666666,82.9678916084615,79.49964085499995,77.10044148333333,75.33090122249999,73.27082249294119,70.86029960111108,69.00156742999997,67.6890991845,66.99412822952378,65.85491468090912,63.8761822369565,62.2338677016667,61.1122422172,59.419929854615404,58.4307288018518,57.311721067142855,56.620673910689625,54.96901706333333,54.29303523709672,52.9257169609375,51.75173824060606,50.430047104117605,47.9671462285714
99.5,174.99875566833364,148.21479649875,131.25512548199998,120.10351741333301,114.02072808857157,104.96015452249999,97.24184694055558,95.912846989,91.09146555318178,87.05131242291667,85.39038544076926,81.20924146107144,78.74984217333333,76.807947211875,74.23795758411761,71.30541217111114,70.03976440710528,68.90988991924999,68.61159247785714,66.09457081840904,64.22770283782603,63.420709057708294,61.6160743966,59.906384920961564,58.87389994370371,57.68124889732144,57.13469694793105,55.27275069950004,54.79275658838704,53.2991229184375,52.008801356060616,50.50769758279409,47.9671462285714
Median,117.5612446666665,104.07885225000001,94.5751421,88.37822308333335,82.25073307142856,78.707505125,74.2010347222222,72.0207637,69.1941528181818,67.70708175,65.9941878076923,64.81939167857145,63.46681863333335,62.398524124999994,60.91251473529415,59.57396461111115,58.74605186842105,57.95723955,57.0852385,56.1790164772727,55.4500836304348,54.806497020833305,53.982527160000004,53.0375283653846,52.4731249259259,52.023511267857145,51.415456344827604,50.793703949999994,50.23173033870965,49.6246403125,49.1251819242424,48.5227581029412,47.9671462285714
Mean,116.79486616599999,103.625312252,94.3727278862,87.87895697316667,82.38592558742856,78.32817592350001,74.25885504866665,71.9626610043,69.47793887809091,67.82163939933334,66.27252437223076,64.68468032814285,63.432655116199996,61.98520323975,60.72947547594117,59.63295294988889,58.568346186315786,57.74667835675,57.03279244685714,56.116031737818176,55.393983449739125,54.7038669155,53.82581189936,52.954127750807686,52.416388782259254,51.9052976135,51.38685583910345,50.69358451923333,50.140305717677414,49.556813753093756,48.99035480957575,48.44387412158823,47.96714622857141
