,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58,mpd60,mpd62,mpd64,mpd66,mpd68,mpd70
0.5,126.93310967800033,141.61576667107113,148.86036217688854,150.99306687984807,154.46552008109856,155.5435125962503,154.67512407607873,159.98331878321017,160.39032952826875,160.93010744086953,161.63721182732354,162.24323062224818,163.68074260032145,163.81442106463703,163.82206663024974,164.6890010368574,165.35892562600273,166.43226478764132,165.84585991092956,165.95672916408006,166.85979329023172,167.1378563082177,167.3440669404324,167.64246541585976,167.9038262088539,167.77335646271453,168.50965172852378,168.75411355357014,169.0973660873666,169.2851734181297,169.7589129034219,170.03031804845872,171.086957897308
1,129.22637318400032,144.42110131714273,151.07041404177758,153.93320116787837,157.12321915670378,157.54384056333367,157.23969824143808,161.19160508221054,161.38669370545472,162.40223754833295,162.97585938233894,163.03356558423303,164.36564470712673,164.37805807987948,164.66731692584668,165.0341317348252,166.04891343550457,166.84835164135865,166.54906120826908,166.81132964074007,167.3052376960195,167.5943209311349,167.80734844230196,167.93695232267004,168.31334780507376,167.86393736142838,168.63281761090133,168.8983026066442,169.36486429714475,169.49298547292625,169.8626482767274,170.06339260744468,171.086957897308
1.5,135.239842748,146.14505305249986,153.31425733533365,154.9519703357578,158.44772479626408,158.355238196333,158.8682178709154,161.6454555643153,161.91973098857116,163.16579609731858,163.1587157520312,163.6140635365604,164.72964569818419,164.84044012885053,165.55464248447402,165.355477184492,166.59848832985742,167.05504346066638,166.84487980025597,167.42936558335083,167.57448320145903,167.9357530198226,167.94921408097156,168.10945168120676,168.47586593356394,168.28572312620113,168.7028117889654,169.11400685154243,169.48353742491315,169.6366177543804,169.89963471065244,170.0835419670455,171.086957897308
2,137.682666189333,147.0141210557144,154.63926167822254,155.77433063333305,158.65969229714253,159.59563223533365,159.84946736784315,162.00174221136837,162.44260612606013,163.4613532533332,163.44623692603048,163.9637192950266,165.1954482854255,165.0095589834679,165.67387238616772,165.67924182806337,166.7257751742813,167.33804820856383,167.2906671433681,167.63116327141674,167.88402808989377,168.10643334099322,168.16390547471056,168.2475109098343,168.6156186860661,168.47521651072768,168.89294940631618,169.14966036711846,169.55291959549484,169.68172096182573,169.91248335336138,170.0934168964,171.086957897308
2.5,140.01383034666665,148.23042064464244,155.11627430999977,156.30405558484847,159.04307490274712,160.437322935,161.17758628169912,162.78641182999954,162.93398581190516,164.17731304981882,163.90171422215417,164.15701441719594,165.54476109896538,165.47414224163276,165.96600488208583,166.11483328722178,166.98275043371308,167.58233479846203,167.48752681777003,167.70348375258968,168.00531535154605,168.23006259773953,168.36440323269383,168.4846882528282,168.8023475990567,168.67700686152568,169.03483768545073,169.23182506200595,169.6075564529617,169.75477631386366,169.95011282925407,170.133703707638,171.086957897308
5,148.531992913333,153.93163873214272,157.92681225555526,159.72158263787904,161.29436412197816,163.03480059749998,163.1055540209149,164.79863035052625,164.6184938116883,165.32961817282595,165.09849691569215,165.9067591925928,166.6133699795401,166.6584173929433,167.00651830106946,167.3054637177774,167.76104446742497,168.1407886173078,168.0139417651566,168.13788710687064,168.5105651914973,168.76243150053196,168.7485891309388,169.05068404811502,169.209244398043,169.17075271694813,169.450971382335,169.66273236864387,169.8651299439452,169.95474631726177,170.13909561491815,170.4965880636965,171.086957897308
10,155.07885112,158.48129962142872,161.3801795377776,163.1046537121209,164.31590758681358,165.1621403883333,165.4763994313725,166.4244387873685,166.6441180354979,166.584626305072,166.7757132996922,167.2021127756612,168.0559659388505,167.76978091169372,168.1768227860961,168.2036149317462,168.562773339687,168.9616106548718,168.6243856950062,168.7454361545454,169.08614853565211,169.28389537482312,169.3207898811431,169.56923982775248,169.55293495331958,169.63949599649362,169.8332135234123,169.9960602874573,170.1075725175036,170.2825795496028,170.4732533827504,170.729741846269,171.086957897308
25,165.12327006666652,166.66276053571426,167.44703833333352,167.6886729318185,167.963592192308,168.5197085958335,168.7020993464055,169.00170076578976,169.168102361472,168.94670126630425,169.3340080830765,169.25564038756625,169.7016088068965,169.54628940927424,169.725489453654,169.874735964286,170.0078656870555,170.04810005128175,169.89605046457626,169.995385381078,170.08432908454103,170.24749147384725,170.2929778416325,170.37773372775223,170.3555107040535,170.41002843084374,170.512451454023,170.5789189926555,170.58956739502875,170.72043708556575,170.8271499752915,170.899312096137,171.086957897308
75,178.99782769999976,177.29015032142848,176.02221610000026,175.276047909091,174.6686404945055,174.2960451166665,174.05826372222225,173.50031858157877,173.6124091493505,173.39075894384075,173.13252516615398,172.92286386772525,172.993146408046,172.950526075605,172.6714167094475,172.58938984841248,172.45791982503576,172.36032185833326,172.31673507433226,172.24388139904852,172.159392528502,172.11580162411326,172.06264047755076,172.05691675678725,171.84024239028673,171.81880267564924,171.756026538717,171.67562682711878,171.593797023004,171.51925942361126,171.43272360862477,171.337351604917,171.086957897308
90,183.703207306667,180.5007288071432,179.4396168088893,178.353018360606,177.1633475582413,176.6846744700003,176.0703052300653,175.39516614315778,175.14634730389608,174.9640224239132,174.6318817261535,174.3282259714286,174.31988511356352,174.1069390116931,173.9952546110519,173.5784976685716,173.5495207081082,173.29406731794901,173.2424362497094,173.02480013953522,172.8351776591306,172.8148059631205,172.6868940106125,172.61914088552078,172.43762445562498,172.3393623855842,172.2017127237747,172.1310046319777,171.9608874011638,171.8399823979168,171.6727460220979,171.511559410009,171.086957897308
97.5,188.269312666667,184.47831162142842,182.34595650444422,181.2593509333335,180.01339854395562,179.01714901458365,178.0875328614382,177.48767350078964,176.97151474783522,176.69585588894955,175.91090741769253,175.75190413214267,175.2867259416091,175.19591190383042,175.11583624545457,174.61037587476153,174.45467874594584,174.31181484794902,174.1774983170153,173.73496769836163,173.61950581130452,173.43486711467182,173.3707541114692,173.10427971108564,172.9568363800492,172.91070285139625,172.56679945698693,172.49204572288127,172.3076627953201,172.12275053658195,171.87829214244715,171.67245242350717,171.086957897308
