,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58,pd60,pd62,pd64,pd66,pd68,pd70
0.5,330.48656275999997,410.036779755,501.73790998,604.286991615,674.140520365,749.608001595,810.551004365,869.792398675,926.3963676449999,1007.45347732,1067.49912423,1117.861895405,1186.584435565,1253.00067353,1312.903153985,1376.54414829,1426.0683836950002,1455.549115905,1547.40500336,1605.290056755,1662.304682405,1729.14149291,1765.947333525,1835.073597455,1909.995499465,1956.9126276949999,1999.15308594,2084.4460872600002,2139.034997795,2209.95231746,2260.82487042,2347.829106,2475.708626
1,337.78169266000003,431.66293162,527.63559648,611.90475356,691.1695486699999,760.87319045,822.4008499400001,890.64690419,937.8990342799999,1017.69330947,1077.77052475,1132.82875417,1207.9158719099999,1265.64222824,1328.59815961,1395.68499761,1438.6373915699999,1504.90757061,1574.78518248,1621.3186765500002,1677.77514956,1735.0487966100002,1785.22824961,1854.88108204,1918.77530075,1965.95802128,2024.5206271200002,2097.38906419,2151.18205208,2222.31211408,2281.43762327,2349.0929,2475.708626
1.5,343.41259689,442.27235669000004,534.593324555,616.35125048,699.0183058599999,773.4776139850001,828.230069175,901.3052817199999,950.9726314000001,1028.173617825,1088.065414135,1143.53078682,1219.765448165,1273.121310835,1350.674795965,1403.1745988999999,1451.3056275000001,1516.254595205,1586.39271244,1633.518224385,1684.031884345,1746.8972880850001,1793.43837272,1863.488222755,1928.028204885,1984.33716311,2031.35476993,2106.220589175,2165.8891850200002,2232.232552045,2291.161634945,2355.87546,2475.708626
2,352.15820736,449.45019242,549.3438846199999,623.08531946,702.77907682,779.60649666,833.42018322,906.65431944,959.3256336400001,1033.64562402,1098.37023956,1154.05863168,1226.47533992,1281.46466092,1356.23904592,1411.53104122,1464.86496752,1528.17454338,1594.7878642,1637.6933458199999,1704.7191284799999,1761.9181955400002,1803.14370824,1882.27629848,1939.8582079599998,1992.4034729,2047.1321992599999,2115.00601534,2168.855552,2236.44663044,2294.60776648,2364.47419,2475.708626
2.5,356.621506875,457.6293565,552.4707948500001,626.55187125,706.935363275,785.7925223750001,840.4690994499999,917.519487025,970.606811125,1047.257535175,1106.8921900250002,1159.2527320749998,1234.967015825,1288.493119625,1361.858280375,1413.075253,1471.200725275,1538.18942145,1601.775645125,1645.6560554,1714.761641775,1766.344445,1810.211607275,1889.240879825,1944.011823,1996.89884555,2054.548030875,2122.885709825,2177.3894847750003,2243.5865580749996,2298.64261515,2367.997692,2475.708626
5,377.2753919,471.8904662,569.3201523,645.1906907499999,724.06493425,799.5244437499999,863.4559016999999,939.19701545,994.0983837499999,1065.86172015,1133.7618329,1189.6247770999998,1263.50323815,1312.3337458,1388.20357405,1431.991291,1504.5643879000002,1560.0946809,1623.00143395,1675.83370485,1740.0711981,1783.06846105,1844.80146735,1908.002495,1966.84705955,2020.1058463,2084.93137515,2138.2602299,2192.07434675,2261.0048886,2320.4072472499997,2380.7158352,2475.708626
10,395.2994199,490.63692,590.3762103,663.1266093,748.3529339,823.9413579,885.420106,967.148643,1019.6725583,1097.0387151,1163.6948603,1218.666854,1292.6750588,1348.0976615000002,1416.532027,1467.7497552999998,1531.2208715000002,1583.9911616000002,1652.5285536000001,1704.9056669000001,1770.9065175,1812.8747995,1873.1302978,1934.0065401000002,1991.6085629,2045.9151757,2106.7108604,2159.3273589,2213.7704125,2275.4390455,2339.2869498,2389.861913,2475.708626
25,424.88862825,525.659447,623.95515725,702.79834525,787.802878,864.328471,935.95563325,1013.25817375,1071.3097205000001,1137.76979975,1209.4620742500001,1271.5939549999998,1339.142981,1402.78103575,1467.08681825,1518.51411525,1581.17411675,1639.18459775,1702.9962300000002,1751.3165395,1813.77215175,1869.05968775,1917.3840225,1980.702094,2035.06275625,2089.10314,2140.17221875,2195.97159675,2249.090643,2306.311725,2362.72716175,2411.717006,2475.708626
75,488.18959725,599.07797125,696.35302725,789.54420725,875.828047,956.095461,1034.44751025,1102.4733435,1173.216414,1246.68741625,1315.852586,1388.9825555,1439.164244,1512.8501585,1569.62842,1628.2645395,1687.9472205,1750.04719125,1803.8738657499998,1854.34511875,1914.90747925,1964.928536,2015.98855175,2067.0096045,2120.02863675,2172.764475,2222.3415370000002,2267.15812125,2314.26493475,2360.8758605000003,2405.54487425,2446.952303,2475.708626
90,513.751584,631.8944187,728.8110157000001,822.6232463,914.590457,998.4623885000001,1077.6766388,1147.7790954000002,1223.6992945000002,1288.4035812,1359.6179646,1431.4229655000001,1482.1900051999999,1555.148395,1614.8074274,1670.9112906999999,1734.2100123,1790.8985050000001,1851.4542125,1895.8797812999999,1954.4688032,2010.6070891,2058.9438231999998,2103.6711868999996,2149.6368344,2203.0177412,2252.8823070999997,2295.9352396000004,2340.1047636000003,2379.5721057,2419.1498073000002,2453.7303219,2475.708626
97.5,539.2083253999999,665.8619351499999,767.1869167,863.027741275,963.0988816,1032.9452104,1125.6010315,1194.9622355499998,1267.54238825,1337.584692825,1397.23160885,1485.487400725,1537.203934425,1607.90079685,1662.239261475,1724.7089812250001,1785.3052546249999,1829.269797125,1899.6060883,1941.9690684749999,1997.3139877499998,2051.296175375,2095.1612243500003,2151.14961675,2182.849831425,2231.1761716749998,2287.75697925,2318.73284915,2357.73958945,2397.8077200750004,2431.17535545,2458.525408,2475.708626
98,545.072909,668.42470764,769.24022926,871.50280018,971.9576966999999,1039.8351348600002,1136.41091044,1202.77005772,1274.14904104,1346.29577378,1407.10410856,1490.40816882,1546.5579026599999,1615.63843208,1668.1942588,1730.0572079199999,1790.8043137999998,1837.2721117600001,1903.24625572,1947.17955244,2002.29555846,2055.36678572,2098.61437638,2155.57940508,2186.9667662800002,2234.78335592,2290.03532472,2323.81304382,2359.92613832,2399.0255684400004,2432.30219014,2458.86003,2475.708626
98.5,545.072909,672.26093182,774.77464474,876.189944375,975.4431727599999,1047.774601755,1139.7473444,1208.226710685,1280.2119530199998,1349.6231524549999,1419.4898275799999,1497.6307490650001,1551.93276057,1626.8167508000001,1673.016457575,1741.8386042799998,1795.158919245,1843.682757205,1910.5836657999998,1953.480816895,2008.1713475949998,2061.80056029,2105.331024175,2156.3808252199997,2194.0719814550002,2239.39289151,2294.0579005,2327.9541449949998,2365.23087727,2400.98287231,2433.521579045,2459.2611658,2475.708626
99,549.5738889999999,674.78150328,779.70172933,881.87763488,984.6232924499999,1057.27409932,1145.6511997300001,1211.59576174,1301.27146243,1358.16828627,1427.82520293,1507.83470645,1560.96873044,1638.36614977,1681.16503575,1748.17893053,1807.37015566,1855.6207642900001,1920.94441298,1957.16264345,2018.0059133299999,2069.851107,2111.2210219900003,2170.29254471,2200.9487901899997,2248.47017978,2299.34673212,2335.37478865,2367.94199814,2403.8128855699997,2436.8996802700003,2460.758386,2475.708626
99.5,551.256889,680.5327557549999,789.9949877949999,888.6181663,1001.6079620300001,1081.662713265,1163.34104976,1217.854497985,1310.63211132,1364.977584525,1439.53226088,1529.580974055,1581.44104127,1663.051840205,1698.316980495,1757.146385325,1830.789735045,1867.97398564,1933.9868795349998,1987.01061564,2034.656405545,2079.0856411150003,2124.67888152,2181.9934941849997,2208.48358877,2253.44283225,2304.340432195,2341.357729285,2372.0765133600003,2407.3923967,2437.93958279,2463.0135742,2475.708626
Median,459.332469,564.386984,661.6464525,749.222181,830.5134395,913.7378795,987.7689379999999,1054.6266919999998,1120.4041185,1194.212727,1263.458929,1333.1495355000002,1391.9015709999999,1455.6895365,1518.7969870000002,1575.0569455,1636.8199504999998,1701.7181544999999,1752.4488900000001,1804.856315,1864.390467,1917.638277,1970.2590730000002,2025.129052,2079.7478899999996,2130.5870219999997,2185.508421,2233.586852,2283.811068,2336.2029615,2386.7251109999997,2433.5234495000004,2475.708626
Mean,456.24696255599997,561.9605671439999,660.451311519,746.34707607,832.177926906,911.874597174,985.590700428,1055.7663335659997,1122.185957814,1192.474277005,1261.9756060719997,1328.448957742,1388.566932211,1455.098573204,1517.1514405500002,1572.5147276209998,1633.9771004650001,1693.919782283,1752.261128194,1801.9404726439998,1863.090693124,1914.162618969,1966.768224941,2022.182993789,2075.403677963,2127.696597403,2180.856634017,2229.539094487,2279.417186496,2331.715143055,2381.343175435,2427.17878112,2475.708626
