,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52
0.5,40.026047000000005,59.54935868999997,56.321256965,58.566306057999995,53.20000589999997,53.570519472142884,49.55989592,50.29989021333337,48.053789239,47.58978295090909,45.66565013000003,48.173244608461545,44.660931946071386,46.0742934756667,44.467502513125,43.767695130588216,43.86788196944443,43.952233555789505,43.96652609625,43.190844328095224,43.87058815954541,44.23635924152177,44.825767005416665,45.5287366058,46.3847116153846
1,49.336648999999994,62.73207572000003,60.20981805,61.971992018,55.072263476666635,55.02940971714288,51.3028379325,51.655651184444395,50.210848075,49.14980153272723,48.162011670000034,49.03309941538463,46.53116822499999,47.43646756999997,45.499557178749996,45.603742347647035,45.80652236222221,44.888685825789445,44.847918642500005,44.04005668190475,44.4428137763636,45.108952424782565,45.21635392541667,45.7959427228,46.3847116153846
1.5,56.882220732499995,67.03478074499999,62.2433219,62.977758115,56.8138027966667,55.2990458664286,53.427452671249995,53.83370074277774,51.4036029525,50.48791679636363,49.593930295,49.893643882692274,47.195650999642815,48.328731930666706,46.877238966875005,46.499846682058866,46.18588410222224,45.50019823842106,45.28256050025,45.02712178214288,44.943593232954555,45.26558473413044,45.3469403995833,45.9164500184,46.4647868076923
2,66.85084652,70.21580540666666,64.582533585,64.33322962,58.24582326666666,57.12646981142853,54.2551837275,54.31639138222226,53.001057762,51.573591872727235,50.559610236666636,50.16280025384613,47.918449308571454,48.640883849333335,47.86203415375,47.12699774941177,46.52420972444442,45.98927295789473,45.744293016,45.26306674476186,45.32528949363637,45.62783870434777,45.637757045,46.0594412064,46.4647868076923
2.5,71.650721475,72.55821501666664,65.719525025,65.3517174,59.03849911249997,57.57927809285709,55.525033334375,55.35278887222224,53.73781194,52.557588311363595,51.09202447083334,50.520769323076905,48.3023239446429,48.77251199166667,48.155428703125,47.77565819411762,46.68342477222225,46.48508218026315,46.46966300125,45.51145817857146,45.553599482954574,45.790384107608716,45.73506241875003,46.281344531,47.0999725769231
5,81.1475565,78.5064247,73.3022595,70.5877495,63.112848549999974,61.37675695714283,58.986322368749995,58.056386900000014,56.81785967,54.96544299545458,53.37497975416667,52.51823910384613,51.65544355357139,51.565656233333335,50.35097023125,49.12594196176472,48.911730050000024,47.947225136842064,47.8641616725,47.02374726428574,46.50640951818177,46.372669834782606,46.43639264374997,46.58307715,47.1667231538461
10,96.0918091,86.58146510000003,80.584198075,75.71172568,68.15114359999997,66.30112344285709,62.7908096125,61.89473771111107,60.022275789999995,57.89574866363638,56.45888010833336,55.37356580769226,54.33195873571427,53.27977933333336,52.328529100000004,51.52298225294117,50.15718752222225,49.809557221052614,49.340172955,48.971670066666675,47.80437991363638,47.42057423478257,47.3098952375,47.262932844,47.7453995
25,118.3408525,102.329903666667,92.6350079375,84.40339335,77.67491087500002,72.99718496428574,69.19653331250001,68.09572233333333,65.882358825,63.1277835909091,61.55137841666665,59.44891525,58.69772260714287,57.423834149999976,55.629583359375,55.09058908823525,53.60073776388887,52.682772618421026,51.8568779625,51.540099345238126,50.05349486363633,49.49579218478262,48.66920583333335,48.32247309,48.2445948461538
75,165.64637,137.8489209166665,118.10933725000001,106.79986969999999,97.26233112499997,91.31008596428568,84.62526600000001,81.30665355555556,78.32310135,74.9831831818182,72.871582375,70.55740363461538,68.6217024464286,66.31813863333332,65.08923596875,62.846724235294126,61.45713965277778,59.72812614473685,58.490545925,57.1444556309524,55.390315943181825,54.183009195652204,52.414108937500025,50.77396145,49.2397733461538
90,186.1143805,152.796964,130.44813095,116.31940048000001,107.0845466333333,99.72270027142855,91.83123785000001,87.95847861111113,83.42311018000001,79.78698735454549,76.98081388333334,74.16920386153842,72.52373119285711,70.29058751333336,68.213584125,66.38891957647054,64.51166162222218,63.10094456315788,61.34058479,59.92971001428568,57.79313435454547,56.477130965217434,54.823337891666704,53.027021248000004,49.9375586538462
