,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52
0.5,96.18695466833333,129.098808055333,140.05453460250015,147.8532992079999,150.33652921712084,158.27195099164845,158.12933256425032,160.79220980490172,162.67162383505217,164.04021946601722,164.5472246035872,164.74136648036963,165.46898586984108,166.6157913765292,167.19092194931417,166.65335608917968,167.69791112012734,168.62104959241768,168.95177971714102,169.1509504066662,169.5143634671882,170.06037898522732,170.45052666271272,170.80357784867743,171.310452841629
1,114.55583992999999,135.92215212400032,147.90196365499972,152.2327386871109,154.30243639151516,159.70085316637315,160.69025413633366,162.39165965686288,163.38176360863162,164.95301533930768,165.12096967507242,165.2967165540923,166.6202597071959,167.29215284882795,167.73961311620934,167.72431467076674,168.42933101568264,169.03142616844954,169.11077342682003,169.60291712141708,169.78753532881635,170.35049870318846,170.7347624610111,170.8887212823673,171.310452841629
1.5,120.87039380833302,138.993344296667,152.16916773821472,155.10320802799998,156.66680907878825,160.51437092109884,161.733002184417,164.07897237032662,164.16726646736856,165.1249932597832,166.07778001601463,166.13785866689184,167.13470188325388,167.62218390935598,167.93192805685467,168.3639173570942,168.69286475312734,169.31624144398245,169.3828679052561,169.76976735240373,170.13386709861538,170.45405035666647,170.7748882307714,170.9980025441877,171.310452841629
2,123.156904666667,141.9511294560003,152.94318846571457,156.09178160622236,158.29839561151556,161.87431499208748,162.75849311366633,164.257048707712,164.6503559781054,165.85423060554098,166.48990223391294,166.681032693046,167.40924159375675,167.77236178124153,168.28411806032295,168.52808423037462,168.8409864977779,169.36127777621607,169.60490040005138,169.89551034597,170.2588705927274,170.5596705347634,170.83145952950358,171.1086019384491,171.310452841629
2.5,130.05396473333366,143.0514668,154.7324821892853,156.96881507777735,158.91283346893974,162.2362436181315,163.40467076875032,164.7336697669931,164.7539401434207,166.037388801515,166.6296688865945,166.85592056107686,167.75616314563516,167.97787845310387,168.538579602016,168.68901925017784,168.95701762349233,169.5341396150786,169.69961884589756,170.01695123577247,170.35583799371082,170.6852629743476,170.866590393484,171.1678809353469,171.310452841629
5,136.68105241666666,151.56505734666666,158.1616732857144,159.9203030333331,161.579728325758,164.19709539120885,164.963160013333,166.4199247084972,166.66211912157902,167.5315081160174,167.6127235673913,168.06643845753828,168.3386901785712,168.78847304137926,169.17800600020115,169.184018400535,169.56761404761886,170.00150496785227,170.15399311102558,170.4538967838555,170.7236448560256,170.98500529439653,171.1336860173754,171.33732622481617,171.968148562594
10,149.153161333333,158.028407333333,162.24167916428559,163.5154548311114,164.89195643030268,167.0088703802196,166.9976547616667,167.79604405751658,168.02806952526348,168.67956870995638,168.868726522464,169.2298462221535,169.2329178037037,169.7631608836783,169.8815257036295,170.0978786142605,170.28909034222258,170.4928279445238,170.7056283799997,170.9410511711965,171.1547629993655,171.3383868492751,171.4592796310287,171.712516153469,172.095483800905
25,164.344828,167.19834069999973,168.3956016607145,168.61573120000025,169.101730939394,169.93665403846174,170.1276899916665,170.34254235947725,170.35985681578924,170.6031565021645,170.8134336865945,170.83263889846125,170.96966967724876,171.083258942529,171.23780012802376,171.2283318609625,171.326498815873,171.4725991578945,171.56372911410224,171.75933734030224,171.84544146617327,171.9086457642515,171.959774968972,172.110091555102,172.222488500754
75,183.738333666667,180.2394197333335,178.47953346428574,176.75086666666624,176.28502937878824,175.99096514285725,175.46735180416675,175.1905925032675,174.6709047736845,174.48545154329,174.27155019384026,174.04442133692325,173.86629500529125,173.747637610345,173.62518674193527,173.46017251871652,173.38834526666676,173.3682385526315,173.24800048717924,173.13209883623674,173.066132655391,172.95768138115926,172.82978845877676,172.70899580489825,172.514500877828
90,191.665829,184.979208346667,182.3629259071429,180.12721754222218,179.04837796060582,178.4126592087911,177.3255719316664,176.982584738562,176.17937963894758,175.80920115757542,175.3394591036233,175.12775631507648,174.7864601486775,174.8143411958618,174.5647140604835,174.3263106752224,174.1613394171427,173.9889147365579,173.8259160705125,173.6698966452958,173.5140822260044,173.311876707246,173.0952549895392,172.924245737143,172.675685088989
