,mntd8,mntd12,mntd14,mntd22,mntd28,mntd38,mntd58,mntd60,mntd64,mntd66,mntd68
0.5,60.60274644,56.090172810833366,54.528481675,50.96603107909094,49.6901923182143,48.65555137815793,46.64032657500001,46.961886297499966,47.90138895984375,48.182662010303034,50.6370773529412
1,63.2032053875,57.07656776499997,55.986199697142816,53.8139046290909,51.2140210971429,49.39622606842103,47.70889144206896,47.963953659666636,48.2799649409375,48.47854981787875,50.6370773529412
1.5,66.5859882925,59.1681914083333,57.212002735,54.25376671636367,51.79042504571427,49.944487531315794,48.05786673499997,48.413532211333305,48.59261135,48.5965187878788,50.6370773529412
2,68.204241955,60.853044510000004,59.488006394285755,55.47880650727271,52.0584451228571,50.44949188000001,48.42405918896551,48.571804214,48.729297209375,48.69436836242421,50.6370773529412
2.5,69.122843925,61.863964720833295,59.931015160714274,56.091665129545405,52.697318253571396,51.12194547236841,48.517915779310286,48.87225021749997,48.898672512500006,48.89472050606059,50.6370773529412
5,73.860878,66.55534160833336,62.95144642857139,58.681270890909076,55.29809759285711,52.34233764210527,49.356998098275874,49.54815705999997,49.3906475453125,49.46751679242424,50.6370773529412
10,79.75148722499999,71.86459618333333,67.96157215714287,61.1866392636364,57.69282787142853,54.48886094210525,50.401843458620704,50.26608369666664,49.988818921875,49.9521945151515,50.6370773529412
25,92.9126465,79.59429391666666,76.25284871428568,66.03369202272731,61.5472615357143,57.43138914473685,51.95184697413795,51.5691274333333,50.9477113046875,50.627986090909076,50.6370773529412
75,118.06622125000001,97.19734637499997,91.4775709642857,77.76141147727273,71.2518722142857,64.2210118421053,55.11057308620687,54.34585968333335,52.7162389609375,51.75430340909092,50.6370773529412
90,129.860415375,105.667587716667,98.87353830000002,82.3968673727273,75.6013216357143,66.88509963157897,56.443919789655155,55.39943052333333,53.47111064375,52.39455706969699,50.6370773529412
97.5,140.12845311249998,114.8074645375,106.92566241785688,87.01811433409088,79.18167885357144,69.4941736171052,57.79834691206891,56.52775905499996,54.076625966406255,53.1157893030303,50.6370773529412
98,141.756602375,115.6594072400003,107.35745771142858,87.36395663999998,79.96504725428566,70.08581369368423,58.02975049241375,56.6063533586667,54.204958984375,53.160696030303,50.6370773529412
98.5,143.5143022725,117.89716565416698,107.88349813857155,88.22779777681814,81.01078717999998,70.29175065289475,58.1742567834483,56.733271357333294,54.35896383734375,53.287060116666666,50.6370773529412
99,146.060497355,118.94934726499966,108.71057711571414,89.72294627909095,82.61809792642858,71.0967816168421,58.50959449413789,57.00921746200003,54.5877701040625,53.7836922727273,50.6370773529412
99.5,148.4842691275,121.890163485,110.77887450571457,91.07158845727271,84.11921483642855,72.03481970631577,58.70455896379307,57.41777734299997,54.704944600156246,53.9093255454545,50.6370773529412
Median,105.9588375,88.03291633333335,83.73254685714285,71.85341963636361,66.325024,60.9793147368421,53.4793945689655,53.02609193333335,51.810690015625,51.19777184848485,50.6370773529412
Mean,105.57595465875,88.395007578,83.60955263042857,71.82528219036364,66.42462829921428,60.831595493631575,53.45373306534482,52.9157485287,51.77214681615625,51.16873776548485,50.63707735294121
