,mpd8,mpd12,mpd14,mpd22,mpd28,mpd38,mpd58,mpd60,mpd64,mpd66,mpd68
0.5,141.52188215214315,147.14956965499957,151.05363796571459,159.8150167733761,162.00160301298905,164.96107322395457,168.64751764227464,168.70330392010732,169.35539376831386,169.596148108159,170.790362132572
1,144.0757932749997,153.33641261666688,153.9018325835164,161.30364472251043,163.62625917497334,165.43884593891877,168.78466807601936,169.01377572113012,169.42991634352168,169.6639954148159,170.790362132572
1.5,146.34965518142886,155.10147589030308,156.52546463175779,162.50584426363596,163.82912125526465,165.83743779339923,168.91899341257738,169.1127377351978,169.53152588383918,169.73102911915146,170.790362132572
2,147.1263977214286,156.03020405090913,157.15526084439543,162.9373605492645,164.11412449788318,166.35777563334273,169.0170082231332,169.16907227703922,169.6904606693452,170.06672906784124,170.790362132572
2.5,149.00112776964272,156.75914380909097,157.9211794763737,163.5852838738097,164.39411339126963,166.72055618413916,169.13426777220207,169.19660099641223,169.78112865972216,170.16370987205156,170.790362132572
5,154.23051718571415,160.7295457106057,160.96064471758254,164.83385285714266,166.20134927724888,167.28659122176418,169.46129121560804,169.48286750920875,170.02244417981169,170.375135948718,170.790362132572
10,159.1450641785714,163.2837971090907,163.8528613868132,166.3808307480523,167.4764634973548,168.13329540825072,169.7658024709011,169.82177933050872,170.2069947422623,170.443477365035,170.790362132572
25,166.46700074999976,167.70500700000025,168.112633923077,168.99749993506475,169.21391615740725,169.59059307396876,170.3300528421055,170.3555093838985,170.51876425545652,170.56953439906727,170.790362132572
75,176.68381276785726,174.77215656818152,174.20662816483525,173.107263831169,172.36674211640175,172.12332684566127,171.35665089957627,171.2193921658195,171.1149928045635,170.988972141725,170.790362132572
90,179.8951946214287,177.1602208606061,176.4762743934063,174.8113685974027,173.6780863380951,172.9454374816499,171.7584048260137,171.5999854367234,171.30073112748002,171.1555095938462,170.790362132572
97.5,183.44108632857157,180.29767823484877,179.11955087087935,176.32144445476186,175.09462990476214,173.87752772446694,172.10500408702336,171.92040357423744,171.57936120439027,171.353688993939,170.790362132572
98,183.90663405714244,180.39285308727264,179.4175913010985,176.40078862077965,175.23645852804276,173.92903652250382,172.15914972067708,171.93235815444066,171.59335229861082,171.360316972494,170.790362132572
98.5,184.27620713,180.96372709818172,179.56811179021992,176.53244762939386,175.512010874974,174.10836004371296,172.2204358842894,171.9642304388139,171.6093707019939,171.371785610256,170.790362132572
99,185.23426015000015,181.2569393509088,180.1937981545056,176.76337728831206,175.61566592656075,174.23249561391162,172.27673742983686,172.04676287420372,171.67326741607124,171.40744120067134,170.790362132572
99.5,185.9516263164287,182.17596111409125,180.47486924637366,177.35144425051928,175.9645263989949,174.41484124843535,172.41442980734985,172.12602675987526,171.84005039435,171.427749712821,170.790362132572
Median,172.424560464286,171.7428913636365,171.194985098901,171.2962086103895,170.91589031746048,170.8678273314365,170.876688831821,170.7932530553675,170.7850153973215,170.821709191608,170.790362132572
Mean,170.77397164807144,170.79525879369697,170.6272651473846,170.87888923367964,170.6686340276508,170.7203474364865,170.8159939020181,170.7467168429288,170.77761213917856,170.7853365507776,170.79036213257206
