,pd8,pd12,pd14,pd22,pd28,pd38,pd58,pd60,pd64,pd66,pd68
0.5,406.02348182000003,588.7877390699999,673.041146795,959.62025695,1160.518574535,1452.2942889649999,2084.7587605,2127.553336945,2282.15262819,2350.13067995,2491.392737
1,429.83341275000004,609.82007176,685.65892868,973.90014292,1174.44651257,1470.93357207,2100.7769785299997,2158.47862342,2291.9280442599998,2366.28415523,2491.392737
1.5,441.993913295,619.0698571849999,699.16478785,987.50226999,1184.496895765,1486.387614535,2115.17343473,2166.43726262,2301.273797115,2371.00018809,2491.392737
2,451.2156084,627.91882262,703.59450876,996.3108845600001,1195.7121978199998,1491.82314278,2118.5955321,2169.56686206,2302.36570886,2375.8982898,2491.392737
2.5,459.19982995,632.89970775,705.7615929250001,1000.4306997,1197.6341412499999,1499.704719825,2123.51437335,2173.076562775,2306.331347425,2377.670525875,2491.392737
5,477.44645364999997,656.48021985,730.6678422,1021.18492985,1223.9666652,1533.897226,2136.9270424,2192.68153235,2320.7063055999997,2395.3804579999996,2491.392737
10,496.5134199,679.6119504,756.3935112,1042.7100953,1249.8457639,1562.9506221,2158.522834,2214.0732009,2337.2872231,2410.374607,2491.392737
25,530.60931175,711.908904,794.0269815,1086.6927302499998,1297.22864075,1612.71758625,2201.96515025,2252.50572975,2371.70623725,2429.8547805000003,2491.392737
75,599.0224795,792.39794975,876.62618175,1190.3559025,1399.5034655,1710.9983765,2271.08183525,2320.64466675,2416.3634309999998,2459.59659525,2491.392737
90,625.82861,827.0430557,912.7013314000001,1237.063089,1446.3259357,1761.7695472,2295.9367626,2341.1511113,2431.7640461,2466.786635,2491.392737
97.5,649.3838053999999,868.3585777999999,955.66516785,1289.953790625,1493.142614925,1808.0932737,2318.410360125,2361.82827515,2443.6504678750002,2472.7448925999997,2491.392737
98,650.9235043799999,874.6402337000001,962.1604445199999,1295.07598618,1497.0773854600002,1818.1550557799999,2320.64033362,2364.75282628,2444.56229766,2473.527143,2491.392737
98.5,653.483510855,880.19816573,974.2427797249999,1301.486183865,1511.982605325,1835.088411905,2325.00713098,2367.506899225,2445.1818099750003,2473.96152461,2491.392737
99,664.08461916,885.05067362,988.1210089599999,1310.1405028,1519.0977139499998,1842.83299016,2331.91483114,2374.39411827,2447.62996723,2476.29118652,2491.392737
99.5,676.187893005,890.63345384,1003.099651585,1320.7447381549998,1525.42777346,1859.2450856100002,2344.1706566999997,2378.840798115,2453.15251583,2476.31023442,2491.392737
Median,565.9454854999999,754.828498,835.438495,1139.7026660000001,1350.4743485,1663.6787835,2239.948883,2290.5142155,2396.8312745,2448.668169,2491.392737
Mean,563.0729357759999,752.6841531050001,834.831898098,1139.995415697,1348.0896524739999,1662.75664923,2233.397000984,2283.4828794440004,2390.5653588669998,2442.323149802,2491.3927370000006
