,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28
0.5,24.957674,38.9631411025,41.617820740000035,53.058030395,54.696211119,52.8027075533333,52.282652562857145,52.158656471875,51.353477069999975,51.6147038635,54.66396753863638,54.8514013333333,56.4949580769231,65.3349542142857
1,24.957674,43.90291911,43.8305222166667,56.719536637500006,58.151972254,54.5502353216667,55.014869962857134,53.74846805625,53.9651195944444,53.587791528000004,55.79896649363631,55.58681665416667,58.28775875384614,65.3349542142857
1.5,40.77492,47.332587,48.4759082366667,59.89242276875,59.812735156,56.7703231058333,56.711157638571414,56.519913824375,55.96248796222217,54.607908609000006,56.38045881181816,56.1861212179167,58.92037581923076,65.3349542142857
2,46.159222,53.302025,52.31360833333333,61.94988617,61.215364720000004,58.002709030000034,58.342522165714286,57.03436643,56.472986766666644,55.379774876,56.938000909090945,56.8361501666667,59.1292684615385,65.3349542142857
2.5,46.159222,58.087443575,58.76169578333337,62.77359849375,62.145069004999996,59.11938421250003,58.80101283214285,57.756607724999995,57.57871071111112,56.581227500000004,57.45443892500002,57.206097431249965,59.7521758461538,65.3349542142857
5,73.011532,64.12358415,67.80922463333336,69.8422544625,66.66154721000001,64.3190047416667,63.44133200000002,60.78737930625,60.33135298888884,60.095005875000005,59.32747712272722,59.11118896250003,60.6645969230769,65.3349542142857
10,89.000006,84.0578082,80.16280016666667,77.968757375,73.17029578,70.67183189999997,67.55194121428576,65.1932128625,64.56020237777777,63.088000179999995,61.962958218181804,61.27780119166667,61.80821613846154,65.3349542142857
25,178.764976,112.6322655,95.83418716666665,90.2261371875,82.423985,80.08995841666668,75.20617414285718,71.96283062500001,69.01489752777778,67.17805659999999,65.6171160681818,65.10909754166666,64.2658909230769,65.3349542142857
75,197.374858,161.801862625,132.7633088333335,117.569848,105.12437485,97.64754487499997,90.71272982142852,86.02091221875,82.25895605555556,78.32237884999999,74.72184479545454,72.06748083333335,69.2661213846154,65.3349542142857
90,197.374858,186.1143805,146.720995,129.48396115000003,116.45917118,106.41343050000029,97.64058011428574,92.028344925,87.53357794444442,82.78054284000001,78.36837203636364,75.28279766666667,71.1539511538462,65.3349542142857
97.5,202.810614,187.52220791249997,165.954597666667,146.54024021875,126.216714075,114.28733832916635,105.03268173928556,96.89377713125,92.88102259166669,87.0603263975,82.13061607954542,77.9428859166667,73.1711744615385,65.3349542142857
98,202.810614,189.428856,166.88663081999997,148.67166454999997,127.155747196,115.03038935,105.86309968571469,97.6153095525,93.50311099333337,87.748564242,82.50463499636363,78.08395842333334,73.5373326153846,65.3349542142857
98.5,202.810614,189.428856,168.87499212166696,149.7409115775,129.058109205,117.08126110916699,107.13577337214258,98.314035115625,94.32788040777777,88.17780073200001,83.4769214545454,78.4156408491667,73.5373326153846,65.3349542142857
99,202.810614,189.48279467999996,177.750528,152.929690075,130.85950973399997,119.191177443333,107.81155857857115,99.1839480325,94.73550685555553,88.614946238,83.83966562272728,79.14682039416662,74.327099,65.3349542142857
99.5,202.810614,194.822724,179.883861333333,154.11404998499998,135.37276505499997,121.47522503250032,108.7159027985717,100.04887583375,95.39311390888889,89.75398109,84.55776836863637,79.7402696666667,74.327099,65.3349542142857
Median,189.552712,133.2349615,113.679213666667,104.33397275,94.65994470000001,89.48744233333335,83.04359135714284,78.5157625,75.38083922222225,72.51403965,70.1703350909091,68.7581505833333,66.9296306923077,65.3349542142857
Mean,170.18982956600001,131.85196848699997,113.38642866533334,103.916862167,94.34897824779999,88.7491652805,82.71066916257142,78.50889848375,75.56408530266665,72.6533019007,70.129562063,68.43709852991667,66.66692407530769,65.33495421428572
