,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28
0.5,4.93101429999999,73.97030585166667,106.823062634,124.58180762714287,131.2108483975558,138.42112428272705,142.44291955098865,146.884088170833,147.93390962464028,153.14668167636867,155.98365921978387,158.51871975021737,161.66093136,166.394165809524
1,24.764748940000004,80.718702,113.03122888266667,130.52547157785702,137.87971573111068,141.81460607030334,145.43475185846162,149.1535380381667,150.1863612598691,153.76434443926325,156.79480873307386,159.456778115942,161.66093136,166.394165809524
1.5,36.25203268999999,106.01079468666698,126.196021612667,132.3553838339287,139.75126075244432,143.7168002828789,147.27711075527458,150.49955381608302,151.64393673241844,154.8140367509998,157.38736549099548,159.88987774322473,162.47042355135355,166.394165809524
2,40.77492,108.928507666667,128.377974024,133.67601492714272,142.6945349822221,145.04135182424253,148.30065004879165,151.91513633533302,153.4008263450978,155.56689332442133,157.97217358874465,159.954126123188,162.484299095385,166.394165809524
2.5,46.047205500000004,111.564715333333,130.23611783000032,135.66962007499956,143.9465098711111,146.43046399772706,148.75480592197772,152.64980535708298,153.81907317222246,155.95879385236873,158.30247746190508,160.09928942065247,162.529435076923,166.394165809524
5,48.611788,118.673489,136.96947588666634,141.940638635714,148.3835768622219,149.4981841666668,151.6679663604399,155.23264106999972,156.36991899934594,157.80105783684232,159.53840251861473,160.98486921739143,163.288518461538,166.394165809524
10,89.000006,132.332556666667,143.6978636,149.49747708571422,154.22695974222242,154.8015023545456,155.5253492329674,158.148085996667,158.8306946431368,160.5137230747368,161.280493735065,162.300494108696,163.640049809231,166.394165809524
25,178.764976,158.43837875000025,158.258524866667,160.14447207142874,161.54826421111102,161.3630895757575,161.9184836538465,162.70859597916674,162.49017687908474,163.334460005263,163.7694083181815,164.21022868659423,164.601214270769,166.394165809524
75,197.374858,182.980698,177.6747016,175.58464217857176,173.7347456,173.11542092424224,172.11220412087948,171.25039974999976,170.64265990522898,169.607514463158,169.12875972294376,168.7026504094205,167.925367341538,166.394165809524
90,197.374858,191.665829,182.2817997066664,180.6770097428575,177.84875758666692,176.48386111515168,175.4257883846154,174.1232938033333,173.1598955921573,171.71196748315748,170.9478203601735,170.3085964391306,169.335580215385,166.394165809524
97.5,202.810614,196.991089,187.916039733333,185.737783760714,181.76054039888876,179.71526983787913,178.27916695109846,176.42118100666667,175.30527917908543,174.03816888578933,172.9654608093078,171.80023550307956,170.03713763707717,166.394165809524
98,202.810614,196.991089,188.7807736,185.95013436571443,182.19466210311154,179.83655487939387,178.90058805802212,176.76299597000002,175.77412297281052,174.18750937347338,173.153407359307,171.99115298681193,170.060365563077,166.394165809524
98.5,202.810614,198.789045,191.666977466667,186.41037477142842,182.876690101111,180.13228697318183,179.22393366021961,177.07248780316698,175.87569432281046,174.35479509389444,173.22108977614727,172.05096472492718,170.060365563077,166.394165809524
99,202.810614,198.789045,191.9160396,186.865174071429,183.00914236977755,180.41127580606081,179.78607282439606,177.53241429183365,176.33401761320246,174.61118129631603,173.33735003255447,172.1248794121014,170.121949772308,166.394165809524
99.5,202.810614,198.789045,191.91817293333332,188.255681785714,184.38459148222188,181.7715945495454,180.20149889076916,178.1073596445,176.65167259281068,175.53633968189516,173.65198010956684,172.5392782535504,170.121949772308,166.394165809524
Median,189.552712,171.342422,169.272031866667,169.5086235,168.8777572666665,167.9439183787875,167.373056098901,167.11791001666649,166.952124588235,166.522078331579,166.77368088311698,166.4290029601445,166.551126436923,166.394165809524
Mean,166.62094463599996,166.71207304033334,166.41289444093334,166.80256650607143,167.03390295919996,166.59077393878786,166.34679744490109,166.51554003594998,166.3059828466536,166.26810677808422,166.33039341831167,166.3244000342681,166.34259256737232,166.39416580952405
