,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145
0.5,32.38571477509193,29.995114435402858,27.493946264314975,26.31273152579688,25.117573195377926,23.60752845663907,21.81249522886082,20.787878688560934,21.327238499150358,20.155914604325385,19.948558695570807,19.468688008017804,17.98068187515109,18.006751744680827,17.86615129247348,17.477143364010026,16.976849959286692,16.669565482979415,16.632616508653122,15.388733376338019,16.36040109000118,15.596836810082117,15.046203238932668,15.530451387377832,15.363234468892843,15.530976258447682,15.226074327617862,15.369766387036867
1,35.96113088780494,32.27707492717317,30.462452748694627,28.175118010858533,26.154081302318065,24.651167066018527,23.573747470573775,22.31892201238979,21.579391783953948,20.707969279329227,20.02985650769589,19.900671753998104,18.773591250097002,18.62962901245968,18.26947147302699,17.578116826451623,17.678029804133303,17.077007594913958,16.802668518485856,16.220332775195846,16.61434595070533,15.951084949850202,15.580336270459666,15.753825112278205,15.580438410270546,15.753747606598056,15.55707515610458,15.455150338136564
1.5,38.58438832365025,33.676234041677404,31.74740699557903,28.973994028773852,26.639870105418098,25.27354907707092,24.227317891801967,23.80547951954537,21.957266274033994,21.133999258003822,20.588995086945722,20.25322857391522,19.074256647486003,19.10948615754645,18.66180760434768,18.025853972016314,18.140848397884223,17.336669495786424,16.979126280041108,16.526055201711042,16.710300542014746,16.138804105422683,15.985594925563063,15.960051415091465,15.85834036357537,15.936316065416184,15.659998744225396,15.57523312861673
2,39.7235702415078,36.3487131116284,32.26115419426142,29.50811307890888,27.005231491518018,25.95634918359485,24.524666406377037,24.3786291725328,22.42663825265244,21.548739078745925,20.77889822600497,20.497911306858473,19.62847099436567,19.235158476348772,18.91961306863169,18.2411454478468,18.28716749611924,17.596870982599174,17.14112139257873,16.89350188741799,16.93088636531623,16.307502440393574,16.161537433452448,16.09000856409799,16.048114506905524,16.169320232738386,15.827730995355177,15.642750168249346
2.5,41.948332883366994,37.76362138080383,32.955019799033,30.320805759302758,27.489864260057857,26.189389334961536,24.969536423103577,24.715407189317727,22.85620996193591,21.88173333477072,20.976746843713887,20.812053072016667,19.91679334610303,19.435024537410445,19.104498076620768,18.466276947348994,18.368048956734633,17.793923624997774,17.269801046289057,17.127178643784443,17.112678811110133,16.564896926295095,16.417190377699285,16.214528635579168,16.151282033395642,16.276664305929543,15.90610156988463,15.77483240091602
5,46.7676128786351,41.53292634256023,35.82198531095365,32.34487800046524,29.8541901773104,27.44668090891249,26.514997248382524,25.809979777760955,24.42573245715733,23.1991563171018,22.153428874525083,21.812258779786422,20.980864801704016,20.354737320978526,19.70837828929875,19.297905281325036,18.957816693108583,18.610298706847463,18.086016753515874,17.72286645149908,17.640545234590835,17.138440725040873,16.99498213731974,16.88837423401431,16.64131737100002,16.79492920882717,16.37978157989091,16.94319937750043
10,53.4151359538964,45.455220252936705,39.2279493512082,34.44161793528051,32.09794263913401,29.67065920764494,28.299839690082898,27.164470786513903,25.588256625062257,24.32911931906182,23.14842822144294,22.84754127937382,22.14858556596204,21.03862695559932,20.64540630476488,20.266853020910542,19.80992123661545,19.23685190666125,18.96214731494646,18.464587478818657,18.29870213324354,17.86652986796142,17.67117603242901,17.493922851149073,17.30040740849264,17.46353864999677,17.19521289357706,17.240390578779678
25,63.760455599127,51.8714440300652,44.878651803925,39.4322757262308,36.008564076948446,33.475471236905946,31.5851257330784,29.851120502447948,28.0641551818603,26.827412197885273,25.46144636974345,24.9440499125747,23.828322759915725,22.93019845424675,22.730392220531325,21.998592700875225,21.48279517091185,20.68169441132865,20.31441817268745,19.925024915875625,19.592992848913074,19.184778635119,18.904285298181275,18.673670536422875,18.430492008731175,18.2250998529555,17.81920190279425,17.630008701044225
75,87.94654020917,68.958746668674,59.31753439955625,51.6979207671323,46.178092998651,42.18067353739573,38.731565391668255,37.050665422874076,34.7502398412238,32.912096943280176,31.488231348033775,30.4017464967635,28.976229929572824,27.552893503164075,26.905934740866776,25.988232716667277,24.92460099758625,24.106953251156774,23.696801024793174,22.8722287142479,22.1498849257355,21.563604979546923,20.89584391445655,20.428840561806574,19.855226106922327,19.319136638750177,18.671593956002027,18.071206168136122
90,100.29003060732161,79.38008021589162,67.2810080977656,58.29114803773462,51.059039043509706,46.51969326304146,43.11108074017777,40.271898677927766,37.74088543096244,36.156640617462344,33.74359685241812,32.36797986115124,31.02789359383336,29.58951142958151,28.580585119857428,27.421194598969322,26.327790920365523,25.46027207470884,24.690793200489168,23.914863872137488,22.95816244994575,22.44040096739315,21.66341751669126,21.03017591125151,20.362869941520568,19.79206273102577,19.07897989479653,18.32530243885336
97.5,112.46973650547989,90.09573179196144,75.1510387379492,65.10934552429165,56.67799203309042,50.9279458273677,48.06739594438918,43.38074233637039,41.23310161568087,39.40318870539449,36.22462751959491,34.468324329196065,33.1240517031021,31.367859210106015,30.029168138248348,28.882640129603605,27.99077481103947,26.760954501952707,25.858999529023574,24.869942243503825,23.9480840808336,23.25614862728475,22.438375802351548,21.701399832616627,21.09093154884529,20.376617914171838,19.554965762952452,18.71537548736496
98,114.5206773059266,90.74175455283722,75.85101061375386,65.90594046089232,57.418137808107346,51.613036494443726,48.682156990024396,44.04031604833303,41.69795299761889,39.702046728710506,36.56427976803361,34.938406413428176,33.54360765585671,31.523865144829024,30.146381996866317,29.060800650752576,28.150885477612324,27.08914260348452,25.95635021994517,24.987454166761292,24.013382819821974,23.325517248674153,22.508974534185974,21.768057462426345,21.188340236366315,20.4098252171214,19.6086999719883,18.73908152670878
98.5,116.31493821078044,93.57164664468338,77.24324319084437,67.89408064856023,57.90430029009331,52.486601088425935,49.585182275297456,45.20335117386513,42.314862868796695,39.84531172997402,36.867609100046735,35.08030613835894,33.94498483333325,31.720578759775233,30.343314668825382,29.163519889290928,28.325207942110506,27.34731929668239,26.1299331070852,25.1643788333291,24.165897329700847,23.487171699343726,22.6611424320305,21.918221430892604,21.246099412171333,20.50748869701144,19.637136771682684,18.804918714260886
99,119.81828780964378,95.5184088829877,78.56511728182731,68.63298206735713,58.47687878405108,53.09976141717236,50.3224675125285,45.843340590992334,42.61627173444696,40.118825298857594,37.34574178958936,35.33827850777787,34.48561943580177,32.079871157679875,30.85285298091887,29.88562205195678,28.53955223402606,27.494702629416825,26.32542302305448,25.267714274257404,24.289586165556877,23.693936415934523,22.83338128201154,22.0352461406056,21.33016390441726,20.596917795565496,19.74048584476809,18.900214176456327
99.5,127.47030535382696,98.20005052640192,81.33520415036342,71.66797065563117,59.65902697971104,54.68287778283315,51.393788271336476,46.275049125123275,44.555189419576024,41.56711634161127,38.22599410863476,36.39555475065439,35.171527033380386,32.37428001773139,31.559195875561112,30.303163850453508,29.067020980595554,27.974978492152463,26.628662293413413,25.451567042754277,24.524995264937328,24.02731083439654,23.138064405323053,22.43052258091603,21.39071423369072,20.72025070151374,19.84085778255845,19.10851220534315
Median,76.5429675548913,59.801056937503446,51.78698402858435,45.575511868389796,40.81424830144336,37.5189244603537,35.023252779062,33.339396793795004,31.291539123123698,29.9468465283611,28.3311564260601,27.4515424424271,26.13447337991965,25.21946191206415,24.8068803137758,24.06523114893355,23.159894763114302,22.459611110917052,22.183126132204897,21.45510920543195,20.975623353025902,20.46689570895975,20.086895996926998,19.641211234277648,19.2132073407387,18.7574069988994,18.27083346749635,17.85621612988675
Mean,76.35218555673563,60.96200815349755,52.47009110983471,46.053619063926995,41.20019683193669,37.844390537287566,35.38342861441295,33.570729004437716,31.51505104589266,30.042065810848246,28.48020387430475,27.57127021566841,26.386119800746194,25.27583337147446,24.728116477090936,23.924630621220807,23.177648552823985,22.40234240995985,21.999949932784833,21.316261036472913,20.817115740774085,20.30381121367373,19.838165147211463,19.450659708999318,19.034101357861925,18.682198818630507,18.173496401417914,17.79865524219097
