,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145
0.5,114.98996050800638,122.90951085798044,125.32798846848823,128.58232160066783,131.3908120690849,133.3563858974437,132.8280996128216,134.00692309384073,135.13694602494184,135.39216160708497,136.00981132819766,136.67251934731934,137.22559690337962,137.15781900521372,137.6595355605995,138.46050673082274,138.37933667977782,138.49993836636847,138.85946520412998,139.0785451706961,139.41607781550283,139.7795169966722,139.74283327855977,140.26713443906021,140.26883606523435,140.81683656046732,140.8704671873757,141.2960525021081
1,116.66226851060317,124.72401283563607,127.30755824748417,129.8612807345865,132.94116545590603,134.09225396464512,133.87411008388176,135.161713656439,135.81554788430546,136.0479889288229,136.6256582365657,137.23512236978218,137.94786773599392,137.77646576550347,137.9972967534679,138.8093615422284,138.84514222139907,138.98194429875284,139.54247015421788,139.59182529441205,139.78222897533345,139.96896184696385,139.85276190092048,140.3785241638048,140.54239458474478,140.8497375861842,141.00576511506327,141.36853535713266
1.5,119.91218660351035,126.31317343509704,128.98616814862692,131.64568915817986,133.62747014547446,135.19723342294412,134.72021749875097,135.72171552951673,136.14781445234001,136.41550149277353,137.03088779698157,137.46294165553388,138.18181786696212,138.02203704503233,138.26563092886335,138.97352895248827,139.05105679156983,139.10319511681257,139.78762375704943,139.78235745739659,139.98538017085951,140.35034699121908,140.01525409844956,140.4215635454944,140.71239887682677,140.99723443580152,141.0892373227103,141.45076866954162
2,121.76198086924235,127.5885975592842,129.52043149412899,132.98788626729913,134.06353338294824,135.45513374012552,135.3592269360494,135.96479090844457,136.86243723794217,136.7072292127125,137.22076070476578,137.62121947793554,138.41938703051775,138.3410615997755,138.711392165482,139.19640042352697,139.31365195162644,139.3107716807759,140.09339685840598,139.90868942990136,140.08362961827527,140.3998793390697,140.16194075029807,140.5356418066096,140.80518050744172,141.10063003159874,141.26881853220473,141.61209994888563
2.5,122.7045677030211,128.1384295792903,130.01435313486454,133.22552326848904,134.31129872559004,135.88767982333795,135.7188153740822,136.4070620547372,137.03970613504262,137.03935149029223,137.5611739954339,137.84417143902692,138.52070971876756,138.58323184140824,139.02308213296044,139.28377488790315,139.46017325144112,139.4908614685639,140.16380076547927,140.05361462856908,140.22072370994286,140.56786276455736,140.28505151333968,140.63804135628052,140.8529627660071,141.16423174300576,141.34584247572178,141.84345556322134
5,126.74946758033721,130.3971500702742,133.24131461079315,134.90992503784355,135.83238250292766,136.7420264719863,136.64288823935925,137.59698039761355,138.2665279150248,138.0725204645033,138.5000400446068,138.70342555846605,139.20352797258855,139.1642679484141,139.6346120388209,139.866354616498,139.98258627779745,140.05091756112378,140.46432684185805,140.4280438893731,140.6313860219136,140.89802990960393,140.7872508734478,141.14307741415135,141.1872644229194,141.53484699729128,141.8438281858328,143.466107600392
10,131.2940045461354,133.8503568227596,135.8371752182011,137.0595390356094,137.4084290601268,138.3610032535752,138.4980637170755,139.1614718988511,139.2038906952946,139.3580126909298,139.4987524545729,139.5723474750883,140.0774955654562,140.1276882460762,140.4040684400225,140.5667808615273,140.7188944688574,140.6074040609086,141.0370064847941,141.1451702731262,141.118162886499,141.3586678124991,141.4291800171613,141.6801316782532,141.7863193501332,142.6571761653622,143.4276012136184,143.61568534115708
25,138.31649733674075,138.1400087674355,139.90104282243175,140.12856578117174,140.17858711628375,140.5955743061655,140.61808828980625,140.92761179557874,140.85973535311675,141.07134478050176,141.21014691234976,141.0795721029485,141.708844540377,141.718906098053,141.717464624461,142.01199456134123,142.077334027189,141.91610806875826,142.13203047893225,142.54545513460852,142.5029983209325,142.72672356702526,143.28928907652073,143.473496417361,143.5918391058985,143.684058063556,143.75105594673852,143.79706639283677
75,147.98506572280024,146.670509879777,145.82720797309725,146.00672843589524,145.66181184119824,146.12531586070577,146.2623279213645,147.545989630002,147.2918036498375,147.56845179628,147.16980653544326,146.93207647322924,146.70693281995327,146.49962028985624,146.31669927419173,146.0520445184395,145.937264155604,145.69555622444477,145.61060052014025,145.46338195333226,145.21415090071676,145.09841238583874,144.88748017857648,144.77491779577576,144.6064665122415,144.46546849898826,144.31870197195775,144.15664625314676
90,151.91933754400128,155.05664307035175,156.7239504320417,156.3875476359798,153.12733323634222,153.0960454802073,151.32576864704552,151.0592876269895,150.250532517372,149.47084624791128,148.8990588249396,148.4927188164876,148.0437635942238,147.5399050615846,147.2342034138905,147.0726133041431,146.7164798748646,146.4229421678382,146.2709813913033,146.0906266597822,145.7794832541334,145.6260491705495,145.33318661750232,145.1754507749512,144.970509303493,144.7797858521994,144.5575066216876,144.3098780682062
