"","name"
"1","Xerospermophilus_tereticaudus"
"2","Odocoileus_virginianus"
"3","Sorex_vagrans"
"4","Neotoma_fuscipes"
"5","Dipodomys_venustus"
"6","Microdipodops_megacephalus"
"7","Sorex_pacificus"
"8","Urocyon_cinereoargenteus"
"9","Sorex_preblei"
"10","Mustela_frenata"
"11","Ursus_arctos"
"12","Onychomys_leucogaster"
"13","Reithrodontomys_raviventris"
"14","Taxidea_taxus"
"15","Lepus_townsendii"
"16","Neotamias_sonomae"
"17","Antilocapra_americana"
"18","Lasionycteris_noctivagans"
"19","Sorex_tenellus"
"20","Sorex_lyelli"
"21","Arborimus_pomo"
"22","Chaetodipus_spinatus"
"23","Myotis_lucifugus"
"24","Dipodomys_ingens"
"25","Neotamias_minimus"
"26","Myotis_californicus"
"27","Chaetodipus_rudinoris"
"28","Zapus_trinotatus"
"29","Sylvilagus_nuttallii"
"30","Peromyscus_eremicus"
"31","Macrotus_californicus"
"32","Lemmiscus_curtatus"
"33","Dipodomys_californicus"
"34","Ursus_americanus"
"35","Chaetodipus_fallax"
"36","Nyctinomops_femorosaccus"
"37","Natalus_mexicanus"
"38","Myotis_melanorhinus"
"39","Neotoma_cinerea"
"40","Ammospermophilus_nelsoni"
"41","Microtus_oregoni"
"42","Eumops_perotis"
"43","Ochotona_princeps"
"44","Ammospermophilus_leucurus"
"45","Aplodontia_rufa"
"46","Reithrodontomys_megalotis"
"47","Neotoma_macrotis"
"48","Ammospermophilus_harrisii"
"49","Neotamias_quadrimaculatus"
"50","Chaetodipus_penicillatus"
"51","Neotamias_panamintinus"
"52","Phenacomys_intermedius"
"53","Lepus_californicus"
"54","Dipodomys_microps"
"55","Ovis_canadensis"
"56","Sorex_trowbridgii"
"57","Dipodomys_nitratoides"
"58","Sigmodon_hispidus"
"59","Thomomys_talpoides"
"60","Sorex_monticola"
"61","Neotoma_devia"
"62","Chaetodipus_baileyi"
"63","Microdipodops_pallidus"
"64","Microtus_townsendii"
"65","Sorex_sonomae"
"66","Peromyscus_maniculatus"
"67","Neotamias_obscurus"
"68","Corynorhinus_townsendii"
"69","Chaetodipus_formosus"
"70","Peromyscus_californicus"
"71","Antrozous_pallidus"
"72","Dipodomys_simulans"
"73","Scapanus_townsendii"
"74","Neotamias_merriami"
"75","Neotamias_alpinus"
"76","Urocitellus_beldingi"
"77","Didelphis_virginiana"
"78","Arborimus_longicaudus"
"79","Neotoma_bryanti"
"80","Otospermophilus_beecheyi"
"81","Marmota_flaviventris"
"82","Chaetodipus_intermedius"
"83","Sciurus_griseus"
"84","Dipodomys_panamintinus"
"85","Sigmodon_arizonae"
"86","Perognathus_longimembris"
"87","Nyctinomops_macrotis"
"88","Cervus_canadensis"
"89","Neotamias_siskiyou"
"90","Neotamias_speciosus"
"91","Dipodomys_agilis"
"92","Dipodomys_merriami"
"93","Vulpes_macrotis"
"94","Microtus_longicaudus"
"95","Vulpes_vulpes"
"96","Onychomys_torridus"
"97","Myotis_evotis"
"98","Dipodomys_deserti"
"99","Sorex_bendirii"
"100","Martes_pennanti"
"101","Xerospermophilus_mohavensis"
"102","Myotis_occultus"
"103","Sorex_palustris"
"104","Eptesicus_fuscus"
"105","Mustela_erminea"
"106","Brachylagus_idahoensis"
"107","Otospermophilus_variegatus"
"108","Microtus_californicus"
"109","Microtus_montanus"
"110","Sciurus_niger"
"111","Scapanus_orarius"
"112","Lasiurus_blossevillii"
"113","Lasiurus_xanthinus"
"114","Perognathus_alticola"
"115","Arborimus_albipes"
"116","Urocitellus_canus"
"117","Lasiurus_cinereus"
"118","Sylvilagus_audubonii"
"119","Neotamias_senex"
"120","Peromyscus_crinitus"
"121","Lepus_americanus"
"122","Odocoileus_hemionus"
"123","Thomomys_townsendii"
"124","Procyon_lotor"
"125","Scapanus_latimanus"
"126","Chaetodipus_californicus"
"127","Lynx_rufus"
"128","Clethrionomys_californicus"
"129","Dipodomys_stephensi"
"130","Peromyscus_fraterculus"
"131","Euderma_maculatum"
"132","Gulo_gulo"
"133","Thomomys_mazama"
"134","Neotoma_lepida"
"135","Zapus_princeps"
"136","Tamiasciurus_douglasii"
"137","Callospermophilus_lateralis"
"138","Neotoma_albigula"
"139","Myotis_thysanodes"
"140","Thomomys_monticola"
"141","Neotamias_umbrinus"
"142","Tadarida_brasiliensis"
"143","Canis_latrans"
"144","Thomomys_bottae"
"145","Parastrellus_hesperus"
"146","Urocyon_littoralis"
"147","Neotamias_amoenus"
"148","Glaucomys_sabrinus"
"149","Bassariscus_astutus"
"150","Mephitis_mephitis"
"151","Neurotrichus_gibbsii"
"152","Peromyscus_boylii"
"153","Sciurus_carolinensis"
"154","Peromyscus_truei"
"155","Sorex_merriami"
"156","Sorex_ornatus"
"157","Martes_americana"
"158","Mus_musculus"
"159","Perognathus_inornatus"
"160","Choeronycteris_mexicana"
"161","Spilogale_gracilis"
"162","Notiosorex_crawfordi"
"163","Myotis_volans"
"164","Neotamias_ochrogenys"
"165","Myotis_yumanensis"
"166","Erethizon_dorsatum"
"167","Dipodomys_heermanni"
"168","Sylvilagus_bachmani"
"169","Urocitellus_mollis"
"170","Dipodomys_ordii"
"171","Puma_concolor"
"172","Perognathus_parvus"
