,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70
0.5,37.49219474696053,34.26025359096415,29.84730617620639,28.952851015625438,27.17024896545627,26.519030563573757,25.454672856531644,24.456304993366114,22.79390539940831,22.70127447182491,22.027895220952423,22.104108125839122,23.14327323147311
1,39.81268137753454,36.35116829981794,31.860525343574057,30.813483460662283,28.206831863154555,27.703478670771663,25.98034174479512,25.11653267499154,24.49575536581985,23.16968509011768,22.938077366431454,22.3566844607971,23.273615404597795
1.5,42.31471181317509,37.61858272518113,34.6440595448495,31.435108868209777,29.949635456021916,28.145520439080315,26.95473375784122,25.82989104520098,24.762464930729696,23.811461141354986,23.60189434141724,22.596418590276397,23.398278686356715
2,43.25830842449932,39.22363975465094,35.80016878144396,32.037880286791236,31.462222543029025,28.794332380728815,27.32137973488058,26.139611869659007,25.055794122770013,24.440193359321036,24.001253700330796,23.352806369752447,23.49255766128727
2.5,44.53712830506605,40.599687768202585,36.11908536988647,32.93500624768217,31.905347592617204,29.6404123582878,27.82908060634173,26.645173676346676,25.652882270132675,24.81252900277371,24.35298028916879,23.54665769250658,23.680876426601106
5,52.7463401935958,45.0641733070755,39.00131298783379,35.979156382770626,33.78586156915856,31.311972807177987,29.182877984623648,28.2721778920393,27.10595658467305,26.25027333134747,25.813637946449248,24.463499927403667,24.581566057948073
10,57.950491600377,48.9943751269153,42.15494497422685,39.274290539348804,35.866518705740674,33.59206835450953,30.895462435652483,30.39575558144193,28.64652389618952,27.60736844636291,27.47592729482998,25.84647754350987,26.2349933300235
25,68.2747747856905,56.060354952925074,49.064175475190524,43.8189206313444,40.2981784581027,37.686772202022574,34.5267363638034,33.20420104436337,31.7968820415094,30.1713533313208,29.704763270453448,28.140887329045373,27.487595569895873
75,94.3201577790575,75.25574455327535,63.869775625674976,57.2328701704895,52.259907283305594,48.0603399845849,43.564564338815124,40.8083802695067,37.8983432292655,35.52207771893798,33.596837139719604,31.2887144242634,29.259617298161725
90,105.57790891532301,85.48545715223827,71.461823723913,63.5527642450683,57.12360886718933,52.395185704726984,47.41304029439728,43.69263183012233,40.3235540053743,37.34485168090553,35.119946865058324,32.37140201382098,30.01930276297134
97.5,119.84156863498232,96.28060450869164,77.88503930765222,70.92389349236728,62.529798078018885,56.14542920061156,50.814283156887285,46.369821072156455,42.5416074437593,39.43214674794979,36.686158098481876,33.61866316227493,30.87850477507461
98,120.49742630066501,99.08425848091868,80.3226035101215,71.81945561681138,63.20693186936841,57.49552296733153,51.32363026627307,46.533894661225936,43.05282192672401,39.625908771047904,36.846395343149155,33.71696864800666,30.97857504110613
98.5,124.22615626465597,101.17342088380076,82.52526880910267,72.9080738060185,64.12978488104119,58.14396511591866,51.90421500142808,47.219422884969156,43.61944880444719,39.78038070902892,36.94972664308468,33.81453489730673,31.273555167539282
99,127.41862923120293,103.44874487883834,84.6858562647394,74.20226749996633,64.6754146092322,59.1309050569353,52.55250200928799,47.5533349488646,44.212717182462896,40.12811478607846,37.35980010438527,34.226413429363305,31.516948950845023
99.5,130.63457962840388,105.94687006967013,87.23784736863131,77.92098849819638,65.69742805653249,60.547568761988764,53.59230788873879,48.72390458984021,45.04325059932751,41.519043423315736,37.80015214490182,34.437093337757204,31.892332761396304
Median,80.84019429353,65.23972483713865,56.6167257397185,50.02175461271075,46.3304689942547,42.747386271142744,38.8947996011995,37.2091362880331,34.756795103931694,33.25184409340335,31.79592617445445,29.9804327390973,28.3451230441337
Mean,81.57289903578541,66.27070625811209,56.836130103532895,50.654456115454074,46.473716186534574,42.845771254163516,39.07251055757816,37.0172719337863,34.67342549456755,32.760004391777706,31.47368301765841,29.542586304805642,28.210280371097454
