,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90
0.5,31.954406213733208,32.262787409015345,29.945164372427566,27.737609747445855,26.925621228447554,23.91496586631417,22.837604770696636,23.031242303288543,22.010038254580426,22.17686054751325,21.55584120541559,21.711235202461538,21.35910055860573,21.917552445186306,21.79661382795285,22.25320058538974,22.9957454284906
1,40.2070579116396,34.545910944668165,30.857328102393637,28.750341792422518,28.122532994833715,25.69728334953366,24.733252759356045,24.004248242043122,22.6817145116367,22.822533479800494,22.0360237097218,22.100955664271186,22.140729895681417,22.228373875769762,22.409224987873706,22.511136538998738,23.24678295277972
1.5,41.743674371102365,36.38037911604429,32.338648944365524,30.89980177715086,28.623335452652974,26.035753929621382,25.82937702761949,24.74274763643941,23.69528772422859,23.073607239098536,22.7411799778005,22.582531346235644,22.610250118413354,22.610798796622714,22.552135543144875,22.680294206392322,23.2493186853483
2,44.42961426335644,38.336133029718816,33.09058552877343,31.425532315902544,28.87687134595308,26.44445887386235,26.169613811499975,25.016949443395614,24.044182252423614,23.60959912295764,23.139720799778317,22.824695521773492,22.89474425820689,23.055260069928888,22.760384028917507,22.77143677790987,23.2493186853483
2.5,45.668728459346475,39.266445666302566,33.76969938257561,32.49003260542322,29.44015397630411,26.89072622220568,26.378806634296406,25.152029882328268,24.229073777733582,24.190864188329005,23.450570739811,23.03218727116157,23.2015251500194,23.145911623600952,22.88437185542144,22.873097492256015,23.3310274277028
5,49.0040743338155,42.39512103338597,36.889546765926106,33.95724882640234,30.7894974555719,28.5163832818733,27.653573628905665,26.604237316491925,25.63385746837133,24.84746759583561,24.6497795572687,23.785795748198623,23.832495187539855,23.678190888600444,23.336595460970052,23.279741454085705,23.794179147665
10,54.723015998414,46.18930754744264,39.6444585054399,36.20255275373971,33.01608236568351,30.07666421941472,28.92504134518368,27.86615932242854,26.766319492670302,25.996906801407548,25.58182841807227,24.69001001647674,24.589933937588352,24.29556098662172,23.930956764695182,23.80991238966083,24.2410936560606
25,65.94027458056075,52.94963228236685,45.087749675493754,40.068179754237924,36.594286445529576,33.672954441225755,31.926358229734326,30.344910848281575,29.075013958232148,27.996289605280573,27.135223887530003,26.22804068417915,25.8290069008147,25.445132156239474,24.832095563605577,24.5133234831087,24.4306311571361
75,89.00231436083195,69.33221819499725,57.13705525777998,49.40633758642667,45.0232937116522,40.81080722967083,38.078850372358204,35.764779948765224,33.759633913649296,32.326652954702446,30.723281263645653,29.76096782169805,28.658424341366175,27.822534150158674,26.74952494687725,25.7856722431058,24.694734654568077
90,98.24336021291418,75.62504450329746,62.57438543071254,54.131591007175594,48.40328011802373,44.199678163087285,40.871839026759,37.952627149194335,35.4498579029658,33.92440815878756,32.25060220836308,30.967387567160202,29.79643470440122,28.785590884118438,27.46532311729224,26.24994140160298,24.9704386222672
97.5,110.43294000619137,83.31146707678815,69.30823593437579,59.203464918657104,51.721533318956446,47.95658001472919,43.787333579108505,40.40578596288062,37.61503763613209,35.633804376530954,33.772784168049256,32.4990317473557,30.841401137658984,29.57114659543004,28.290355432047,26.890981523289916,25.2653614787517
98,111.40156810712833,83.56618104378411,70.12168424964443,60.1911427982991,52.34478927530435,48.43620855363001,43.94982212368911,40.612076282259004,38.318376882802234,35.76179949958996,34.038491159075846,32.67664157408716,30.90259817717667,29.631184832150993,28.385272744536913,26.945838507386178,25.4495805661339
98.5,115.14725626660116,85.23529878146385,70.52428498787282,60.864195358389836,52.67382150885741,48.92907567781436,44.356748692495486,40.90778919161993,38.81284863845037,36.220313138047096,34.24717250752922,32.93832974518487,31.15534735137514,29.802858491588765,28.463137157989273,26.9896558021094,25.4495805661339
99,118.42032572481305,87.13274559430721,70.9472340125326,61.46410091236838,54.11064858194766,49.51468630321499,45.021465032301926,41.53239727831043,38.994686667516085,36.76877644286748,34.483148571785755,33.30529411958408,31.283375752606325,30.105882855568137,28.683537708338477,27.04355784421288,25.4495805668461
99.5,120.00466098597089,89.03398829387964,72.16630187776721,64.25897809082807,55.74940372566149,50.85822367255088,46.27297642604538,42.190525692856454,39.33157121598727,37.72633030867187,34.88135697255042,33.523525652827736,31.694825948878712,30.42668006648082,28.962123133487886,27.103927273287006,25.4495805668461
Median,77.7139851927065,61.4848188657766,51.42470014466695,44.254401571546055,40.98374987491745,37.339412183446996,34.81574671453825,32.841038100540445,31.4571847726413,30.08787851069965,28.90857663939105,28.0831862543794,27.26574895650435,26.6512855111881,25.8665614182838,25.2801093784294,24.5925903808472
Mean,77.52021673127005,61.03301041543372,51.18515536360901,44.750517587261086,40.757255208940045,37.313415464512424,34.97812082913278,32.944519620105616,31.317485704150144,30.05180746438337,28.89864739684285,27.961844910226805,27.19382572110898,26.582031557424393,25.771743445355124,25.129888510928758,24.555252440695067
