,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90
0.5,122.89914693758526,129.90906633894156,134.60933241517418,136.83771145099084,136.72984292273773,136.7180673829179,138.65481861228238,139.70923824879725,140.0949528726014,140.65937478801743,141.36142157330326,141.69165878608473,141.98777871748138,142.1648812857356,142.4533781825732,142.92286713330765,143.403869428672
1,125.02064217553767,132.02901856006878,135.47435147999033,137.58601050735214,137.9783599770103,137.99948573209554,139.11226620884523,140.0317308974428,140.5411809654433,140.8702440018928,141.50652650154802,141.85605198813968,142.13611129752388,142.3506735592386,142.72560790635333,142.96781295137893,143.500383639532
1.5,127.5957876419928,132.7654599975763,135.6588847606956,138.26542941471197,138.45056734527358,138.79126660595972,139.50718459471,140.2567844677621,140.76933767219654,141.04198748947542,141.66223834537197,141.96646454355644,142.25649359321596,142.38036704578107,142.78781080593842,143.04084389706276,143.500383639532
2,128.73168967001277,133.35519847449248,136.0655057855,138.60919247035324,138.7746121758301,139.51993157900614,139.74947104815604,140.47262302347488,140.9332003770722,141.1499660819615,141.81072810573485,142.0570688226699,142.3304881704653,142.46412799473586,142.82183216997512,143.08462875879056,143.547881688236
2.5,129.95748893108734,134.3474872642119,136.78471611348294,138.88691191249274,139.0512585219877,139.67253501217854,139.99175864667342,140.74036585830697,141.11588429945633,141.37325155107828,141.92350384318422,142.12600778183895,142.3846034413444,142.52023669049586,142.90373613448,143.14392199825,143.547881688236
5,132.83952227408656,136.73814254331126,138.22348954505276,139.6727093028402,139.8040659567246,140.4303113936144,140.9099998623598,141.36063266188427,141.55342497747202,141.81756436143527,142.26463060473205,142.3949526396623,142.6044505179328,142.78590450941215,143.03822319580354,143.2784609765494,143.551996130664
10,135.7926055325687,138.83247218441699,139.5632913349335,140.6849932734971,140.7248396935043,141.23639463573352,141.7388859954199,142.02600857336068,142.2696339804395,142.4348974824476,142.5284603930363,142.69774375977238,142.8618776895097,143.016448672884,143.2272504776488,143.3764153590509,143.559396025778
25,140.79998825049424,141.5402425417525,142.03804506339125,142.38337502953974,142.31319269203826,142.73599620032724,142.89146389698502,142.95531782667075,143.11087035025048,143.09600284252573,143.198666729563,143.3254808769335,143.28920788820076,143.43917215393049,143.49645192654125,143.58656019072674,143.739568784756
75,148.13540102407825,146.717267077975,146.03885514213374,145.77358866557475,145.1447433717115,145.03048182716674,144.9170636348495,144.758928976611,144.6204787100485,144.52143119931299,144.49626015040175,144.37413540890927,144.2548846635745,144.218467498294,144.101325507616,144.029320710718,143.906028478365
90,150.7042351280752,148.29736611241128,147.4109220720463,146.8270919118065,146.24562825315218,145.9643583859874,145.6868348203811,145.4969702048745,145.2320889495583,145.0209827761847,144.9785222852863,144.84323841524238,144.5795575999374,144.57955508196468,144.312853397151,144.1954561770118,143.936030779085
97.5,152.7430469983453,149.89926932167495,148.63120267704497,147.77398491556866,147.19194261176628,146.65984232977763,146.48224017962357,146.10430793510045,145.82469637615745,145.61852012901932,145.4043442212333,145.21910444143677,144.9939251371537,144.83255208434704,144.59546872786666,144.36439441512243,143.956442492052
98,153.07990150607932,150.00483217505507,148.76462898538995,147.84969818667977,147.35783318926764,146.75326744461898,146.529433666555,146.27370933814095,145.89631375174238,145.68804480387158,145.5045116572972,145.23301145702112,145.0175848889496,144.87202354659254,144.62400853538298,144.37684106408906,143.956442492052
98.5,153.422351994546,150.20144507498375,148.95953355645892,147.92459845370166,147.61809078594308,146.89810911928728,146.67432054841075,146.29033942728037,145.93615783637276,145.8354679712173,145.56767738257363,145.29257728725602,145.07836099555752,144.8901628400211,144.6469289927197,144.40888752436797,143.956899832988
99,153.74384829530928,150.4024141666649,149.19287051197588,148.21680078594946,147.8474595834358,147.23626583762055,146.86245255747698,146.44475697488758,146.0715469467942,145.90612064471227,145.6775994870754,145.37216437036741,145.16548509022496,144.94939422750306,144.66104238459164,144.43554607797464,143.956899832988
99.5,154.39625730941466,150.75459120158396,149.56247415153408,148.30995715161978,148.01955039945787,147.36271169587292,146.97771709075752,146.6580009251168,146.21765198549033,146.0669766845636,145.81971545973462,145.5988363396776,145.2631052570925,145.06814196578796,144.74169088974665,144.46818038407721,143.956899848495
Median,144.73520903239,144.2326487722805,144.195252071259,144.1627347428805,143.86494740665,143.965556742448,143.9774576233125,143.874933539917,143.9443489216965,143.8719735208855,143.88441410786947,143.8672267887835,143.78942625633852,143.83980639039748,143.7813190530805,143.819775657296,143.806503224113
Mean,143.86522367199208,143.72960514304745,143.84057427658746,143.94115678745834,143.64382035627423,143.76255486698503,143.79769525493379,143.80424295091453,143.80921599176014,143.7708574246861,143.81567575797865,143.81967688714596,143.75384346006751,143.80701643449405,143.7752853045601,143.80213647448858,143.7974039439144
