,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90
0.5,394.706058253719,568.933961491574,687.2572595566099,822.9926473170716,918.452873046087,1000.6224438596255,1079.4187683566652,1181.593250865177,1243.837521823519,1337.800724689042,1421.5335990039162,1484.0056255251861,1567.7349117638269,1639.106891189476,1706.61028844926,1809.372747414019,1909.6103443815
1,408.04159325708196,578.215227948028,703.145774819457,832.658325090792,926.536509260343,1012.588526525882,1104.890054531271,1206.073610621538,1267.384977591652,1349.440842362152,1435.500555020948,1502.019763654286,1583.2146990308981,1646.0244496963878,1727.658833075588,1815.18981775648,1909.6103443815
1.5,419.2116117884135,592.2082088972825,720.9809711732224,838.818532933466,939.4394207856725,1016.8472986460649,1107.3652976681724,1209.620279796623,1277.1255183861715,1357.2871665811397,1443.512495541487,1507.1363341435365,1589.401341092826,1655.4227482802999,1736.4006212222698,1823.2000199985048,1909.6103443815
2,431.961353581926,595.7865561630081,729.840831763716,846.252752408736,946.1273838675461,1036.608411003422,1119.670251297312,1211.273044410128,1286.2908356012701,1360.1256234676,1450.28703640984,1518.231116739764,1596.29398627618,1659.72581607306,1740.512669775828,1825.2440955675402,1921.0211401615
2.5,436.084881001015,601.0291384597275,734.6105059342525,848.91989646713,949.3924887876925,1042.059395012795,1123.270141267695,1216.1523535416827,1292.0131196813,1364.77992978368,1455.126521760785,1523.2222617623052,1600.99823476503,1670.345004951975,1744.92857360335,1827.422837210255,1921.0211401615
5,451.19474410573997,617.3027013088799,751.5305916152,864.587574001915,967.195446366445,1065.2205014994151,1145.27618336526,1236.488865379515,1316.70711001692,1388.31873956508,1474.9257175722298,1541.46478468029,1622.1358050453,1695.66864984358,1770.05218435606,1844.18451772765,1933.1727044715
10,471.58662825787997,641.62094402802,774.46006057663,886.06129663209,992.6146661410401,1083.83661196453,1171.6207635529001,1262.0572903194,1345.79589714576,1419.8601472115402,1497.4161517034001,1562.0272215116001,1649.78796875484,1713.58197332464,1787.4789097811001,1860.4733035320999,1964.0613218515
25,509.17662743982504,679.7443142920249,809.647142256625,927.301969418575,1032.383494086625,1127.336518787275,1215.40430962875,1301.533666818375,1387.208175789475,1456.36318605705,1536.10862333585,1603.69334081965,1684.3924919746,1751.5480698054498,1818.71645605925,1889.01475818795,1972.8238466815
75,587.396104169075,764.117047845925,894.8443579158,1019.020644230075,1122.186404738075,1224.485524370025,1308.736210627,1391.08043411855,1476.8855526986752,1549.286400092,1623.731369442,1690.1822652568499,1760.0249376943,1819.8230073924,1881.60067729185,1939.17824633435,1980.99740736075
90,613.85774393742,794.4897587684301,934.23535361223,1063.5446803167101,1163.86949300059,1260.02905630154,1347.7400229132,1438.5880785006,1513.5793250988,1588.0566289240298,1658.84026477862,1723.2651488387,1788.2938605871,1847.33472523096,1901.09115246168,1948.15519874016,1984.6058395125
97.5,646.308959526085,832.3492431281875,973.209591001385,1099.1881875921051,1216.309193767815,1304.5334057107375,1393.7512116298149,1474.1444916010148,1555.329425949115,1623.771000474185,1690.8087164678775,1757.39309639197,1815.9324718630648,1868.7179502275399,1917.056519046975,1955.7484490783502,1984.9869680983
98,650.345882481886,833.4656239867539,974.468975292074,1104.83406278804,1217.234588496696,1312.047189590564,1396.5449643957159,1479.799565219042,1561.828206376102,1627.004023884956,1695.43750686833,1762.073465162376,1822.02945814786,1871.290393837592,1919.77814444142,1956.559982233328,1984.9869680983
98.5,657.8647166185054,839.8901267548711,980.764908852289,1112.4468378622014,1227.3242902112945,1316.4766876316849,1405.854401620024,1491.307841437492,1565.3505742862235,1633.262349581925,1701.5059967758318,1768.0627084823925,1828.5517900507598,1874.062426311778,1922.267952970506,1957.3609624449398,1985.0702741779
99,666.438467874238,845.5253274536129,987.82612928362,1120.367229494715,1235.862973341412,1323.920783029701,1410.927364121876,1502.712459935719,1572.26370215675,1645.078941419234,1709.910588304675,1775.247585600272,1834.208704113049,1880.282176448753,1924.9851380718321,1959.2363911847679,1985.0702741779
99.5,682.996509578544,857.6012587666405,1007.2213588929105,1136.8677668942767,1260.6579933967835,1336.3038453628842,1417.686478508913,1524.309945632139,1583.474400525215,1656.375107368246,1719.869640475712,1782.2977083351145,1842.3163930870398,1883.132822060311,1927.896264050527,1960.403537075664,1985.0702741779
Median,549.1924606939,721.8306559681,854.70644950835,972.87445427185,1079.458573082,1173.3986825191,1266.3477894625498,1346.3888542545,1431.7580208169502,1503.3276552288,1578.9588724038,1648.4992357974002,1722.3616889757,1786.17087731135,1853.0150250934,1920.670756468,1978.9945847695
Mean,546.7000326739259,719.9133398520657,853.4189639508692,973.5718152603192,1079.2486734523816,1174.1360004954777,1261.6701784475483,1347.403789415429,1430.7122464334393,1502.1487616593083,1578.7151121733875,1645.6823881164673,1719.8802778558506,1782.795169736269,1847.2574037308827,1911.466228983344,1973.367153779753
