,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80
0.5,37.42574872493607,30.791549228901207,28.596842652921833,25.585277335639475,26.512069428463334,24.978950497055347,24.811917200710045,24.52729693749922,23.564241200221247,22.291726766044594,22.318659137955528,21.46310636606351,22.13349686067464,21.531347208009088,22.102489219919622
1,39.23619454205548,32.878729668107326,30.165411209076087,27.121019230616636,28.492399842133064,26.25337450266629,25.319493612345333,25.498326434443687,24.134900401638568,22.77746178755893,23.37785462909305,22.2039532216163,22.33821083059653,22.29572199068875,22.266453334906974
1.5,40.76403337916207,34.436793148692736,31.579302006547657,28.29270419498008,28.93374026887367,26.85345832059707,26.026119424196846,25.85081580274676,24.799517191148936,23.8559957207873,23.701547763639724,22.565318404120426,22.640498854740112,22.414611829342263,22.58334835960837
2,42.56544930825688,35.523627946737975,32.4963524054606,29.01554981655069,29.225668080768646,27.745191071621246,26.49906916049145,26.487339242537413,25.18408406539504,24.223901976104504,23.865231099145095,23.22333410606273,22.825176863493578,22.644567930236654,22.814515228557678
2.5,42.8821408412656,36.507041601461964,33.16991507160532,29.869668754942168,29.721786014654935,28.07234925495818,27.10878871224712,27.02840894640825,25.50033547086231,24.39194240512152,24.256543641445553,23.4487379141734,23.171534842057717,22.769833189139938,22.961141138640652
5,48.04376130986595,38.9979997620814,36.41272934998218,32.940849139616944,31.15358844450838,29.423557198450997,28.427646966144913,27.81210915911548,26.634229629917,25.484071553339092,24.9496531427289,24.172612430259832,23.78742009524883,23.45355510025639,23.308418172149995
10,52.0109262838836,42.96235113435267,39.00165783834131,35.452495159537285,33.444006914714365,31.675733469377,30.12436272289352,29.09383646933952,27.75890163819908,26.75374066327669,26.06574395131666,25.25972132600394,24.422307225554558,24.020617081470128,23.70646995392689
25,61.48707611405,49.75712210323718,44.1279971505927,39.4545518350563,37.2561881729712,34.92070063549935,33.071572913349854,31.543575560749723,29.58704744650875,28.635625476874,27.535883617644327,26.7235443672348,25.495344306538524,24.872415443191777,24.498810533023125
75,82.719342000397,65.92115874483112,56.09508613373387,49.618144639983676,45.286111664606054,42.3962231010365,39.48461867133328,37.045946690000775,34.363060617924496,32.793803652718196,31.13078841613875,29.72593134156605,28.227701156068548,26.690254158837398,25.603109023363725
90,93.2531281786437,72.93397189038805,61.97622851933035,54.2992720088467,49.492281277887436,45.587181206881134,42.15294766627619,39.61510478623541,36.39093291301578,34.3516690689843,32.822886544561214,31.24041172713949,29.27876819252943,27.61629020155987,26.12286348931625
97.5,104.97005283644499,79.6574105302049,68.07819734890899,58.83217017816884,52.77219620833351,48.61893357256772,44.99366058097125,42.26847658194948,38.78972821562801,36.87696144499108,34.527418735780394,32.68838853102634,30.510068095630636,28.71867578370466,26.655852439411603
98,106.67426176479333,80.8160291738708,69.25499923020787,59.471305575031984,53.16500990633712,49.000083243708204,45.446439424055846,42.646226824842664,39.17029243741995,37.16313980128106,34.65379101605281,32.827029772347586,30.691120062573084,28.799427152051194,26.84487553871695
98.5,107.7011238772654,81.64114749012401,69.90133276809252,60.76396984230186,53.56373757075259,49.655614218226425,45.59350938053608,42.88769729645152,39.60018220050855,37.50602864990785,34.92964723203776,32.9344923990363,30.81140165673402,29.124037546028948,26.918874865621216
99,110.7477439106083,83.14350866430419,72.63307394852652,61.27966959782581,54.8531583724913,50.58807738112539,45.99197593017976,43.50506248898668,40.09484327441526,38.032342204104985,35.49587843313748,33.35162413043242,31.28344416972851,29.310823350854612,27.01407410647228
99.5,113.33600221503669,84.86063853465548,73.56101192221881,63.387974213187825,56.57000031938354,51.06391402183498,46.78799657086603,44.380452886981196,41.173459008188246,38.72637781230363,36.41448028128979,33.51298261542707,31.49466026640557,29.592412754702295,27.1180030702869
Median,71.962411803971,57.80645192454335,50.2794280279305,44.698587015297804,41.12444800596015,38.46596930419185,36.4251476831463,34.3473888377035,32.0239575544237,30.6727721997369,29.4706352142583,28.288904885288147,26.98617227372335,25.80137794697395,25.007665038472098
Mean,72.41570882398649,57.8611115613832,50.31736523222895,44.63346939983117,41.30588295801316,38.549484860476966,36.23195946751998,34.367293032572356,32.039515716098514,30.67930358078909,29.382607571147723,28.214790287577124,26.872538922703303,25.796537373558305,24.969003929789825
