,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80
0.5,114.94552068287405,126.04349208828714,128.12657114521096,132.0801007381457,133.42506642730226,134.9214588608949,135.8146190928,136.27269144871374,137.16840038138108,137.6344074403178,138.54329621289384,138.65447577293816,138.95923358231656,139.64729167347642,140.03526526503367
1,120.01659195090048,128.25884970503384,130.08990789090205,133.49461700439798,134.73930324335797,135.6207491353047,136.07222317719825,137.0020262252534,137.47762697056504,138.1400197989213,138.7048226846845,138.98657080114958,139.1554001497841,139.72608808775735,140.1254238647663
1.5,121.60216401184339,129.87122725677315,130.64679462387835,134.55462872418778,135.15535036618311,136.16669298938936,136.56340726718105,137.39061362783045,137.7916849107804,138.3614362331558,138.7485706800836,139.120929951982,139.417031738855,139.77658254807847,140.2207756592059
2,123.87480264041113,130.8570411145114,131.34103611123524,134.79435412141396,135.5129995188668,136.45171262222934,136.9820666605604,137.65825315846666,137.90848037327146,138.4523070950784,138.83941262696922,139.18570513384634,139.52990407318117,139.82182782965998,140.27257752093766
2.5,124.36641410813318,131.44579821078412,132.26765576354745,135.0302910028586,135.82405957185804,136.61532959501653,137.1957217408406,137.8232951319208,138.16086135801177,138.610287410448,138.9194243763185,139.28439811606884,139.58989171071715,139.89155041177764,140.3282374608179
5,127.5455998221642,133.14971118558844,134.3687086941846,136.20817952841838,137.04093982371444,137.34646589438586,137.75343522825398,138.5218546524764,138.6902439079793,139.05325778718793,139.33014601791595,139.7175263916217,139.8628101964438,140.14094846299392,140.47683217652343
10,131.96111315816808,135.21650913866472,136.096860091814,137.4753674208726,138.03866596450212,138.4308405469853,138.7390332900051,139.1033286042281,139.4066115929067,139.5666270372221,139.7319172419426,140.0584979592388,140.1499232915352,140.3976147971746,140.6676875023122
25,137.67581165282377,138.64474000882976,138.973112624271,139.64588114060928,139.8189018996105,140.00722310571726,139.990578127026,140.174061118297,140.26524440832375,140.38584782878127,140.4981774116545,140.61997500978126,140.672389189073,140.77775892787176,140.9188317559055
75,145.929397522165,144.481485126373,143.40427022246024,143.269460011163,142.8723373917635,142.809918202908,142.5267932917385,142.3137248665825,142.15216515116975,142.04698717223,141.8778665269665,141.75886155378424,141.68833680967123,141.54246690632948,141.4091945085815
90,149.2560857138174,146.5320436360646,145.350800498885,144.7723547116883,144.1364996759358,143.77750088464992,143.3675273423544,143.1358719663389,142.8327417505558,142.6044494269848,142.4372814174681,142.3110729339883,142.05761056842633,141.8316392202873,141.5692588462833
97.5,151.69958958260298,148.58202726960292,147.030289669337,146.30236993121932,145.27498690104738,144.98660530655692,144.24701125849867,143.93408034003843,143.5853638498589,143.2669055409577,142.98156386802722,142.77737676257917,142.39162344378045,142.09821917869982,141.70513496878613
98,151.93567869011116,148.9904035876,147.23895424262054,146.510822568196,145.3951721359108,145.11382749479156,144.36309236879566,144.03509582092488,143.65477903015943,143.34457830669487,143.02865880616864,142.81222385605133,142.43908044840765,142.123638102733,141.7138945104264
98.5,152.29419754542027,149.1623897548972,147.49070481204913,146.82207056288362,145.6166338640401,145.21909995925716,144.61635650142992,144.18610675570304,143.70908666204082,143.3890589618865,143.122371928327,142.85875642251904,142.4697538798872,142.1396043700196,141.72359031638132
99,152.76864335672232,149.47551733364685,147.78817441110323,147.24667586073747,145.9067611997851,145.4412585920794,144.88867502483612,144.34013651136806,143.8309482694314,143.46969503945985,143.20229537135523,142.97692773526117,142.51859777209353,142.19848930554025,141.73560994047546
99.5,153.9837808818229,150.0192360751352,148.26928781552772,147.66034856691522,146.2602817722038,145.63081679579855,145.10390841558527,144.5987375460176,144.06254722134784,143.63636872332395,143.3650525636422,143.18279345562163,142.62874442830906,142.27444425386815,141.7798605121708
Median,142.0767509267225,141.832668654582,141.32269995100148,141.430643532723,141.34555768113648,141.40771627920049,141.4412060571155,141.30841947316048,141.2502919102095,141.227884422855,141.282779313898,141.18273236388552,141.22263240526752,141.18043431941499,141.172966729459
Mean,141.07575277510136,141.27588346269576,140.97808885738604,141.28706834117952,141.18048888189787,141.25463714971278,141.19574394402625,141.18006964400755,141.15023329547327,141.15796046369985,141.16948874732742,141.1692202467589,141.14891004053388,141.13802625595162,141.13849849273456
