,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75
0.5,35.940101077619175,33.56401673290547,30.96019168487097,28.606206259177608,28.446690439896695,25.729654040421472,25.503891303894594,24.948899097830502,25.067437726263783,23.840120527242675,23.504294112919915,23.501870232749848,23.924525711150277,24.338074341297173
1,38.99402820596153,35.061223226668986,33.88869269435081,29.65626296705034,29.393945480938918,27.068785850556537,26.357463235576592,25.637405409217138,25.74345989764026,24.883318581325636,24.466641961562626,24.32223164057716,24.653411219449115,24.61445257752351
1.5,41.37631091920971,37.78062127094345,34.52571763511707,31.162633541750694,29.845225453994,27.865503485309162,26.987271174237993,26.11922679710387,26.211712002190744,25.368090938027148,24.85772893690023,24.617983383067724,24.86102408010507,24.643884440980962
2,44.48063632980632,38.56615582814162,34.84651440646489,31.943946809579263,30.53767304258241,28.959301622294756,27.25849213317904,26.464618554421236,26.487169782758624,25.514527342279713,24.93841264347941,24.824690957551987,25.14258815736967,24.767990711512567
2.5,46.069407571121474,39.628559591774255,35.74128169162272,32.50635397171999,30.897137876700906,29.227180369625508,27.659018582140167,26.6230463152881,26.975388061249955,25.6981889563297,25.09616568733709,24.922803923049955,25.357079703261657,24.976148188846306
5,50.035689427707304,43.5123190743259,39.462246392204904,34.8700485989876,32.83495853538912,30.927536341028596,29.121045334482066,28.591969505740433,27.93580117090399,27.219424059105666,25.92600464016599,25.97011767429555,26.024931314894133,26.57598602142663
10,56.5615451568233,48.37830180333732,42.22181376389065,38.08666010000696,35.16632983799256,33.2070623551092,31.00044100999445,30.19503280916945,29.3860370035976,28.50100164006511,27.71049523303816,27.53247981479022,27.12551639943182,27.41131198977984
25,66.932336873126,56.11232412400685,47.87404389633625,42.9653909203139,39.94191860707673,36.85101234498292,34.31824205013165,33.28852482881625,32.3543985205836,31.3302417615293,30.204745897443523,29.65736084740875,28.90051203956305,28.2963979181979
75,93.14960962774646,75.40530863414845,62.247205628308855,55.86394500349398,51.15771348677367,47.00439842344325,42.76659806212235,40.302066781167696,38.3111755072529,36.474517177257326,34.304975717859925,32.9081830892275,31.16974296269915,29.412018137470177
90,107.4392570427287,84.76418723198584,69.79800474190444,62.27781975393522,56.78983918018169,51.88218680160273,46.36436950471534,43.30508185091088,40.66719177722472,38.14137890970679,35.86161828888844,34.06845875925678,31.94378911941797,29.907796686624962
97.5,122.41441319284216,96.31851731511338,78.41696667098408,69.05419100886878,61.35967813674493,55.28278040863265,50.19036936308175,46.407970960497146,42.50531335088072,40.16350670823574,37.087636453599536,35.079795476072746,32.81511325647385,30.420116022401533
98,123.61157418847523,99.16865362450882,79.09355171515175,69.34090546218245,61.5606195205026,55.81376920820693,50.509633662434986,46.80227299619037,42.75629217228832,40.47515233556256,37.23904275960953,35.2619609674856,32.90786073266863,30.5395248557123
98.5,128.43788823923666,100.39880343857666,80.31451162516578,70.77217925245301,62.52358743400509,56.31212166917701,51.27165007454996,47.07297868533481,43.24896278539257,40.83701472499995,37.39345888518448,35.50348470125865,33.00892068863609,30.56572484165993
99,132.5548112377474,103.09242529600087,81.00168439055739,71.40302849286387,63.87815357323581,56.60660088352052,51.8110227610217,47.81951331399307,43.7602246744491,41.116124278651206,37.61839681848671,35.66332266901306,33.114732239311664,30.631340210504696
99.5,136.62843602808934,108.26350706873986,83.45867271594462,74.10990059073906,65.34599869699562,58.33590576806163,52.96722791114263,48.907264991761956,44.09968197396302,41.938560313653184,38.07324103482989,36.15587024101199,33.217945633729656,30.757119333549536
Median,79.5502475525349,66.025318187425,54.7291455797711,49.49363946954775,45.163016506295,41.6486571289928,38.535186481476245,36.83191479222745,35.622860246840304,33.97275008142055,32.42867999631525,31.519395209617947,30.148167444553998,28.9278729584928
Mean,80.77369248198494,66.30823286268974,55.429232038418284,49.7794223306604,45.6415137113344,41.98306808657138,38.65839748644871,36.86442256840499,35.27513326119973,33.73259602154723,32.05287369413072,31.123968972041375,29.847564680800794,28.714787951849175
