,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100
0.5,121.7162102519621,129.95622607894552,132.16099622166294,133.79094986679638,135.94961116945248,137.07701244778772,137.5584393060695,138.64206890589176,139.51036676353002,139.71143741769188,140.47312831360196,140.94472194310512,141.09323089852072,141.45244666541578,141.76625927647984,141.92393206125524,142.28559271341948,142.585508349592,142.96181073354444
1,125.42104478949531,130.66129641504438,132.92359705264178,135.77408470026418,136.55229741939416,137.57024505722993,138.8641116173659,139.3387742975156,139.98178486986478,140.27773679603007,140.75875640355952,141.14000837982974,141.58263578101486,141.56724355716935,141.9812240614621,142.08495272401234,142.41031677017003,142.67901482350072,143.06653084632427
1.5,126.7589281872047,131.53247225639277,133.87832035356084,136.35250536653004,137.12937776284687,138.33031149636454,139.08681047591054,139.60414256304628,140.34720351478,140.62521224476876,140.92120347481244,141.31802471699612,141.72639241460013,141.66960176519527,142.1713380742357,142.17407774745973,142.54374963994147,142.83343029025468,143.1875230452827
2,127.48508817550373,132.6256188794386,134.76442841007173,136.82770277606028,137.48197907730963,138.5116383092456,139.43097436917722,139.99925503198702,140.50654625476795,140.73746514391948,141.10433420327917,141.39308764930405,141.86767504617097,141.82217439309522,142.34136964438807,142.2831968803333,142.6767142576534,142.88657471792374,143.22624613895766
2.5,128.24202192656892,133.20552334213718,135.34818699571363,137.0036192717484,138.30132147686916,138.7998641021559,139.56490273289043,140.2831647823936,140.7239055527069,140.8145570617182,141.25151273698262,141.53604768086916,141.91931863906788,142.0104338028777,142.48243488929788,142.37299468884044,142.74659533280393,142.90707474578363,146.186407669157
5,131.6873042475895,135.59128678763815,137.26075525344706,138.4826460295334,139.39271430488594,139.98647120004773,140.3640685674615,140.86859647345085,141.22288611944026,141.43041855143184,141.8160487556649,141.83118397099383,142.19310032735115,142.37187312320515,142.76971795573274,142.6995472945596,143.03342133363935,143.20570452879164,146.333712580004
10,135.4894877722868,137.9807670282699,139.0257482680771,140.0624270183608,140.4190651428222,140.9309255595233,141.3125194443615,141.6353957812841,141.8482454829745,142.0054417480969,142.4610360308308,142.4670171242503,142.7196693846596,142.85150033030519,143.1247731106652,143.22344829889133,143.555026441608,146.184422821935,146.44898429423128
25,140.8340610521205,141.1971743892345,141.88471049607523,142.24909980710277,142.31160431759452,142.7235158489395,142.596558277333,143.04061175749524,143.32569181699276,143.15119258164276,143.420593197041,143.69985622197476,143.8497014272745,144.0040024082765,146.50333724760475,146.70534854271423,146.57587513193175,146.56842735913474,146.5739768908145
75,149.26538203374275,147.26394021226474,147.66240481901127,147.441011794812,152.13596969791425,152.397227175879,151.55748876110775,151.075239106247,150.48801493222325,149.77628142913375,149.36719891915874,148.95788681010026,148.62904116795625,148.315840967704,147.94596071999425,147.70285838534676,147.334112433313,147.1289659688,146.82673475145126
90,171.6224817062572,166.1879315389964,162.2905787126574,158.37518094257823,156.0820144006915,154.6219061602332,153.4508137341287,152.24723239812272,151.5119195127626,150.75230356264422,150.1328736736284,149.6060007422514,149.1185254624364,148.7307810438126,148.3137305953309,148.0083861942363,147.6357366251051,147.30294541226638,146.9030811788902
97.5,183.29822235917175,170.55585573208887,164.3941814465705,160.1529383437003,157.73419282877617,156.08593318158796,154.5163121447773,153.2589043268755,152.31223346932862,151.29031194041355,150.8776311149729,150.12650264095583,149.63052337006474,149.10094254196127,148.6393993396535,148.30879402170325,147.87608945208333,147.47543073637678,146.980884395116
98,183.9821548412789,170.9764831940819,164.7500565666513,160.3165628003863,157.83833024228713,156.2224317180626,154.66140216649947,153.47192601402318,152.4461063800291,151.4255817697525,150.92439435209957,150.23427295244772,149.73698893231875,149.14134213054285,148.68518183594512,148.35676712973054,147.89438226129678,147.48673157512772,146.98111393125714
98.5,184.78577117411646,171.37274944416913,165.00704630138173,160.65406876698444,157.99408756169882,156.36819053212673,154.9183043252761,153.70305924189503,152.5845656368384,151.60055193130353,151.0124488921883,150.32246444711134,149.79297372245347,149.15004989949614,148.71088138408618,148.39365139170465,147.93452377257591,147.50368386740197,146.98274931084515
99,185.69590276556363,171.72865186289977,165.3530889092051,160.73056920338865,158.192724641625,156.56236738107893,155.0992782694405,153.90318411111298,152.87932603195088,151.79131012666966,151.1473410533612,150.50785344255732,149.84860534278118,149.27317290671567,148.78397872275215,148.48085856862022,147.99699007941163,147.52581925023358,146.98610187511153
99.5,186.70360340828657,172.45460089542075,166.15060485374948,161.23741220960096,158.59340583030374,156.90197476975206,155.29118508377817,154.0500449846339,153.11983649060045,151.89237650532243,151.3876661999306,150.63677725568263,150.15900899183407,149.4154208191254,148.93760290826094,148.59022269827605,148.05304407695834,147.57772123143704,146.98878455272506
Median,145.194550226395,144.168713848649,144.266832791437,144.439463254242,144.4093590851715,144.507559570003,144.476352180142,145.11217230821148,147.485140113917,145.803520070125,147.84701005549698,147.852742179673,147.87279955897998,147.63559597194848,147.3929710615365,147.2804816350345,147.006297974364,146.8826890361915,146.68643394371048
Mean,147.2181562988157,146.33943945767277,146.86460136496356,146.3251374357542,146.38487465182186,146.6860664967071,146.43487976097268,146.72789602191423,146.84594202263176,146.3797794833422,146.58557967487178,146.58714503843913,146.68872042211513,146.6101994917392,146.65536237551564,146.6891084519889,146.59130887642905,146.60594153304234,146.61615398716023
