,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85
0.5,120.91162370134805,129.29824020551038,134.33072374115144,136.6922834838658,137.87519783969879,138.75301288925738,139.31671380900573,140.17811589139464,140.53039661655976,141.07751790634214,140.898253237042,141.63245818968016,142.07780018805224,142.27817772224006,142.44757648759494,143.147280094872
1,123.49766468769256,129.91157625258782,135.47516000932018,137.44463776508343,138.57544676913486,139.16195877458154,139.7567918150576,140.4844655251811,140.74742974118212,141.1407234629905,141.10923546642545,141.75677262774974,142.19274305690166,142.4210135693194,142.5844338939171,147.027115781101
1.5,125.12993092077184,132.21671334898124,135.72118481655409,137.77771723478028,138.7678847665217,139.35861825306512,139.8937392908178,140.60667862526986,140.9376484380616,141.2547150834064,141.58882605624868,142.03286423596094,142.2918995434869,142.6198725843238,142.6957158618573,147.027115781101
2,126.00566807221384,132.9337645443845,136.54469052682768,138.16969380299648,139.01859626575154,139.50417643993856,140.18068319968117,140.9090722882503,141.1229515366391,141.36064977370603,141.60665413682085,142.09483856308168,142.40321652056204,142.6987567068052,142.85800783272197,147.027115800494
2.5,127.53880252902268,133.81915530736612,136.7703949328622,138.32305036269594,139.28924812466423,139.84871960339666,140.49116822631336,141.12603474609995,141.29762012010482,141.54547682258473,141.84214619671647,142.21927710317894,142.52839694907848,142.77839838030812,142.90888774241643,147.027115800494
5,131.37412091267015,135.7348350479306,138.50417518264734,139.116984253921,139.94152480027228,140.41033736151525,141.03217617720415,141.6590273562519,141.87243524725434,142.0941840562171,142.40508638742529,142.55147547344606,142.77149476963714,143.0435494814653,143.26183857281538,147.167078809205
10,135.2236525534173,138.15102852183378,139.69527869361872,140.215303638145,141.0784749753114,141.4566845163455,141.8420999898407,142.128400798239,142.4532354702335,142.6067242677753,142.8654064633417,142.999816659913,143.16119055296102,143.4395255156104,146.8747276319705,147.181069323
25,140.1983335565095,141.53618119096552,142.0348859223835,142.21033965182124,142.55671805417225,142.85596806877726,143.240262601176,143.319648359088,143.59573683805823,143.93050700131226,143.86157194193402,146.97985249971373,147.342036283222,147.48120910786375,147.3538736258105,147.354239855132
75,148.44270386579876,148.10389282378523,151.71275980866324,152.99364470693973,154.47224657401225,153.21284535561,152.392184160249,151.32095243226826,150.6717894727965,150.0907900541565,149.48916714269376,149.08504343812473,148.68958762912575,148.30203244855852,147.912554528383,147.50194763881
90,155.22979023910048,167.2761873118176,162.52011160923522,158.7461436421824,156.5138938582763,154.80459638827202,153.41949680143242,152.2821581537538,151.55382512205,150.7854251996544,150.1119403772121,149.5588536802419,149.03831702895383,148.53890098524482,148.11347977750188,147.54939892717
97.5,183.2538046715078,171.40863390153763,164.66524539295742,160.7171760740481,157.9891839638638,155.94400790440628,154.36400795893076,153.02774804510082,152.20655134845492,151.47245238470595,150.60059951289813,150.006916975063,149.3615280226824,148.77407728480333,148.26071862245058,147.557811623485
98,184.57474496373143,171.66687111901416,164.97439653578738,160.8430286945427,158.0282250506392,156.03598903990346,154.54741107621044,153.15345220574156,152.22801851732856,151.55557468465514,150.66557190443197,150.0532519562649,149.39264664085883,148.79467300853204,148.2692186556513,147.559848562882
98.5,185.17223140030202,171.91899247645765,165.3130656277178,161.15890758320867,158.29416324508608,156.13498950947357,154.8380048058126,153.40471418736286,152.39661942876376,151.62139149131391,150.78293759839505,150.1049126599892,149.44455909288519,148.81460801645983,148.27970367195886,147.559848562882
99,186.11292567145742,172.05717475359745,165.75029500670072,161.45361267143264,158.44687098533606,156.31910960283594,155.03800873537602,153.441968002156,152.47893118454044,151.73707212070656,150.8857451428704,150.15849494629643,149.46993932467967,148.87532844783928,148.28826911899094,147.559848591766
99.5,186.93989239654832,173.3834308596273,166.16123735886939,161.81831584107508,158.8972164260677,156.641237721706,155.23711732956508,153.5933123637866,152.64313086351788,151.89580934687015,151.1003060142317,150.24081570157463,149.52543980494843,148.91327997768346,148.30989326562153,147.559848591766
Median,144.32694496975301,144.54781281266952,144.575253511393,144.2871936618685,144.5244033039645,144.7827110440705,145.662171333775,149.0691051669595,149.3979940179155,149.1621521171015,148.6902211633045,148.4213646571045,148.1704597024215,147.961093673052,147.65822738197,147.45553959762
Mean,146.38331534073208,147.4932319895315,147.66569029936258,146.93997463087314,147.30605998015432,147.3198124112896,147.53292072914934,147.38779027280776,147.50547693500891,147.6068553659778,147.32453939006436,147.37430028485392,147.32662328084967,147.34202065083377,147.29291404863628,147.38428910811956
